Date,Projection,Air Temperature[C]
2015-01,Historical,-10.544117272418475
2015-02,Historical,-8.260991104789355
2015-03,Historical,-5.582032046110726
2015-04,Historical,-2.4819211213484778
2015-05,Historical,1.6885394552479625
2015-06,Historical,5.4086348823879575
2015-07,Historical,9.747242007048271
2015-08,Historical,9.850712519106708
2015-09,Historical,5.815796429178022
2015-10,Historical,-0.14462094514266255
2015-11,Historical,-6.593371316660978
2015-12,Historical,-10.385508130944288
2016-01,SSP2-4.5,-10.446880307404854
2016-02,SSP2-4.5,-8.167286217730975
2016-03,SSP2-4.5,-5.391129999575412
2016-04,SSP2-4.5,-2.0760121221127292
2016-05,SSP2-4.5,1.985212773862088
2016-06,SSP2-4.5,6.005886442764961
2016-07,SSP2-4.5,10.680441682235084
2016-08,SSP2-4.5,11.02904397715696
2016-09,SSP2-4.5,6.77816294794502
2016-10,SSP2-4.5,-0.08068794582197825
2016-11,SSP2-4.5,-6.668732485563851
2016-12,SSP2-4.5,-10.239661971382475
2016-01,SSP5-8.5,-10.147150586998976
2016-02,SSP5-8.5,-8.161535644531227
2016-03,SSP5-8.5,-5.3206264329992905
2016-04,SSP5-8.5,-1.900740382982292
2016-05,SSP5-8.5,2.0963259489640222
2016-06,SSP5-8.5,6.208109183933459
2016-07,SSP5-8.5,10.90194224482002
2016-08,SSP5-8.5,11.153790548573397
2016-09,SSP5-8.5,6.915300982931399
2016-10,SSP5-8.5,0.2942377505095237
2016-11,SSP5-8.5,-6.4236643915591
2016-12,SSP5-8.5,-10.163425080672539
2017-01,SSP2-4.5,-9.526553742781914
2017-02,SSP2-4.5,-7.3695222274116645
2017-03,SSP2-4.5,-4.720220947265602
2017-04,SSP2-4.5,-1.4281491486922278
2017-05,SSP2-4.5,2.652109428074084
2017-06,SSP2-4.5,6.758025326936149
2017-07,SSP2-4.5,11.693094535495959
2017-08,SSP2-4.5,11.834714673913084
2017-09,SSP2-4.5,7.587045951511584
2017-10,SSP2-4.5,0.7243763799252747
2017-11,SSP2-4.5,-5.933546779466667
2017-12,SSP2-4.5,-9.590164317255415
2017-01,SSP5-8.5,-9.047706404976225
2017-02,SSP5-8.5,-6.871544348675229
2017-03,SSP5-8.5,-4.2217255965522895
2017-04,SSP5-8.5,-1.0321092688518547
2017-05,SSP5-8.5,3.0286432680876487
2017-06,SSP5-8.5,7.313313890540087
2017-07,SSP5-8.5,12.267116911514961
2017-08,SSP5-8.5,12.643049687924588
2017-09,SSP5-8.5,8.229317573879086
2017-10,SSP5-8.5,1.2694110372792125
2017-11,SSP5-8.5,-5.531372866423226
2017-12,SSP5-8.5,-9.066649859884478
2018-01,SSP2-4.5,-8.88512865149454
2018-02,SSP2-4.5,-6.7178498641304145
2018-03,SSP2-4.5,-4.0369283924931665
2018-04,SSP2-4.5,-0.715128492272413
2018-05,SSP2-4.5,3.0225238302479625
2018-06,SSP2-4.5,7.3806568975034
2018-07,SSP2-4.5,12.353975246263587
2018-08,SSP2-4.5,12.63299878991171
2018-09,SSP2-4.5,8.3272020422894
2018-10,SSP2-4.5,1.5231129521908997
2018-11,SSP2-4.5,-5.175581691576042
2018-12,SSP2-4.5,-8.880958358101225
2018-01,SSP5-8.5,-7.870948592476225
2018-02,SSP5-8.5,-5.699819282863416
2018-03,SSP5-8.5,-3.005921206266976
2018-04,SSP5-8.5,-0.0026969577954787383
2018-05,SSP5-8.5,3.9530392854110232
2018-06,SSP5-8.5,8.625263247282646
2018-07,SSP5-8.5,13.954999044667147
2018-08,SSP5-8.5,14.531925898012958
2018-09,SSP5-8.5,9.978115446671211
2018-10,SSP5-8.5,2.45202955163046
2018-11,SSP5-8.5,-4.521306046195605
2018-12,SSP5-8.5,-8.016551938264229
2019-01,SSP2-4.5,-8.443660039487042
2019-02,SSP2-4.5,-6.0314352284306665
2019-03,SSP2-4.5,-3.4504415760869165
2019-04,SSP2-4.5,-0.33321692425266747
2019-05,SSP2-4.5,3.520663584833585
2019-06,SSP2-4.5,8.022582211701774
2019-07,SSP2-4.5,13.077294921875023
2019-08,SSP2-4.5,13.51015757685127
2019-09,SSP2-4.5,8.99504739512571
2019-10,SSP2-4.5,2.0094039253567075
2019-11,SSP2-4.5,-4.762621804942228
2019-12,SSP2-4.5,-8.54517344599185
2019-01,SSP5-8.5,-6.839145295516289
2019-02,SSP5-8.5,-4.566196076766289
2019-03,SSP5-8.5,-1.8496964164401675
2019-04,SSP5-8.5,1.0354088824728365
2019-05,SSP5-8.5,4.967462158203148
2019-06,SSP5-8.5,10.026613185716712
2019-07,SSP5-8.5,15.965243662958585
2019-08,SSP5-8.5,16.585992431640648
2019-09,SSP5-8.5,11.763838262143338
2019-10,SSP5-8.5,3.574873418393338
2019-11,SSP5-8.5,-3.3818141771399155
2019-12,SSP5-8.5,-6.958697244395353
