Date,Projection,Air Temperature difference [C]
2016-01,SSP2-4.5,0.09723696501362156
2016-02,SSP2-4.5,0.09370488705837943
2016-03,SSP2-4.5,0.19090204653531373
2016-04,SSP2-4.5,0.40590899923574897
2016-05,SSP2-4.5,0.2966733186141255
2016-06,SSP2-4.5,0.5972515603770034
2016-07,SSP2-4.5,0.9331996751868132
2016-08,SSP2-4.5,1.178331458050252
2016-09,SSP2-4.5,0.9623665187669985
2016-10,SSP2-4.5,0.06393299932068429
2016-11,SSP2-4.5,-0.07536116890287303
2016-12,SSP2-4.5,0.14584615956181146
2016-01,SSP5-8.5,1.0175635296365613
2016-02,SSP5-8.5,0.8914688773776911
2016-03,SSP5-8.5,0.8618110988451235
2016-04,SSP5-8.5,1.05377197265625
2016-05,SSP5-8.5,0.9635699728261216
2016-06,SSP5-8.5,1.3493904445481917
2016-07,SSP5-8.5,1.9458525284476895
2016-08,SSP5-8.5,1.984002154806376
2016-09,SSP5-8.5,1.7712495223335623
2016-10,SSP5-8.5,0.8689973250679373
2016-11,SSP5-8.5,0.6598245371943108
2016-12,SSP5-8.5,0.7953438136888717
2017-01,SSP2-4.5,1.6589886209239353
2017-02,SSP2-4.5,1.5431412406589393
2017-03,SSP2-4.5,1.5451036536175584
2017-04,SSP2-4.5,1.7667926290760647
2017-05,SSP2-4.5,1.333984375
2017-06,SSP2-4.5,1.9720220151154422
2017-07,SSP2-4.5,2.606733239215316
2017-08,SSP2-4.5,2.7822862708050025
2017-09,SSP2-4.5,2.5114056131113784
2017-10,SSP2-4.5,1.6677338973335623
2017-11,SSP2-4.5,1.4177896250849358
2017-12,SSP2-4.5,1.5045497728430632
2017-01,SSP5-8.5,2.100457232931433
2017-02,SSP5-8.5,2.2295558763586882
2017-03,SSP5-8.5,2.1315904700238093
2017-04,SSP5-8.5,2.1487041970958103
2017-05,SSP5-8.5,1.8321241295856225
2017-06,SSP5-8.5,2.6139473293138167
2017-07,SSP5-8.5,3.3300529148267533
2017-08,SSP5-8.5,3.6594450577445627
2017-09,SSP5-8.5,3.1792509659476877
2017-10,SSP5-8.5,2.15402487049937
2017-11,SSP5-8.5,1.83074951171875
2017-12,SSP5-8.5,1.8403346849524382
2018-01,SSP2-4.5,0.39696668541949975
2018-02,SSP2-4.5,0.09945546025812746
2018-03,SSP2-4.5,0.2614056131114353
2018-04,SSP2-4.5,0.5811807383661858
2018-05,SSP2-4.5,0.4077864937160598
2018-06,SSP2-4.5,0.7994743015455015
2018-07,SSP2-4.5,1.154700237771749
2018-08,SSP2-4.5,1.303078029466688
2018-09,SSP2-4.5,1.099504553753377
2018-10,SSP2-4.5,0.4388586956521862
2018-11,SSP2-4.5,0.16970692510187746
2018-12,SSP2-4.5,0.22208305027174724
2018-01,SSP5-8.5,1.4964108674422505
2018-02,SSP5-8.5,1.3894467561141255
2018-03,SSP5-8.5,1.3603064495584363
2018-04,SSP5-8.5,1.449811852496623
2018-05,SSP5-8.5,1.3401038128396863
2018-06,SSP5-8.5,1.9046790081521294
2018-07,SSP5-8.5,2.519874904466688
2018-08,SSP5-8.5,2.7923371688178804
2018-09,SSP5-8.5,2.4135211447010647
2018-10,SSP5-8.5,1.414031982421875
2018-11,SSP5-8.5,1.061998450237752
2018-12,SSP5-8.5,1.3188582710598098
2019-01,SSP2-4.5,2.6731686799422505
2019-02,SSP2-4.5,2.5611718219259387
2019-03,SSP2-4.5,2.57611083984375
2019-04,SSP2-4.5,2.479224163552999
2019-05,SSP2-4.5,2.264499830163061
2019-06,SSP2-4.5,3.2166283648946887
2019-07,SSP2-4.5,4.207757037618876
2019-08,SSP2-4.5,4.68121337890625
2019-09,SSP2-4.5,4.162319017493191
2019-10,SSP2-4.5,2.5966504967731225
2019-11,SSP2-4.5,2.072065270465373
2019-12,SSP2-4.5,2.3689561926800593
2019-01,SSP5-8.5,3.7049719769021863
2019-02,SSP5-8.5,3.6947950280230657
2019-03,SSP5-8.5,3.7323356296705583
2019-04,SSP5-8.5,3.517330003821314
2019-05,SSP5-8.5,3.2789227029551853
2019-06,SSP5-8.5,4.617978303328755
2019-07,SSP5-8.5,6.218001655910312
2019-08,SSP5-8.5,6.73527991253394
2019-09,SSP5-8.5,5.948041832965316
2019-10,SSP5-8.5,3.7194943635360005
2019-11,SSP5-8.5,3.2115571395210623
2019-12,SSP5-8.5,3.4268108865489353
