Date,Projection,Air Temperature[C]
2015-01,Historical Ensemble mean,-10.544117272418475
2015-02,Historical Ensemble mean,-8.260991104789355
2015-03,Historical Ensemble mean,-5.582032046110726
2015-04,Historical Ensemble mean,-2.4819211213484778
2015-05,Historical Ensemble mean,1.6885394552479625
2015-06,Historical Ensemble mean,5.4086348823879575
2015-07,Historical Ensemble mean,9.747242007048271
2015-08,Historical Ensemble mean,9.850712519106708
2015-09,Historical Ensemble mean,5.815796429178022
2015-10,Historical Ensemble mean,-0.14462094514266255
2015-11,Historical Ensemble mean,-6.593371316660978
2015-12,Historical Ensemble mean,-10.385508130944288
