date, source, SSH (m)
01/1993, ECCO, 0.562706
01/1993, MEaSUREs, -0.261920
02/1993, ECCO, 0.552692
02/1993, MEaSUREs, -0.174494
03/1993, ECCO, 0.537491
03/1993, MEaSUREs, -0.262188
04/1993, ECCO, 0.601694
04/1993, MEaSUREs, -0.146284
05/1993, ECCO, 0.700529
05/1993, MEaSUREs, 0.046912
06/1993, ECCO, 0.790863
06/1993, MEaSUREs, 0.220134
07/1993, ECCO, 0.785381
07/1993, MEaSUREs, 0.094226
08/1993, ECCO, 0.850738
08/1993, MEaSUREs, 0.276553
09/1993, ECCO, 0.783620
09/1993, MEaSUREs, 0.159233
10/1993, ECCO, 0.763917
10/1993, MEaSUREs, 0.096428
11/1993, ECCO, 0.730550
11/1993, MEaSUREs, 0.144487
12/1993, ECCO, 0.726041
12/1993, MEaSUREs, -0.025003
01/1994, ECCO, 0.641767
01/1994, MEaSUREs, -0.175246
02/1994, ECCO, 0.513282
02/1994, MEaSUREs, -0.212042
03/1994, ECCO, 0.572993
03/1994, MEaSUREs, -0.091373
04/1994, ECCO, 0.612644
04/1994, MEaSUREs, -0.040009
05/1994, ECCO, 0.663310
05/1994, MEaSUREs, 0.075585
06/1994, ECCO, 0.743366
06/1994, MEaSUREs, 0.149596
07/1994, ECCO, 0.779837
07/1994, MEaSUREs, 0.027085
08/1994, ECCO, 0.742449
08/1994, MEaSUREs, 0.006765
09/1994, ECCO, 0.676578
09/1994, MEaSUREs, -0.132392
10/1994, ECCO, 0.642064
10/1994, MEaSUREs, -0.110530
11/1994, ECCO, 0.612771
11/1994, MEaSUREs, 0.005845
12/1994, ECCO, 0.579523
12/1994, MEaSUREs, -0.120804
01/1995, ECCO, 0.469811
01/1995, MEaSUREs, -0.368325
02/1995, ECCO, 0.479002
02/1995, MEaSUREs, -0.396061
03/1995, ECCO, 0.491707
03/1995, MEaSUREs, -0.234232
04/1995, ECCO, 0.573611
04/1995, MEaSUREs, -0.145494
05/1995, ECCO, 0.711396
05/1995, MEaSUREs, 0.082963
06/1995, ECCO, 0.767169
06/1995, MEaSUREs, 0.259313
07/1995, ECCO, 0.815908
07/1995, MEaSUREs, 0.073373
08/1995, ECCO, 0.775138
08/1995, MEaSUREs, 0.074820
09/1995, ECCO, 0.743088
09/1995, MEaSUREs, 0.198093
10/1995, ECCO, 0.737109
10/1995, MEaSUREs, 0.101347
11/1995, ECCO, 0.817299
11/1995, MEaSUREs, 0.349904
12/1995, ECCO, 0.726030
12/1995, MEaSUREs, 0.014586
01/1996, ECCO, 0.526935
01/1996, MEaSUREs, -0.154659
02/1996, ECCO, 0.496411
02/1996, MEaSUREs, -0.323802
03/1996, ECCO, 0.534372
03/1996, MEaSUREs, -0.219969
04/1996, ECCO, 0.568623
04/1996, MEaSUREs, -0.176259
05/1996, ECCO, 0.732240
05/1996, MEaSUREs, -0.034575
06/1996, ECCO, 0.747470
06/1996, MEaSUREs, 0.242509
07/1996, ECCO, 0.774643
07/1996, MEaSUREs, 0.069530
08/1996, ECCO, 0.781529
08/1996, MEaSUREs, 0.143372
09/1996, ECCO, 0.746681
09/1996, MEaSUREs, 0.287765
10/1996, ECCO, 0.771524
10/1996, MEaSUREs, 0.044109
11/1996, ECCO, 0.806524
11/1996, MEaSUREs, 0.148079
12/1996, ECCO, 0.703326
12/1996, MEaSUREs, -0.013051
01/1997, ECCO, 0.587705
01/1997, MEaSUREs, 0.007415
02/1997, ECCO, 0.497209
02/1997, MEaSUREs, -0.337146
03/1997, ECCO, 0.567470
03/1997, MEaSUREs, -0.221298
04/1997, ECCO, 0.552427
04/1997, MEaSUREs, -0.181366
05/1997, ECCO, 0.650923
05/1997, MEaSUREs, -0.084156
06/1997, ECCO, 0.764181
06/1997, MEaSUREs, 0.009509
07/1997, ECCO, 0.716138
07/1997, MEaSUREs, 0.042077
08/1997, ECCO, 0.732345
08/1997, MEaSUREs, -0.041440
09/1997, ECCO, 0.711977
09/1997, MEaSUREs, 0.079042
10/1997, ECCO, 0.606334
10/1997, MEaSUREs, -0.066286
11/1997, ECCO, 0.581262
11/1997, MEaSUREs, -0.197548
12/1997, ECCO, 0.473172
12/1997, MEaSUREs, -0.298666
01/1998, ECCO, 0.443344
01/1998, MEaSUREs, -0.331662
02/1998, ECCO, 0.453958
02/1998, MEaSUREs, -0.348619
03/1998, ECCO, 0.460041
03/1998, MEaSUREs, -0.371620
04/1998, ECCO, 0.539083
04/1998, MEaSUREs, -0.116333
05/1998, ECCO, 0.657591
05/1998, MEaSUREs, -0.083017
06/1998, ECCO, 0.867283
06/1998, MEaSUREs, 0.221240
07/1998, ECCO, 0.835728
07/1998, MEaSUREs, 0.266013
08/1998, ECCO, 0.822561
08/1998, MEaSUREs, 0.068914
09/1998, ECCO, 0.793571
09/1998, MEaSUREs, 0.148005
10/1998, ECCO, 0.811585
10/1998, MEaSUREs, 0.120562
11/1998, ECCO, 0.836038
11/1998, MEaSUREs, -0.024319
12/1998, ECCO, 0.759519
12/1998, MEaSUREs, -0.040204
01/1999, ECCO, 0.640564
01/1999, MEaSUREs, 0.025324
02/1999, ECCO, 0.592995
02/1999, MEaSUREs, -0.058981
03/1999, ECCO, 0.568361
03/1999, MEaSUREs, -0.236637
04/1999, ECCO, 0.675571
04/1999, MEaSUREs, 0.119240
05/1999, ECCO, 0.777231
05/1999, MEaSUREs, 0.079264
06/1999, ECCO, 0.783689
06/1999, MEaSUREs, 0.175342
07/1999, ECCO, 0.760010
07/1999, MEaSUREs, 0.155316
08/1999, ECCO, 0.809316
08/1999, MEaSUREs, 0.230417
09/1999, ECCO, 0.749566
09/1999, MEaSUREs, -0.154258
10/1999, ECCO, 0.760807
10/1999, MEaSUREs, 0.347140
11/1999, ECCO, 0.779032
11/1999, MEaSUREs, 0.066281
12/1999, ECCO, 0.705124
12/1999, MEaSUREs, 0.025165
01/2000, ECCO, 0.592594
01/2000, MEaSUREs, -0.261853
02/2000, ECCO, 0.514366
02/2000, MEaSUREs, -0.069645
03/2000, ECCO, 0.571867
03/2000, MEaSUREs, -0.160684
04/2000, ECCO, 0.663702
04/2000, MEaSUREs, -0.064689
05/2000, ECCO, 0.757059
05/2000, MEaSUREs, 0.184083
06/2000, ECCO, 0.796245
06/2000, MEaSUREs, 0.154057
07/2000, ECCO, 0.834792
07/2000, MEaSUREs, 0.368500
08/2000, ECCO, 0.830623
08/2000, MEaSUREs, 0.277073
09/2000, ECCO, 0.786119
09/2000, MEaSUREs, 0.084876
10/2000, ECCO, 0.754085
10/2000, MEaSUREs, 0.174996
11/2000, ECCO, 0.759057
11/2000, MEaSUREs, 0.133721
12/2000, ECCO, 0.683437
12/2000, MEaSUREs, 0.052477
01/2001, ECCO, 0.591172
01/2001, MEaSUREs, -0.118538
02/2001, ECCO, 0.557367
02/2001, MEaSUREs, -0.168272
03/2001, ECCO, 0.578535
03/2001, MEaSUREs, -0.167896
04/2001, ECCO, 0.601194
04/2001, MEaSUREs, -0.242399
05/2001, ECCO, 0.726589
05/2001, MEaSUREs, 0.100524
06/2001, ECCO, 0.811385
06/2001, MEaSUREs, 0.019621
07/2001, ECCO, 0.835123
07/2001, MEaSUREs, 0.109508
08/2001, ECCO, 0.831718
08/2001, MEaSUREs, 0.383063
09/2001, ECCO, 0.782275
09/2001, MEaSUREs, 0.031258
10/2001, ECCO, 0.785190
10/2001, MEaSUREs, 0.195788
11/2001, ECCO, 0.787741
11/2001, MEaSUREs, 0.105681
12/2001, ECCO, 0.707068
12/2001, MEaSUREs, 0.052200
01/2002, ECCO, 0.545559
01/2002, MEaSUREs, -0.218079
02/2002, ECCO, 0.471113
02/2002, MEaSUREs, -0.161035
03/2002, ECCO, 0.551888
03/2002, MEaSUREs, -0.199975
04/2002, ECCO, 0.608361
04/2002, MEaSUREs, -0.241469
05/2002, ECCO, 0.686829
05/2002, MEaSUREs, 0.323839
06/2002, ECCO, 0.779095
06/2002, MEaSUREs, 0.038782
07/2002, ECCO, 0.786937
07/2002, MEaSUREs, 0.124101
08/2002, ECCO, 0.818426
08/2002, MEaSUREs, 0.240301
09/2002, ECCO, 0.739371
09/2002, MEaSUREs, 0.062250
10/2002, ECCO, 0.713215
10/2002, MEaSUREs, 0.077262
11/2002, ECCO, 0.687533
11/2002, MEaSUREs, 0.135006
12/2002, ECCO, 0.652146
12/2002, MEaSUREs, -0.051027
01/2003, ECCO, 0.604400
01/2003, MEaSUREs, -0.144605
02/2003, ECCO, 0.532105
02/2003, MEaSUREs, -0.309456
03/2003, ECCO, 0.510703
03/2003, MEaSUREs, -0.126312
04/2003, ECCO, 0.559304
04/2003, MEaSUREs, -0.219246
05/2003, ECCO, 0.718161
05/2003, MEaSUREs, 0.044215
06/2003, ECCO, 0.781244
06/2003, MEaSUREs, 0.221337
07/2003, ECCO, 0.736027
07/2003, MEaSUREs, -0.048311
08/2003, ECCO, 0.803340
08/2003, MEaSUREs, 0.173559
09/2003, ECCO, 0.787799
09/2003, MEaSUREs, 0.066621
10/2003, ECCO, 0.736695
10/2003, MEaSUREs, 0.148231
11/2003, ECCO, 0.712199
11/2003, MEaSUREs, 0.075147
12/2003, ECCO, 0.709194
12/2003, MEaSUREs, -0.054377
01/2004, ECCO, 0.573666
01/2004, MEaSUREs, -0.248020
02/2004, ECCO, 0.481097
02/2004, MEaSUREs, -0.359926
03/2004, ECCO, 0.552905
03/2004, MEaSUREs, -0.105329
04/2004, ECCO, 0.635225
04/2004, MEaSUREs, -0.082653
05/2004, ECCO, 0.737266
05/2004, MEaSUREs, 0.050089
06/2004, ECCO, 0.843743
06/2004, MEaSUREs, 0.264023
07/2004, ECCO, 0.836774
07/2004, MEaSUREs, 0.148547
08/2004, ECCO, 0.821462
08/2004, MEaSUREs, 0.145893
09/2004, ECCO, 0.769187
09/2004, MEaSUREs, 0.171485
10/2004, ECCO, 0.726623
10/2004, MEaSUREs, -0.006255
11/2004, ECCO, 0.652822
11/2004, MEaSUREs, -0.058074
12/2004, ECCO, 0.666626
12/2004, MEaSUREs, -0.126128
01/2005, ECCO, 0.587229
01/2005, MEaSUREs, -0.109447
02/2005, ECCO, 0.523665
02/2005, MEaSUREs, -0.307207
03/2005, ECCO, 0.517616
03/2005, MEaSUREs, -0.142099
04/2005, ECCO, 0.606480
04/2005, MEaSUREs, -0.032352
05/2005, ECCO, 0.708549
05/2005, MEaSUREs, -0.054844
06/2005, ECCO, 0.803153
06/2005, MEaSUREs, 0.176977
07/2005, ECCO, 0.843697
07/2005, MEaSUREs, 0.229610
08/2005, ECCO, 0.796584
08/2005, MEaSUREs, 0.075734
09/2005, ECCO, 0.794001
09/2005, MEaSUREs, 0.192009
10/2005, ECCO, 0.770802
10/2005, MEaSUREs, 0.188865
11/2005, ECCO, 0.789228
11/2005, MEaSUREs, 0.080872
12/2005, ECCO, 0.790169
12/2005, MEaSUREs, 0.066245
01/2006, ECCO, 0.653417
01/2006, MEaSUREs, -0.027922
02/2006, ECCO, 0.562370
02/2006, MEaSUREs, -0.166044
03/2006, ECCO, 0.525781
03/2006, MEaSUREs, -0.205183
04/2006, ECCO, 0.642459
04/2006, MEaSUREs, 0.040135
05/2006, ECCO, 0.765401
05/2006, MEaSUREs, 0.063234
06/2006, ECCO, 0.775382
06/2006, MEaSUREs, 0.006624
07/2006, ECCO, 0.801992
07/2006, MEaSUREs, 0.337443
08/2006, ECCO, 0.803968
08/2006, MEaSUREs, -0.142259
09/2006, ECCO, 0.702334
09/2006, MEaSUREs, -0.088819
10/2006, ECCO, 0.687498
10/2006, MEaSUREs, 0.163652
11/2006, ECCO, 0.620738
11/2006, MEaSUREs, -0.190594
12/2006, ECCO, 0.564730
12/2006, MEaSUREs, -0.321214
01/2007, ECCO, 0.508368
01/2007, MEaSUREs, -0.253091
02/2007, ECCO, 0.505458
02/2007, MEaSUREs, -0.281765
03/2007, ECCO, 0.470791
03/2007, MEaSUREs, -0.316081
04/2007, ECCO, 0.617816
04/2007, MEaSUREs, -0.232290
05/2007, ECCO, 0.759010
05/2007, MEaSUREs, 0.170700
06/2007, ECCO, 0.765379
06/2007, MEaSUREs, -0.053746
07/2007, ECCO, 0.800507
07/2007, MEaSUREs, 0.379573
08/2007, ECCO, 0.809444
08/2007, MEaSUREs, 0.222774
09/2007, ECCO, 0.786393
09/2007, MEaSUREs, -0.017315
10/2007, ECCO, 0.741271
10/2007, MEaSUREs, 0.055726
11/2007, ECCO, 0.819482
11/2007, MEaSUREs, 0.214831
12/2007, ECCO, 0.691520
12/2007, MEaSUREs, -0.009451
01/2008, ECCO, 0.654659
01/2008, MEaSUREs, -0.115079
02/2008, ECCO, 0.578503
02/2008, MEaSUREs, -0.069174
03/2008, ECCO, 0.650024
03/2008, MEaSUREs, -0.152258
04/2008, ECCO, 0.709247
04/2008, MEaSUREs, 0.063975
05/2008, ECCO, 0.773370
05/2008, MEaSUREs, 0.088631
06/2008, ECCO, 0.745722
06/2008, MEaSUREs, 0.105715
07/2008, ECCO, 0.770899
07/2008, MEaSUREs, 0.101320
08/2008, ECCO, 0.836919
08/2008, MEaSUREs, 0.337970
09/2008, ECCO, 0.776101
09/2008, MEaSUREs, 0.139807
10/2008, ECCO, 0.744037
10/2008, MEaSUREs, 0.275276
11/2008, ECCO, 0.775149
11/2008, MEaSUREs, 0.018536
12/2008, ECCO, 0.760812
12/2008, MEaSUREs, 0.060727
01/2009, ECCO, 0.640640
01/2009, MEaSUREs, -0.107032
02/2009, ECCO, 0.529736
02/2009, MEaSUREs, -0.179081
03/2009, ECCO, 0.619205
03/2009, MEaSUREs, -0.087191
04/2009, ECCO, 0.686023
04/2009, MEaSUREs, 0.008340
05/2009, ECCO, 0.778700
05/2009, MEaSUREs, 0.162606
06/2009, ECCO, 0.810913
06/2009, MEaSUREs, 0.192559
07/2009, ECCO, 0.832736
07/2009, MEaSUREs, 0.171869
08/2009, ECCO, 0.763961
08/2009, MEaSUREs, 0.145202
09/2009, ECCO, 0.793038
09/2009, MEaSUREs, 0.174232
10/2009, ECCO, 0.753394
10/2009, MEaSUREs, 0.041930
11/2009, ECCO, 0.710400
11/2009, MEaSUREs, -0.011116
12/2009, ECCO, 0.694492
12/2009, MEaSUREs, 0.018703
01/2010, ECCO, 0.594433
01/2010, MEaSUREs, -0.178424
02/2010, ECCO, 0.518296
02/2010, MEaSUREs, -0.369488
03/2010, ECCO, 0.545140
03/2010, MEaSUREs, -0.219703
04/2010, ECCO, 0.672995
04/2010, MEaSUREs, -0.058740
05/2010, ECCO, 0.756458
05/2010, MEaSUREs, 0.122783
06/2010, ECCO, 0.802445
06/2010, MEaSUREs, 0.293814
07/2010, ECCO, 0.819068
07/2010, MEaSUREs, 0.029947
08/2010, ECCO, 0.870156
08/2010, MEaSUREs, 0.300171
09/2010, ECCO, 0.869708
09/2010, MEaSUREs, 0.145133
10/2010, ECCO, 0.924338
10/2010, MEaSUREs, 0.318927
11/2010, ECCO, 0.862591
11/2010, MEaSUREs, 0.077928
12/2010, ECCO, 0.810337
12/2010, MEaSUREs, 0.217036
01/2011, ECCO, 0.718022
01/2011, MEaSUREs, -0.018539
02/2011, ECCO, 0.609908
02/2011, MEaSUREs, -0.170112
03/2011, ECCO, 0.615022
03/2011, MEaSUREs, -0.035114
04/2011, ECCO, 0.668693
04/2011, MEaSUREs, -0.053843
05/2011, ECCO, 0.733887
05/2011, MEaSUREs, 0.132164
06/2011, ECCO, 0.761711
06/2011, MEaSUREs, 0.210095
07/2011, ECCO, 0.810754
07/2011, MEaSUREs, 0.122318
08/2011, ECCO, 0.797892
08/2011, MEaSUREs, 0.174842
09/2011, ECCO, 0.747600
09/2011, MEaSUREs, 0.199911
10/2011, ECCO, 0.761133
10/2011, MEaSUREs, 0.146328
11/2011, ECCO, 0.714132
11/2011, MEaSUREs, -0.036040
12/2011, ECCO, 0.696479
12/2011, MEaSUREs, 0.050125
01/2012, ECCO, 0.665400
01/2012, MEaSUREs, 0.016768
02/2012, ECCO, 0.545527
02/2012, MEaSUREs, -0.180368
03/2012, ECCO, 0.579967
03/2012, MEaSUREs, -0.042116
04/2012, ECCO, 0.702474
04/2012, MEaSUREs, -0.069011
05/2012, ECCO, 0.730182
05/2012, MEaSUREs, 0.253812
06/2012, ECCO, 0.821721
06/2012, MEaSUREs, 0.318667
07/2012, ECCO, 0.828784
07/2012, MEaSUREs, 0.318846
08/2012, ECCO, 0.807795
08/2012, MEaSUREs, 0.367002
09/2012, ECCO, 0.774383
09/2012, MEaSUREs, 0.128821
10/2012, ECCO, 0.739120
10/2012, MEaSUREs, 0.135191
11/2012, ECCO, 0.739676
11/2012, MEaSUREs, 0.117818
12/2012, ECCO, 0.686407
12/2012, MEaSUREs, -0.053472
01/2013, ECCO, 0.609341
01/2013, MEaSUREs, -0.062462
02/2013, ECCO, 0.580745
02/2013, MEaSUREs, -0.300754
03/2013, ECCO, 0.587833
03/2013, MEaSUREs, -0.152363
04/2013, ECCO, 0.622890
04/2013, MEaSUREs, -0.266579
05/2013, ECCO, 0.814601
05/2013, MEaSUREs, 0.353396
06/2013, ECCO, 0.874337
06/2013, MEaSUREs, 0.339673
07/2013, ECCO, 0.883998
07/2013, MEaSUREs, 0.069320
08/2013, ECCO, 0.872246
08/2013, MEaSUREs, 0.246129
09/2013, ECCO, 0.802599
09/2013, MEaSUREs, 0.179857
10/2013, ECCO, 0.771704
10/2013, MEaSUREs, 0.139378
11/2013, ECCO, 0.700475
11/2013, MEaSUREs, 0.089448
12/2013, ECCO, 0.713012
12/2013, MEaSUREs, -0.016714
01/2014, ECCO, 0.647172
01/2014, MEaSUREs, -0.164571
02/2014, ECCO, 0.512813
02/2014, MEaSUREs, -0.295295
03/2014, ECCO, 0.457390
03/2014, MEaSUREs, -0.206371
04/2014, ECCO, 0.527867
04/2014, MEaSUREs, -0.288061
05/2014, ECCO, 0.741267
05/2014, MEaSUREs, -0.028514
06/2014, ECCO, 0.847841
06/2014, MEaSUREs, 0.243257
07/2014, ECCO, 0.931049
07/2014, MEaSUREs, 0.149448
08/2014, ECCO, 0.858672
08/2014, MEaSUREs, 0.176622
09/2014, ECCO, 0.779707
09/2014, MEaSUREs, 0.298373
10/2014, ECCO, 0.781828
10/2014, MEaSUREs, 0.096011
11/2014, ECCO, 0.799054
11/2014, MEaSUREs, 0.134781
12/2014, ECCO, 0.768997
12/2014, MEaSUREs, -0.011553
01/2015, ECCO, 0.728187
01/2015, MEaSUREs, 0.022978
02/2015, ECCO, 0.569906
02/2015, MEaSUREs, -0.295141
03/2015, ECCO, 0.566205
03/2015, MEaSUREs, -0.225655
04/2015, ECCO, 0.636917
04/2015, MEaSUREs, -0.009012
05/2015, ECCO, 0.734930
05/2015, MEaSUREs, 0.017787
06/2015, ECCO, 0.838550
06/2015, MEaSUREs, 0.239239
07/2015, ECCO, 0.810511
07/2015, MEaSUREs, 0.124970
08/2015, ECCO, 0.825183
08/2015, MEaSUREs, 0.004946
09/2015, ECCO, 0.804150
09/2015, MEaSUREs, 0.220392
10/2015, ECCO, 0.791214
10/2015, MEaSUREs, 0.033223
11/2015, ECCO, 0.704162
11/2015, MEaSUREs, -0.115941
12/2015, ECCO, 0.684598
12/2015, MEaSUREs, 0.010064
01/2016, ECCO, 0.609481
01/2016, MEaSUREs, -0.165188
02/2016, ECCO, 0.566455
02/2016, MEaSUREs, -0.230520
03/2016, ECCO, 0.595619
03/2016, MEaSUREs, -0.260454
04/2016, ECCO, 0.680145
04/2016, MEaSUREs, -0.002288
05/2016, ECCO, 0.739628
05/2016, MEaSUREs, 0.104477
06/2016, ECCO, 0.917156
06/2016, MEaSUREs, 0.221392
07/2016, ECCO, 0.907101
07/2016, MEaSUREs, 0.529682
08/2016, ECCO, 0.868987
08/2016, MEaSUREs, 0.120657
09/2016, ECCO, 0.902232
09/2016, MEaSUREs, 0.261944
10/2016, ECCO, 0.876233
10/2016, MEaSUREs, 0.234312
11/2016, ECCO, 0.848095
11/2016, MEaSUREs, 0.259216
12/2016, ECCO, 0.789364
12/2016, MEaSUREs, 0.166256
01/2017, ECCO, 0.671831
01/2017, MEaSUREs, -0.045905
02/2017, ECCO, 0.606154
02/2017, MEaSUREs, -0.140161
03/2017, ECCO, 0.572187
03/2017, MEaSUREs, -0.056487
04/2017, ECCO, 0.666827
04/2017, MEaSUREs, 0.205772
05/2017, ECCO, 0.742678
05/2017, MEaSUREs, 0.181858
06/2017, ECCO, 0.875270
06/2017, MEaSUREs, 0.287902
07/2017, ECCO, 0.840810
07/2017, MEaSUREs, 0.139208
08/2017, ECCO, 0.833296
08/2017, MEaSUREs, 0.189747
09/2017, ECCO, 0.844355
09/2017, MEaSUREs, 0.174501
10/2017, ECCO, 0.875089
10/2017, MEaSUREs, 0.376093
11/2017, ECCO, 0.818989
11/2017, MEaSUREs, 0.123719
12/2017, ECCO, 0.788192
12/2017, MEaSUREs, 0.152949
01/2018, MEaSUREs, -0.066224
