Date,source,ET (mm)
1/1/16,Burn,17.745
2/1/16,Burn,43.92
3/1/16,Burn,76.543
4/1/16,Burn,98.115
5/1/16,Burn,117.753
6/1/16,Burn,135.839
7/1/16,Burn,123.291
8/1/16,Burn,105.011
9/1/16,Burn,66.444
10/1/16,Burn,38.878
11/1/16,Burn,22.644
12/1/16,Burn,15.478
1/1/17,Burn,23.171
2/1/17,Burn,28.862
3/1/17,Burn,76.625
4/1/17,Burn,101.08
5/1/17,Burn,125.193
6/1/17,Burn,136.672
7/1/17,Burn,140.029
8/1/17,Burn,102.588
9/1/17,Burn,65.345
10/1/17,Burn,32.509
11/1/17,Burn,18.061
12/1/17,Burn,15.644
1/1/18,Burn,8.356
2/1/18,Burn,13.054
3/1/18,Burn,29.738
4/1/18,Burn,51.99
5/1/18,Burn,69.261
6/1/18,Burn,71.862
7/1/18,Burn,72.108
8/1/18,Burn,52.66
9/1/18,Burn,26.946
10/1/18,Burn,10.628
11/1/18,Burn,7.892
12/1/18,Burn,10.811
1/1/19,Burn,18.546
2/1/19,Burn,26.176
3/1/19,Burn,54.755
4/1/19,Burn,76.141
5/1/19,Burn,89.06
6/1/19,Burn,116.162
7/1/19,Burn,97.995
8/1/19,Burn,78.491
9/1/19,Burn,56.814
10/1/19,Burn,33.439
11/1/19,Burn,19.789
12/1/19,Burn,18.509
1/1/20,Burn,26.824
2/1/20,Burn,40.663
3/1/20,Burn,49.667
4/1/20,Burn,94.265
5/1/20,Burn,123.093
6/1/20,Burn,110.438
7/1/20,Burn,107.84
8/1/20,Burn,80.002
9/1/20,Burn,55.492
10/1/20,Burn,31.411
11/1/20,Burn,14.385
12/1/20,Burn,10.074
1/1/21,Burn,19.202
2/1/21,Burn,32.248
3/1/21,Burn,52.505
4/1/21,Burn,75.191
5/1/21,Burn,91.024
6/1/21,Burn,92.784
7/1/21,Burn,71.546
8/1/21,Burn,57.944
9/1/21,Burn,36.465
10/1/21,Burn,24.936
11/1/21,Burn,15.581
1/1/16,Control,21.155
2/1/16,Control,46.21125
3/1/16,Control,71.065
4/1/16,Control,80.55125
5/1/16,Control,124.9781818
6/1/16,Control,126.6909091
7/1/16,Control,99.22909091
8/1/16,Control,87.89454545
9/1/16,Control,51.59454545
10/1/16,Control,37.40363636
11/1/16,Control,28.75636364
12/1/16,Control,17.04125
1/1/17,Control,25.92125
2/1/17,Control,29.46
3/1/17,Control,73.48625
4/1/17,Control,86.59125
5/1/17,Control,145.7454545
6/1/17,Control,147.7345455
7/1/17,Control,136.9145455
8/1/17,Control,102.7181818
9/1/17,Control,67.73090909
10/1/17,Control,36.36
11/1/17,Control,22.46363636
12/1/17,Control,24.38625
1/1/18,Control,22.27125
2/1/18,Control,36.135
3/1/18,Control,52.95625
4/1/18,Control,90.85375
5/1/18,Control,142.5363636
6/1/18,Control,137.7945455
7/1/18,Control,142.4836364
8/1/18,Control,102.5909091
9/1/18,Control,61.73454545
10/1/18,Control,35.19090909
11/1/18,Control,23.73636364
12/1/18,Control,21.3375
1/1/19,Control,27.29625
2/1/19,Control,36.1175
3/1/19,Control,68.33
4/1/19,Control,87.5
5/1/19,Control,139.5981818
6/1/19,Control,162.2454545
7/1/19,Control,126.8127273
8/1/19,Control,99.51454545
9/1/19,Control,77.44
10/1/19,Control,57.35818182
11/1/19,Control,40.42727273
12/1/19,Control,27.5925
1/1/20,Control,36.82125
2/1/20,Control,46.41875
3/1/20,Control,57.18
4/1/20,Control,103.37125
5/1/20,Control,177.6254545
6/1/20,Control,158.9945455
7/1/20,Control,140.3781818
8/1/20,Control,102.0818182
9/1/20,Control,80.24181818
10/1/20,Control,44.69272727
11/1/20,Control,24.65272727
12/1/20,Control,13.775
1/1/21,Control,26.7275
2/1/21,Control,43.215
3/1/21,Control,60.9825
4/1/21,Control,84.80125
5/1/21,Control,137.6
6/1/21,Control,131.9818182
7/1/21,Control,106.5054545
8/1/21,Control,79.82363636
9/1/21,Control,57.85272727
10/1/21,Control,47.24363636
11/1/21,Control,28.63090909
