"date","source","WaterComponents(mm)"
"Jan-2003","TWS",26.634201749756357
"Jan-2003","ET",1.3270650566325273
"Jan-2004","TWS",27.27726758859353
"Jan-2004","ET",0.46224114143500117
"Jan-2005","TWS",24.675901135777167
"Jan-2005","ET",-0.7383934323491914
"Jan-2006","TWS",17.640866141877268
"Jan-2006","ET",0.4203124710817434
"Jan-2007","TWS",16.480357051103056
"Jan-2007","ET",0.19295941515641601
"Jan-2008","TWS",16.825044295177577
"Jan-2008","ET",-0.13577192544158123
"Jan-2009","TWS",-2.1870876137818414
"Jan-2009","ET",-1.9886400082447224
"Jan-2010","TWS",4.199628227902394
"Jan-2010","ET",-1.037301639156098
"Jan-2011","TWS",8.554299931211062
"Jan-2011","ET",-1.1517384127318309
"Jan-2012","TWS",8.97157161870291
"Jan-2012","ET",-1.4983179040815031
"Jan-2013","TWS",2.899635027815748
"Jan-2013","ET",0.7980390968899727
"Jan-2014","TWS",-8.951107121416499
"Jan-2014","ET",-0.854683678924566
"Jan-2015","TWS",-18.001744451506966
"Jan-2015","ET",0.3523366616678203
"Jan-2016","TWS",-20.666768844053877
"Jan-2016","ET",0.19489918759989422
"Jan-2017","TWS",-15.04838773717529
"Jan-2017","ET",0.46109098951959737
"Jan-2018","TWS",-16.880976968835967
"Jan-2018","ET",0.6459206088134053
"Jan-2019","TWS",-42.50618264728928
"Jan-2019","ET",-0.028707476923905517
"Jan-2020","TWS",-29.916517383857354
"Jan-2020","ET",2.5786898490572057
