date,type,TWS
Jan-2002,TWS,
Feb-2002,TWS,
Mar-2002,TWS,
Apr-2002,TWS,169.8741
May-2002,TWS,131.7134
Jun-2002,TWS,
Jul-2002,TWS,
Aug-2002,TWS,120.5069
Sep-2002,TWS,67.3677
Oct-2002,TWS,99.5918
Nov-2002,TWS,105.6633
Dec-2002,TWS,133.8114
Jan-2003,TWS,140.3127
Feb-2003,TWS,109.5298
Mar-2003,TWS,138.7583
Apr-2003,TWS,130.0539
May-2003,TWS,121.9962
Jun-2003,TWS,
Jul-2003,TWS,225.8242
Aug-2003,TWS,101.0221
Sep-2003,TWS,126.568
Oct-2003,TWS,139.559
Nov-2003,TWS,127.599
Dec-2003,TWS,163.0255
Jan-2004,TWS,167.2947
Feb-2004,TWS,121.6911
Mar-2004,TWS,87.5064
Apr-2004,TWS,151.3751
May-2004,TWS,152.0925
Jun-2004,TWS,155.415
Jul-2004,TWS,260.5669
Aug-2004,TWS,96.3255
Sep-2004,TWS,108.6747
Oct-2004,TWS,154.5051
Nov-2004,TWS,104.0091
Dec-2004,TWS,89.1835
Jan-2005,TWS,77.6053
Feb-2005,TWS,95.8161
Mar-2005,TWS,142.2103
Apr-2005,TWS,129.4934
May-2005,TWS,103.1989
Jun-2005,TWS,29.5881
Jul-2005,TWS,34.5946
Aug-2005,TWS,41.8963
Sep-2005,TWS,21.2685
Oct-2005,TWS,64.4039
Nov-2005,TWS,88.6308
Dec-2005,TWS,76.1738
Jan-2006,TWS,58.1158
Feb-2006,TWS,64.7319
Mar-2006,TWS,71.7334
Apr-2006,TWS,31.9569
May-2006,TWS,1.8515
Jun-2006,TWS,134.6049
Jul-2006,TWS,63.5876
Aug-2006,TWS,-23.918
Sep-2006,TWS,2.1336
Oct-2006,TWS,22.3365
Nov-2006,TWS,30.0242
Dec-2006,TWS,48.6965
Jan-2007,TWS,38.6184
Feb-2007,TWS,46.3153
Mar-2007,TWS,81.7987
Apr-2007,TWS,38.5477
May-2007,TWS,77.6947
Jun-2007,TWS,102.9271
Jul-2007,TWS,92.3997
Aug-2007,TWS,173.0367
Sep-2007,TWS,155.3672
Oct-2007,TWS,78.7288
Nov-2007,TWS,68.0129
Dec-2007,TWS,87.006
Jan-2008,TWS,58.3765
Feb-2008,TWS,78.355
Mar-2008,TWS,83.5023
Apr-2008,TWS,76.2986
May-2008,TWS,37.4758
Jun-2008,TWS,70.7226
Jul-2008,TWS,108.8312
Aug-2008,TWS,133.7463
Sep-2008,TWS,81.8958
Oct-2008,TWS,27.7086
Nov-2008,TWS,21.0966
Dec-2008,TWS,20.2663
Jan-2009,TWS,32.2275
Feb-2009,TWS,9.7183
Mar-2009,TWS,33.8174
Apr-2009,TWS,-19.7914
May-2009,TWS,-34.7843
Jun-2009,TWS,-43.6917
Jul-2009,TWS,-107.5403
Aug-2009,TWS,-11.8719
Sep-2009,TWS,-40.3351
Oct-2009,TWS,-39.2918
Nov-2009,TWS,-36.2317
Dec-2009,TWS,-16.8906
Jan-2010,TWS,10.8824
Feb-2010,TWS,-6.7404
Mar-2010,TWS,-36.2173
