date,source,ET (mm)
Jan-2016,Burn,17.745
Jan-2016,Control,19.196
Feb-2016,Burn,43.92
Feb-2016,Control,43.758
Mar-2016,Burn,76.543
Mar-2016,Control,68.606
Apr-2016,Burn,98.115
Apr-2016,Control,79.03
May-2016,Burn,117.753
May-2016,Control,84.243
Jun-2016,Burn,135.839
Jun-2016,Control,83.438
Jul-2016,Burn,123.291
Jul-2016,Control,77.186
Aug-2016,Burn,105.011
Aug-2016,Control,68.971
Sep-2016,Burn,66.444
Sep-2016,Control,43.423
Oct-2016,Burn,38.878
Oct-2016,Control,27.97
Nov-2016,Burn,22.644
Nov-2016,Control,19.463
Dec-2016,Burn,15.478
Dec-2016,Control,15.554
Jan-2017,Burn,23.171
Jan-2017,Control,22.885
Feb-2017,Burn,28.862
Feb-2017,Control,27.069
Mar-2017,Burn,76.625
Mar-2017,Control,72.434
Apr-2017,Burn,101.08
Apr-2017,Control,87.321
May-2017,Burn,125.193
May-2017,Control,98.783
Jun-2017,Burn,136.672
Jun-2017,Control,102.488
Jul-2017,Burn,140.029
Jul-2017,Control,93.824
Aug-2017,Burn,102.588
Aug-2017,Control,71.133
Sep-2017,Burn,65.345
Sep-2017,Control,45.625
Oct-2017,Burn,32.509
Oct-2017,Control,26.458
Nov-2017,Burn,18.061
Nov-2017,Control,18.536
Dec-2017,Burn,15.644
Dec-2017,Control,27.316
Jan-2018,Burn,8.356
Jan-2018,Control,22.948
Feb-2018,Burn,13.054
Feb-2018,Control,32.929
Mar-2018,Burn,29.738
Mar-2018,Control,49.965
Apr-2018,Burn,51.99
Apr-2018,Control,89.065
May-2018,Burn,69.261
May-2018,Control,97.36
Jun-2018,Burn,71.862
Jun-2018,Control,97.036
Jul-2018,Burn,72.108
Jul-2018,Control,99.28
Aug-2018,Burn,52.66
Aug-2018,Control,77.688
Sep-2018,Burn,26.946
Sep-2018,Control,49.312
Oct-2018,Burn,10.628
Oct-2018,Control,26.534
Nov-2018,Burn,7.892
Nov-2018,Control,16.91
Dec-2018,Burn,10.811
Dec-2018,Control,17.835
Jan-2019,Burn,18.546
Jan-2019,Control,22.446
Feb-2019,Burn,26.176
Feb-2019,Control,30.623
Mar-2019,Burn,54.755
Mar-2019,Control,60.268
Apr-2019,Burn,76.141
Apr-2019,Control,78.136
May-2019,Burn,89.06
May-2019,Control,81.044
Jun-2019,Burn,116.162
Jun-2019,Control,101.01
Jul-2019,Burn,97.995
Jul-2019,Control,93.037
Aug-2019,Burn,78.491
Aug-2019,Control,75.352
Sep-2019,Burn,56.814
Sep-2019,Control,55.096
Oct-2019,Burn,33.439
Oct-2019,Control,40.697
Nov-2019,Burn,19.789
Nov-2019,Control,25.939
Dec-2019,Burn,18.509
Dec-2019,Control,22.035
Jan-2020,Burn,26.824
Jan-2020,Control,30.431
Feb-2020,Burn,40.663
Feb-2020,Control,43.637
Mar-2020,Burn,49.667
Mar-2020,Control,54.285
Apr-2020,Burn,94.265
Apr-2020,Control,93.966
May-2020,Burn,123.093
May-2020,Control,113.058
Jun-2020,Burn,110.438
Jun-2020,Control,103.232
Jul-2020,Burn,107.84
Jul-2020,Control,91.772
Aug-2020,Burn,80.002
Aug-2020,Control,74.275
Sep-2020,Burn,55.492
Sep-2020,Control,58.018
Oct-2020,Burn,31.411
Oct-2020,Control,32.386
Nov-2020,Burn,14.385
Nov-2020,Control,18.467
Dec-2020,Burn,10.074
Dec-2020,Control,14.857
Jan-2021,Burn,19.202
Jan-2021,Control,23.832
Feb-2021,Burn,32.248
Feb-2021,Control,38.757
Mar-2021,Burn,52.505
Mar-2021,Control,59.98
Apr-2021,Burn,75.191
Apr-2021,Control,81.735
May-2021,Burn,91.024
May-2021,Control,91.92
