date,source,SSH (m)
01/1992,total,0.605101
01/1992,barystatic,0.263615
01/1992,steric,0.341486
01/1992,total,0.658667
01/1992,barystatic,0.270251
01/1992,steric,0.388416
02/1992,total,0.469296
02/1992,barystatic,0.133590
02/1992,steric,0.335706
02/1992,total,0.658964
02/1992,barystatic,0.270583
02/1992,steric,0.388381
03/1992,total,0.491685
03/1992,barystatic,0.144626
03/1992,steric,0.347059
03/1992,total,0.659262
03/1992,barystatic,0.270915
03/1992,steric,0.388347
04/1992,total,0.544768
04/1992,barystatic,0.180257
04/1992,steric,0.364511
04/1992,total,0.659560
04/1992,barystatic,0.271248
04/1992,steric,0.388312
05/1992,total,0.654413
05/1992,barystatic,0.277790
05/1992,steric,0.376623
05/1992,total,0.659857
05/1992,barystatic,0.271580
05/1992,steric,0.388277
06/1992,total,0.798741
06/1992,barystatic,0.405486
06/1992,steric,0.393255
06/1992,total,0.660155
06/1992,barystatic,0.271913
06/1992,steric,0.388242
07/1992,total,0.825541
07/1992,barystatic,0.416322
07/1992,steric,0.409219
07/1992,total,0.660453
07/1992,barystatic,0.272245
07/1992,steric,0.388208
08/1992,total,0.797871
08/1992,barystatic,0.366575
08/1992,steric,0.431296
08/1992,total,0.660750
08/1992,barystatic,0.272577
08/1992,steric,0.388173
09/1992,total,0.775728
09/1992,barystatic,0.335101
09/1992,steric,0.440627
09/1992,total,0.661048
09/1992,barystatic,0.272910
09/1992,steric,0.388138
10/1992,total,0.822481
10/1992,barystatic,0.383048
10/1992,steric,0.439433
10/1992,total,0.661346
10/1992,barystatic,0.273242
10/1992,steric,0.388103
11/1992,total,0.773188
11/1992,barystatic,0.349478
11/1992,steric,0.423711
11/1992,total,0.661643
11/1992,barystatic,0.273575
11/1992,steric,0.388069
12/1992,total,0.708261
12/1992,barystatic,0.316024
12/1992,steric,0.392237
12/1992,total,0.661941
12/1992,barystatic,0.273907
12/1992,steric,0.388034
01/1993,total,0.562706
01/1993,barystatic,0.204776
01/1993,steric,0.357930
01/1993,total,0.662239
01/1993,barystatic,0.274239
01/1993,steric,0.387999
02/1993,total,0.552692
02/1993,barystatic,0.210940
02/1993,steric,0.341752
02/1993,total,0.662536
02/1993,barystatic,0.274572
02/1993,steric,0.387965
03/1993,total,0.537491
03/1993,barystatic,0.194066
03/1993,steric,0.343425
03/1993,total,0.662834
03/1993,barystatic,0.274904
03/1993,steric,0.387930
04/1993,total,0.601694
04/1993,barystatic,0.245663
04/1993,steric,0.356032
04/1993,total,0.663132
04/1993,barystatic,0.275237
04/1993,steric,0.387895
05/1993,total,0.700529
05/1993,barystatic,0.322961
05/1993,steric,0.377568
05/1993,total,0.663429
05/1993,barystatic,0.275569
05/1993,steric,0.387860
06/1993,total,0.790863
06/1993,barystatic,0.391773
06/1993,steric,0.399090
06/1993,total,0.663727
06/1993,barystatic,0.275901
06/1993,steric,0.387826
07/1993,total,0.785381
07/1993,barystatic,0.362790
07/1993,steric,0.422592
07/1993,total,0.664025
07/1993,barystatic,0.276234
07/1993,steric,0.387791
08/1993,total,0.850738
08/1993,barystatic,0.411342
08/1993,steric,0.439396
08/1993,total,0.664322
08/1993,barystatic,0.276566
08/1993,steric,0.387756
09/1993,total,0.783620
09/1993,barystatic,0.332060
09/1993,steric,0.451560
09/1993,total,0.664620
09/1993,barystatic,0.276899
09/1993,steric,0.387721
10/1993,total,0.763917
10/1993,barystatic,0.312317
10/1993,steric,0.451600
10/1993,total,0.664918
10/1993,barystatic,0.277231
10/1993,steric,0.387687
11/1993,total,0.730550
11/1993,barystatic,0.304486
11/1993,steric,0.426064
11/1993,total,0.665215
11/1993,barystatic,0.277564
11/1993,steric,0.387652
12/1993,total,0.726041
12/1993,barystatic,0.335038
12/1993,steric,0.391003
12/1993,total,0.665513
12/1993,barystatic,0.277896
12/1993,steric,0.387617
01/1994,total,0.641767
01/1994,barystatic,0.287058
01/1994,steric,0.354709
01/1994,total,0.665811
01/1994,barystatic,0.278228
01/1994,steric,0.387582
02/1994,total,0.513282
02/1994,barystatic,0.179133
02/1994,steric,0.334149
02/1994,total,0.666108
02/1994,barystatic,0.278561
02/1994,steric,0.387548
03/1994,total,0.572993
03/1994,barystatic,0.229095
03/1994,steric,0.343898
03/1994,total,0.666406
03/1994,barystatic,0.278893
03/1994,steric,0.387513
04/1994,total,0.612644
04/1994,barystatic,0.246620
04/1994,steric,0.366023
04/1994,total,0.666704
04/1994,barystatic,0.279226
04/1994,steric,0.387478
05/1994,total,0.663310
05/1994,barystatic,0.281362
05/1994,steric,0.381948
05/1994,total,0.667001
05/1994,barystatic,0.279558
05/1994,steric,0.387443
06/1994,total,0.743366
06/1994,barystatic,0.342364
06/1994,steric,0.401002
06/1994,total,0.667299
06/1994,barystatic,0.279890
06/1994,steric,0.387409
07/1994,total,0.779837
07/1994,barystatic,0.358821
07/1994,steric,0.421016
07/1994,total,0.667597
07/1994,barystatic,0.280223
07/1994,steric,0.387374
08/1994,total,0.742449
08/1994,barystatic,0.306919
08/1994,steric,0.435530
08/1994,total,0.667894
08/1994,barystatic,0.280555
08/1994,steric,0.387339
09/1994,total,0.676578
09/1994,barystatic,0.232227
09/1994,steric,0.444351
09/1994,total,0.668192
09/1994,barystatic,0.280888
09/1994,steric,0.387304
10/1994,total,0.642064
10/1994,barystatic,0.211282
10/1994,steric,0.430782
10/1994,total,0.668490
10/1994,barystatic,0.281220
10/1994,steric,0.387270
11/1994,total,0.612771
11/1994,barystatic,0.203100
11/1994,steric,0.409670
11/1994,total,0.668787
11/1994,barystatic,0.281552
11/1994,steric,0.387235
12/1994,total,0.579523
12/1994,barystatic,0.209572
12/1994,steric,0.369951
12/1994,total,0.669085
12/1994,barystatic,0.281885
12/1994,steric,0.387200
01/1995,total,0.469811
01/1995,barystatic,0.138054
01/1995,steric,0.331757
01/1995,total,0.669383
01/1995,barystatic,0.282217
01/1995,steric,0.387165
02/1995,total,0.479002
02/1995,barystatic,0.164045
02/1995,steric,0.314957
02/1995,total,0.669680
02/1995,barystatic,0.282550
02/1995,steric,0.387131
03/1995,total,0.491707
03/1995,barystatic,0.168336
03/1995,steric,0.323371
03/1995,total,0.669978
03/1995,barystatic,0.282882
03/1995,steric,0.387096
04/1995,total,0.573611
04/1995,barystatic,0.228669
04/1995,steric,0.344941
04/1995,total,0.670276
04/1995,barystatic,0.283214
04/1995,steric,0.387061
