Zip,Month,Percentage of Buildings
70003,09/2021,0.01
70094,09/2021,0.02
70001,09/2021,0.02
70114,09/2021,0.10
70119,09/2021,0.03
70117,09/2021,0.02
70113,09/2021,0.00
70130,09/2021,0.02
70112,09/2021,0.00
70003,10/2021,3.59
70094,10/2021,2.33
70001,10/2021,1.52
70114,10/2021,0.60
70119,10/2021,0.72
70117,10/2021,0.38
70113,10/2021,1.01
70130,10/2021,0.69
70112,10/2021,0.52
70003,12/2021,7.62
70094,12/2021,6.26
70001,12/2021,4.29
70114,12/2021,2.93
70119,12/2021,4.14
70117,12/2021,3.41
70113,12/2021,4.25
70130,12/2021,3.11
70112,12/2021,2.97
70003,1/2022,5.63
70094,1/2022,5.28
70001,1/2022,4.09
70114,1/2022,4.65
70119,1/2022,4.44
70117,1/2022,4.35
70113,1/2022,4.81
70130,1/2022,3.87
70112,1/2022,5.93
70003,02/2022,5.20
70094,02/2022,4.98
70001,02/2022,3.50
70114,02/2022,5.30
70119,02/2022,3.24
70117,02/2022,4.35
70113,02/2022,4.41
70130,02/2022,3.07
70112,02/2022,2.21
70003,03/2022,1.77
70094,03/2022,2.39
70001,03/2022,1.77
70114,03/2022,3.47
70119,03/2022,2.27
70117,03/2022,3.02
70113,03/2022,3.22
70130,03/2022,2.49
70112,03/2022,1.34
