Row,Year,Data Type,United States Change from 2005,China Change from 2005,India Change from 2005
1,2005,Nitrogen Dioxide,0.00,0.00,0.00
2,2006,Nitrogen Dioxide,-10.00,-0.27,0.92
3,2007,Nitrogen Dioxide,-22.12,14.96,9.05
4,2008,Nitrogen Dioxide,-28.00,5.99,14.01
5,2009,Nitrogen Dioxide,-47.13,9.27,25.27
6,2010,Nitrogen Dioxide,-43.28,21.59,27.18
7,2011,Nitrogen Dioxide,-46.47,39.49,36.00
8,2012,Nitrogen Dioxide,-41.73,32.43,32.17
9,2013,Nitrogen Dioxide,-44.51,32.47,33.30
10,2014,Nitrogen Dioxide,-46.73,7.80,44.27
11,2015,Nitrogen Dioxide,-51.19,1.94,46.13
12,2016,Nitrogen Dioxide,-52.29,-2.07,63.05
13,2017,Nitrogen Dioxide,-50.70,-1.65,73.19
14,2018,Nitrogen Dioxide,-56.35,-4.76,84.61
15,2019,Nitrogen Dioxide,-55.60,-10.05,67.26
16,2020,Nitrogen Dioxide,-60.73,-18.32,50.23
17,2021,Nitrogen Dioxide,-55.06,-21.05,70.17
18,2005,Sulfur Dioxide,0.00,0.00,0.00
19,2006,Sulfur Dioxide,-30.45,-3.42,12.35
20,2007,Sulfur Dioxide,-30.95,12.68,23.13
21,2008,Sulfur Dioxide,-49.32,-11.73,39.04
22,2009,Sulfur Dioxide,-51.11,-24.95,36.80
23,2010,Sulfur Dioxide,-60.86,-31.05,40.92
24,2011,Sulfur Dioxide,-73.99,-16.12,46.40
25,2012,Sulfur Dioxide,-74.49,-14.02,72.84
26,2013,Sulfur Dioxide,-74.36,-31.00,65.83
27,2014,Sulfur Dioxide,-71.86,-46.42,91.42
28,2015,Sulfur Dioxide,-84.62,-63.69,102.86
29,2016,Sulfur Dioxide,-79.77,-70.13,114.40
30,2017,Sulfur Dioxide,-86.37,-80.94,160.54
31,2018,Sulfur Dioxide,-81.74,-84.49,169.84
32,2019,Sulfur Dioxide,-71.87,-89.75,167.06
33,2020,Sulfur Dioxide,-81.31,-89.48,113.51
34,2021,Sulfur Dioxide,-90.84,-91.91,163.60
