Year,Type,Emissions
2005,Oil and Gas,8853.8
2006,Oil and Gas,9007.6
2007,Oil and Gas,9137.9
2008,Oil and Gas,9306.1
2009,Oil and Gas,8302.7
2010,Oil and Gas,8493.3
2011,Oil and Gas,8194
2012,Oil and Gas,7775.6
2013,Oil and Gas,7519.8
2014,Oil and Gas,8147.9
2015,Oil and Gas,8554
2016,Oil and Gas,9106
2017,Oil and Gas,8341.4
2018,Oil and Gas,8031.3
2019,Oil and Gas,7699.7
2020,Oil and Gas,7470.5
2021,Oil and Gas,7467.1
2005,Power Plant,44106
2006,Power Plant,46006.5
2007,Power Plant,48438.3
2008,Power Plant,41873.3
2009,Power Plant,35831.8
2010,Power Plant,35830.1
2011,Power Plant,37955.1
2012,Power Plant,36153.1
2013,Power Plant,35374
2014,Power Plant,30420.4
2015,Power Plant,25151.8
2016,Power Plant,23847.2
2017,Power Plant,21335.3
2018,Power Plant,20935.5
2019,Power Plant,20117.5
2020,Power Plant,19697.5
2021,Power Plant,19365.6
2005,Smelter,9775.7
2006,Smelter,10503.1
2007,Smelter,9211.5
2008,Smelter,8147.2
2009,Smelter,7962.4
2010,Smelter,7354.2
2011,Smelter,6793
2012,Smelter,6592.4
2013,Smelter,7257.4
2014,Smelter,6693.3
2015,Smelter,6056.9
2016,Smelter,5686
2017,Smelter,4904.4
2018,Smelter,5319.1
2019,Smelter,4962.8
2020,Smelter,4900.4
2021,Smelter,4364.3
2005,Volcano,21456
2006,Volcano,19820.4
2007,Volcano,20422.2
2008,Volcano,22513.1
2009,Volcano,21940.3
2010,Volcano,23649.1
2011,Volcano,23027.6
2012,Volcano,23243.8
2013,Volcano,22271.8
2014,Volcano,20651.5
2015,Volcano,21718.4
2016,Volcano,20769.4
2017,Volcano,21171.1
2018,Volcano,17692.7
2019,Volcano,12674.6
2020,Volcano,12564.6
2021,Volcano,13203.6
