Date,Source,Value
2005-01-01,CHL,0.17458275
2005-02-01,CHL,0.15003759
2005-03-01,CHL,0.116102055
2005-04-01,CHL,0.103017166
2005-05-01,CHL,0.09870502
2005-06-01,CHL,0.100266196
2005-07-01,CHL,0.106715776
2005-08-01,CHL,0.12622036
2005-09-01,CHL,0.13530734
2005-10-01,CHL,0.16163659
2005-11-01,CHL,0.17192988
2005-12-01,CHL,0.18884012
2006-01-01,CHL,0.18461822
2006-02-01,CHL,0.1527868
2006-03-01,CHL,0.11547966
2006-04-01,CHL,0.118164204
2006-05-01,CHL,0.10584712
2006-06-01,CHL,0.10515907
2006-07-01,CHL,0.10226543
2006-08-01,CHL,0.11575841
2006-09-01,CHL,0.12514761
2006-10-01,CHL,0.15341797
2006-11-01,CHL,0.1679884
2006-12-01,CHL,0.17522496
2007-01-01,CHL,0.1480452
2007-02-01,CHL,0.1336752
2007-03-01,CHL,0.11352022
2007-04-01,CHL,0.10856165
2007-05-01,CHL,0.104858786
2007-06-01,CHL,0.10235548
2007-07-01,CHL,0.11399727
2007-08-01,CHL,0.12062398
2007-09-01,CHL,0.13362911
2007-10-01,CHL,0.16431315
2007-11-01,CHL,0.18492666
2007-12-01,CHL,0.17828
2008-01-01,CHL,0.16959724
2008-02-01,CHL,0.10504849
2008-03-01,CHL,0.11862152
2008-04-01,CHL,0.099703185
2008-05-01,CHL,0.10172034
2008-06-01,CHL,0.09253615
2008-07-01,CHL,0.09411608
2008-08-01,CHL,0.12058933
2008-09-01,CHL,0.11849555
2008-10-01,CHL,0.1411156
2008-11-01,CHL,0.14136209
2008-12-01,CHL,0.16332266
2009-01-01,CHL,0.16827245
2009-02-01,CHL,0.12030447
2009-03-01,CHL,0.109681375
2009-04-01,CHL,0.113793254
2009-05-01,CHL,0.09466064
2009-06-01,CHL,0.10834671
2009-07-01,CHL,0.09691092
2009-08-01,CHL,0.14741562
2009-09-01,CHL,0.17264238
2009-10-01,CHL,0.14157867
2009-11-01,CHL,0.15203875
2009-12-01,CHL,0.1603287
2010-01-01,CHL,0.13880791
2010-02-01,CHL,0.1287718
2010-03-01,CHL,0.097831756
2010-04-01,CHL,0.09854543
2010-05-01,CHL,0.09936016
2010-06-01,CHL,0.103422396
2010-07-01,CHL,0.12432778
2010-08-01,CHL,0.11475905
2010-09-01,CHL,0.115790896
2010-10-01,CHL,0.14672841
2010-11-01,CHL,0.16158609
2010-12-01,CHL,0.15398832
2011-01-01,CHL,0.15388964
2011-02-01,CHL,0.1296466
2011-03-01,CHL,0.10208817
2011-04-01,CHL,0.104485035
2011-05-01,CHL,0.09354323
2011-06-01,CHL,0.09520998
2011-07-01,CHL,0.12668405
2011-08-01,CHL,0.12333664
2011-09-01,CHL,0.12689488
2011-10-01,CHL,0.15387389
2011-11-01,CHL,0.16777472
2011-12-01,CHL,0.20394835
2012-01-01,CHL,0.17248835
2012-02-01,CHL,0.13578384
2012-03-01,CHL,0.114009164
2012-04-01,CHL,0.13228038
2012-05-01,CHL,0.10465398
2012-06-01,CHL,0.10319323
