Date,Chlorophyll,source
2005-01-01,0.73853253,Chlorophyll
2005-02-01,0.766581748,Chlorophyll
2005-03-01,0.618102354,Chlorophyll
2005-04-01,0.6476158,Chlorophyll
2005-05-01,0.68856494,Chlorophyll
2005-06-01,0.780358282,Chlorophyll
2005-07-01,0.803252969,Chlorophyll
2005-08-01,0.798900688,Chlorophyll
2005-09-01,0.705978605,Chlorophyll
2005-10-01,0.762429882,Chlorophyll
2005-11-01,0.803853525,Chlorophyll
2005-12-01,0.755322201,Chlorophyll
2006-01-01,0.858086474,Chlorophyll
2006-02-01,0.718007711,Chlorophyll
2006-03-01,0.716023337,Chlorophyll
2006-04-01,0.694093517,Chlorophyll
2006-05-01,0.708916135,Chlorophyll
2006-06-01,0.851117005,Chlorophyll
2006-07-01,0.81786505,Chlorophyll
2006-08-01,0.774251202,Chlorophyll
2006-09-01,0.729974296,Chlorophyll
2006-10-01,0.775250066,Chlorophyll
2006-11-01,0.763182697,Chlorophyll
2006-12-01,0.752991455,Chlorophyll
2007-01-01,0.699944361,Chlorophyll
2007-02-01,0.637580813,Chlorophyll
2007-03-01,0.742389546,Chlorophyll
2007-04-01,0.72538048,Chlorophyll
2007-05-01,0.770951964,Chlorophyll
2007-06-01,0.776706395,Chlorophyll
2007-07-01,0.823757317,Chlorophyll
2007-08-01,0.783761351,Chlorophyll
2007-09-01,0.714306456,Chlorophyll
2007-10-01,0.692660858,Chlorophyll
2007-11-01,0.765560762,Chlorophyll
2007-12-01,0.863687914,Chlorophyll
2008-01-01,0.82902921,Chlorophyll
2008-02-01,0.785713357,Chlorophyll
2008-03-01,0.698525221,Chlorophyll
2008-04-01,0.770053444,Chlorophyll
2008-05-01,0.689163905,Chlorophyll
2008-06-01,0.802610653,Chlorophyll
2008-07-01,0.7594785,Chlorophyll
2008-08-01,0.824638751,Chlorophyll
2008-09-01,0.636353473,Chlorophyll
2008-10-01,0.817346707,Chlorophyll
2008-11-01,0.777845927,Chlorophyll
2008-12-01,0.831624275,Chlorophyll
2009-01-01,0.817232759,Chlorophyll
2009-02-01,0.825724614,Chlorophyll
2009-03-01,0.676036796,Chlorophyll
2009-04-01,0.695170713,Chlorophyll
2009-05-01,0.737973246,Chlorophyll
2009-06-01,0.75439975,Chlorophyll
2009-07-01,0.793146974,Chlorophyll
2009-08-01,0.782638791,Chlorophyll
2009-09-01,0.676320776,Chlorophyll
2009-10-01,0.717958142,Chlorophyll
2009-11-01,0.756722911,Chlorophyll
2009-12-01,0.682253122,Chlorophyll
2010-01-01,0.621313876,Chlorophyll
2010-02-01,0.538013641,Chlorophyll
2010-03-01,0.66236551,Chlorophyll
2010-04-01,0.711509212,Chlorophyll
2010-05-01,0.810388185,Chlorophyll
2010-06-01,0.799103271,Chlorophyll
2010-07-01,0.802811228,Chlorophyll
2010-08-01,0.833790169,Chlorophyll
2010-09-01,0.754538363,Chlorophyll
2010-10-01,0.687022712,Chlorophyll
2010-11-01,0.742926087,Chlorophyll
2010-12-01,0.590313655,Chlorophyll
2011-01-01,0.664488776,Chlorophyll
