Date,CLD,source
2005-01-01,0.73853253,CLD
2005-02-01,0.766581748,CLD
2005-03-01,0.618102354,CLD
2005-04-01,0.6476158,CLD
2005-05-01,0.68856494,CLD
2005-06-01,0.780358282,CLD
2005-07-01,0.803252969,CLD
2005-08-01,0.798900688,CLD
2005-09-01,0.705978605,CLD
2005-10-01,0.762429882,CLD
2005-11-01,0.803853525,CLD
2005-12-01,0.755322201,CLD
2006-01-01,0.858086474,CLD
2006-02-01,0.718007711,CLD
2006-03-01,0.716023337,CLD
2006-04-01,0.694093517,CLD
2006-05-01,0.708916135,CLD
2006-06-01,0.851117005,CLD
2006-07-01,0.81786505,CLD
2006-08-01,0.774251202,CLD
2006-09-01,0.729974296,CLD
2006-10-01,0.775250066,CLD
2006-11-01,0.763182697,CLD
2006-12-01,0.752991455,CLD
2007-01-01,0.699944361,CLD
2007-02-01,0.637580813,CLD
2007-03-01,0.742389546,CLD
2007-04-01,0.72538048,CLD
2007-05-01,0.770951964,CLD
2007-06-01,0.776706395,CLD
2007-07-01,0.823757317,CLD
2007-08-01,0.783761351,CLD
2007-09-01,0.714306456,CLD
2007-10-01,0.692660858,CLD
2007-11-01,0.765560762,CLD
2007-12-01,0.863687914,CLD
2008-01-01,0.82902921,CLD
2008-02-01,0.785713357,CLD
2008-03-01,0.698525221,CLD
2008-04-01,0.770053444,CLD
2008-05-01,0.689163905,CLD
2008-06-01,0.802610653,CLD
2008-07-01,0.7594785,CLD
2008-08-01,0.824638751,CLD
2008-09-01,0.636353473,CLD
2008-10-01,0.817346707,CLD
2008-11-01,0.777845927,CLD
2008-12-01,0.831624275,CLD
2009-01-01,0.817232759,CLD
2009-02-01,0.825724614,CLD
2009-03-01,0.676036796,CLD
2009-04-01,0.695170713,CLD
2009-05-01,0.737973246,CLD
2009-06-01,0.75439975,CLD
2009-07-01,0.793146974,CLD
2009-08-01,0.782638791,CLD
2009-09-01,0.676320776,CLD
2009-10-01,0.717958142,CLD
2009-11-01,0.756722911,CLD
2009-12-01,0.682253122,CLD
2010-01-01,0.621313876,CLD
2010-02-01,0.538013641,CLD
2010-03-01,0.66236551,CLD
2010-04-01,0.711509212,CLD
2010-05-01,0.810388185,CLD
2010-06-01,0.799103271,CLD
2010-07-01,0.802811228,CLD
2010-08-01,0.833790169,CLD
2010-09-01,0.754538363,CLD
2010-10-01,0.687022712,CLD
2010-11-01,0.742926087,CLD
2010-12-01,0.590313655,CLD
2011-01-01,0.664488776,CLD
2011-02-01,0.645772635,CLD
2011-03-01,0.650665735,CLD
2011-04-01,0.733704482,CLD
2011-05-01,0.713017286,CLD
2011-06-01,0.771781086,CLD
2011-07-01,0.777322436,CLD
2011-08-01,0.795097423,CLD
2011-09-01,0.711992795,CLD
2011-10-01,0.730451002,CLD
2011-11-01,0.828046333,CLD
2011-12-01,0.850019838,CLD
2012-01-01,0.83569428,CLD
2012-02-01,0.801548445,CLD
2012-03-01,0.690149003,CLD
2012-04-01,0.730164881,CLD
2012-05-01,0.706899039,CLD
2012-06-01,0.807216116,CLD
2012-07-01,0.82417833,CLD
2012-08-01,0.761969344,CLD
2012-09-01,0.598225827,CLD
2012-10-01,0.725015092,CLD
2012-11-01,0.793281093,CLD
2012-12-01,0.689657365,CLD
2013-01-01,0.75759815,CLD
2013-02-01,0.706393369,CLD
2013-03-01,0.653904497,CLD
2013-04-01,0.696642108,CLD
2013-05-01,0.666491927,CLD
2013-06-01,0.830721285,CLD
2013-07-01,0.772827716,CLD
2013-08-01,0.790331525,CLD
2013-09-01,0.731349926,CLD
2013-10-01,0.749931663,CLD
2013-11-01,0.758229886,CLD
2013-12-01,0.784749194,CLD
2014-01-01,0.842519257,CLD
2014-02-01,0.744102375,CLD
2014-03-01,0.677534893,CLD
2014-04-01,0.733623246,CLD
2014-05-01,0.723819312,CLD
2014-06-01,0.824031608,CLD
2014-07-01,0.821897773,CLD
2014-08-01,0.793592945,CLD
2014-09-01,0.668838084,CLD
2014-10-01,0.7722031,CLD
2014-11-01,0.790583802,CLD
2014-12-01,0.820069456,CLD
2015-01-01,0.889381093,CLD
2015-02-01,0.749704898,CLD
2015-03-01,0.747091845,CLD
2015-04-01,0.745864176,CLD
2015-05-01,0.834646265,CLD
