Date,Chlorophyll,source
2005-01-01,1.51E-07,Chlorophyll
2005-02-01,5.75E-08,Chlorophyll
2005-03-01,3.15E-08,Chlorophyll
2005-04-01,4.03E-08,Chlorophyll
2005-05-01,6.17E-08,Chlorophyll
2005-06-01,5.09E-08,Chlorophyll
2005-07-01,3.44E-08,Chlorophyll
2005-08-01,2.56E-08,Chlorophyll
2005-09-01,3.39E-08,Chlorophyll
2005-10-01,3.98E-08,Chlorophyll
2005-11-01,3.40E-08,Chlorophyll
2005-12-01,2.81E-08,Chlorophyll
2006-01-01,4.05E-08,Chlorophyll
2006-02-01,3.42E-08,Chlorophyll
2006-03-01,9.57E-08,Chlorophyll
2006-04-01,3.94E-08,Chlorophyll
2006-05-01,3.05E-08,Chlorophyll
2006-06-01,5.42E-08,Chlorophyll
2006-07-01,4.69E-08,Chlorophyll
2006-08-01,2.13E-08,Chlorophyll
2006-09-01,2.40E-08,Chlorophyll
2006-10-01,3.37E-08,Chlorophyll
2006-11-01,3.55E-08,Chlorophyll
2006-12-01,6.10E-08,Chlorophyll
2007-01-01,1.53E-07,Chlorophyll
2007-02-01,7.86E-08,Chlorophyll
2007-03-01,9.26E-08,Chlorophyll
2007-04-01,3.16E-08,Chlorophyll
2007-05-01,8.04E-08,Chlorophyll
2007-06-01,5.04E-08,Chlorophyll
2007-07-01,4.25E-08,Chlorophyll
2007-08-01,2.26E-08,Chlorophyll
2007-09-01,2.62E-08,Chlorophyll
2007-10-01,2.59E-08,Chlorophyll
2007-11-01,5.25E-08,Chlorophyll
2007-12-01,4.55E-08,Chlorophyll
2008-01-01,9.28E-08,Chlorophyll
2008-02-01,6.47E-08,Chlorophyll
2008-03-01,5.64E-08,Chlorophyll
2008-04-01,5.62E-08,Chlorophyll
2008-05-01,3.80E-08,Chlorophyll
2008-06-01,4.74E-08,Chlorophyll
2008-07-01,2.84E-08,Chlorophyll
2008-08-01,2.49E-08,Chlorophyll
2008-09-01,2.27E-08,Chlorophyll
2008-10-01,4.51E-08,Chlorophyll
2008-11-01,4.84E-08,Chlorophyll
2008-12-01,5.85E-08,Chlorophyll
2009-01-01,5.67E-08,Chlorophyll
2009-02-01,3.52E-08,Chlorophyll
2009-03-01,3.03E-08,Chlorophyll
2009-04-01,3.15E-08,Chlorophyll
2009-05-01,4.51E-08,Chlorophyll
2009-06-01,5.77E-08,Chlorophyll
2009-07-01,3.71E-08,Chlorophyll
2009-08-01,1.99E-08,Chlorophyll
