Date,Chlorophyll,source
02/01/2005,4.84e-06,Chlorophyll
03/01/2005,1.74e-06,Chlorophyll
04/01/2005,3.75e-06,Chlorophyll
05/01/2005,2.68e-05,Chlorophyll
06/01/2005,8.96e-05,Chlorophyll
07/01/2005,0.000106054,Chlorophyll
08/01/2005,0.000137385,Chlorophyll
09/01/2005,0.000104592,Chlorophyll
10/01/2005,0.000116676,Chlorophyll
11/01/2005,0.000102115,Chlorophyll
12/01/2005,7e-05,Chlorophyll
01/01/2006,1.7e-05,Chlorophyll
02/01/2006,4.64e-06,Chlorophyll
03/01/2006,1.23e-06,Chlorophyll
04/01/2006,3.53e-06,Chlorophyll
05/01/2006,7.3e-06,Chlorophyll
06/01/2006,6.3e-05,Chlorophyll
07/01/2006,8.57e-05,Chlorophyll
08/01/2006,0.000118191,Chlorophyll
09/01/2006,0.000107158,Chlorophyll
10/01/2006,0.000133889,Chlorophyll
11/01/2006,6.54e-05,Chlorophyll
12/01/2006,1.5e-05,Chlorophyll
01/01/2007,2.54e-06,Chlorophyll
02/01/2007,5.38e-06,Chlorophyll
03/01/2007,2.51e-06,Chlorophyll
04/01/2007,2.68e-06,Chlorophyll
05/01/2007,1.32e-05,Chlorophyll
06/01/2007,3.37e-05,Chlorophyll
07/01/2007,9.29e-05,Chlorophyll
08/01/2007,9.62e-05,Chlorophyll
09/01/2007,0.00011073,Chlorophyll
10/01/2007,9.16e-05,Chlorophyll
11/01/2007,6.66e-05,Chlorophyll
12/01/2007,4.15e-05,Chlorophyll
01/01/2008,5.31e-06,Chlorophyll
02/01/2008,1.08e-05,Chlorophyll
03/01/2008,2.65e-06,Chlorophyll
04/01/2008,1.21e-05,Chlorophyll
05/01/2008,1.58e-05,Chlorophyll
06/01/2008,4.67e-05,Chlorophyll
07/01/2008,8.2e-05,Chlorophyll
08/01/2008,0.000114156,Chlorophyll
09/01/2008,7.19e-05,Chlorophyll
10/01/2008,0.000148031,Chlorophyll
11/01/2008,7.86e-05,Chlorophyll
12/01/2008,4.57e-05,Chlorophyll
01/01/2009,4.93e-06,Chlorophyll
02/01/2009,2.61e-06,Chlorophyll
03/01/2009,1.95e-06,Chlorophyll
04/01/2009,2.64e-06,Chlorophyll
05/01/2009,2.45e-06,Chlorophyll
06/01/2009,2.96e-05,Chlorophyll
07/01/2009,7.78e-05,Chlorophyll
08/01/2009,0.00011405,Chlorophyll
09/01/2009,9.35e-05,Chlorophyll
10/01/2009,7.94e-05,Chlorophyll
11/01/2009,4.95e-05,Chlorophyll
12/01/2009,1.4e-05,Chlorophyll
01/01/2010,3.8e-06,Chlorophyll
02/01/2010,2.73e-06,Chlorophyll
03/01/2010,1.33e-06,Chlorophyll
04/01/2010,3.44e-06,Chlorophyll
05/01/2010,2.07e-05,Chlorophyll
06/01/2010,4.83e-05,Chlorophyll
07/01/2010,6.39e-05,Chlorophyll
08/01/2010,0.000134977,Chlorophyll
09/01/2010,8.85e-05,Chlorophyll
10/01/2010,6.1e-05,Chlorophyll
11/01/2010,5.05e-05,Chlorophyll
12/01/2010,3.23e-05,Chlorophyll
01/01/2011,6.28e-06,Chlorophyll
02/01/2011,3.14e-06,Chlorophyll
03/01/2011,2.36e-06,Chlorophyll
04/01/2011,2.58e-06,Chlorophyll
05/01/2011,5.43e-06,Chlorophyll
06/01/2011,4.24e-05,Chlorophyll
07/01/2011,5.81e-05,Chlorophyll
08/01/2011,8.58e-05,Chlorophyll
09/01/2011,9.92e-05,Chlorophyll
10/01/2011,8.73e-05,Chlorophyll
11/01/2011,5.76e-05,Chlorophyll
12/01/2011,3.8e-05,Chlorophyll
01/01/2012,3.47e-06,Chlorophyll
02/01/2012,1.72e-06,Chlorophyll
03/01/2012,8.15e-07,Chlorophyll
04/01/2012,3.8e-06,Chlorophyll
05/01/2012,1.54e-05,Chlorophyll
06/01/2012,4.53e-05,Chlorophyll
07/01/2012,7.74e-05,Chlorophyll
08/01/2012,0.000113448,Chlorophyll
09/01/2012,7.37e-05,Chlorophyll
10/01/2012,9.47e-05,Chlorophyll
11/01/2012,0.000101016,Chlorophyll
12/01/2012,1.82e-05,Chlorophyll
01/01/2013,3.25e-06,Chlorophyll
02/01/2013,2.22e-06,Chlorophyll
03/01/2013,1.86e-06,Chlorophyll
04/01/2013,2.26e-06,Chlorophyll
05/01/2013,1.38e-05,Chlorophyll
06/01/2013,4.49e-05,Chlorophyll
