Date,Source,Value
1/1/2005,SST,25.975624
2/1/2005,SST,25.408068
3/1/2005,SST,25.357285
4/1/2005,SST,25.772415
5/1/2005,SST,26.208021
6/1/2005,SST,27.072193
7/1/2005,SST,27.95084
8/1/2005,SST,28.11961
9/1/2005,SST,28.409267
10/1/2005,SST,28.253344
11/1/2005,SST,27.654669
12/1/2005,SST,27.309452
1/1/2006,SST,26.249058
2/1/2006,SST,25.345095
3/1/2006,SST,24.635012
4/1/2006,SST,25.25166
5/1/2006,SST,25.847986
6/1/2006,SST,26.158772
7/1/2006,SST,26.991634
8/1/2006,SST,27.753658
9/1/2006,SST,28.326221
10/1/2006,SST,28.391623
11/1/2006,SST,27.948816
12/1/2006,SST,26.709953
1/1/2007,SST,25.564741
2/1/2007,SST,25.374332
3/1/2007,SST,24.970413
4/1/2007,SST,25.33459
5/1/2007,SST,25.684875
6/1/2007,SST,26.002365
7/1/2007,SST,26.903168
8/1/2007,SST,27.207912
9/1/2007,SST,28.063194
10/1/2007,SST,27.871958
11/1/2007,SST,27.226152
12/1/2007,SST,26.358316
1/1/2008,SST,25.49973
2/1/2008,SST,24.947266
3/1/2008,SST,25.242998
4/1/2008,SST,25.366827
5/1/2008,SST,26.009302
6/1/2008,SST,26.487427
7/1/2008,SST,27.46435
8/1/2008,SST,27.836569
9/1/2008,SST,28.384844
10/1/2008,SST,28.344202
11/1/2008,SST,27.850214
12/1/2008,SST,27.475111
1/1/2009,SST,25.828121
2/1/2009,SST,24.397333
3/1/2009,SST,24.335106
4/1/2009,SST,24.568295
5/1/2009,SST,24.73133
6/1/2009,SST,25.614996
7/1/2009,SST,26.960672
8/1/2009,SST,27.709517
9/1/2009,SST,28.236351
10/1/2009,SST,28.396128
11/1/2009,SST,27.77527
12/1/2009,SST,26.86088
1/1/2010,SST,26.082642
2/1/2010,SST,25.976665
3/1/2010,SST,26.016567
4/1/2010,SST,26.545822
5/1/2010,SST,26.8253
6/1/2010,SST,27.288366
7/1/2010,SST,28.314964
8/1/2010,SST,28.159758
9/1/2010,SST,28.620861
10/1/2010,SST,28.860994
11/1/2010,SST,28.256199
12/1/2010,SST,27.476015
1/1/2011,SST,26.336552
2/1/2011,SST,25.402452
3/1/2011,SST,25.253742
4/1/2011,SST,25.391384
5/1/2011,SST,25.688004
6/1/2011,SST,26.51738
7/1/2011,SST,27.317646
8/1/2011,SST,27.90975
9/1/2011,SST,28.092522
10/1/2011,SST,28.55323
11/1/2011,SST,27.320295
12/1/2011,SST,26.542707
1/1/2012,SST,25.458656
2/1/2012,SST,24.503653
3/1/2012,SST,24.256918
4/1/2012,SST,24.739405
5/1/2012,SST,25.123856
6/1/2012,SST,26.219465
7/1/2012,SST,27.213408
8/1/2012,SST,27.690166
9/1/2012,SST,28.317978
10/1/2012,SST,28.450298
11/1/2012,SST,28.407776
12/1/2012,SST,26.79096
1/1/2013,SST,25.58646
2/1/2013,SST,25.158062
3/1/2013,SST,25.431002
4/1/2013,SST,25.765347
5/1/2013,SST,26.036638
6/1/2013,SST,26.194918
7/1/2013,SST,27.183435
8/1/2013,SST,27.754227
9/1/2013,SST,28.539383
10/1/2013,SST,28.318676
11/1/2013,SST,27.422226
12/1/2013,SST,26.903297
1/1/2014,SST,25.725931
2/1/2014,SST,24.670586
3/1/2014,SST,24.79836
4/1/2014,SST,24.66502
5/1/2014,SST,25.338087
6/1/2014,SST,25.678698
7/1/2014,SST,26.57367
8/1/2014,SST,27.442879
9/1/2014,SST,28.305172
10/1/2014,SST,28.306185
11/1/2014,SST,27.258738
12/1/2014,SST,26.610628
1/1/2015,SST,25.359379
2/1/2015,SST,24.931892
3/1/2015,SST,24.639977
4/1/2015,SST,24.41228
5/1/2015,SST,25.103117
6/1/2015,SST,25.615297
7/1/2015,SST,27.063175
8/1/2015,SST,27.771017
9/1/2015,SST,28.165304
10/1/2015,SST,28.598402
11/1/2015,SST,27.694958
12/1/2015,SST,26.559294
1/1/2016,SST,25.974285
2/1/2016,SST,25.51116
3/1/2016,SST,25.55596
4/1/2016,SST,25.477842
5/1/2016,SST,25.983847
6/1/2016,SST,26.36364
7/1/2016,SST,27.396772
8/1/2016,SST,27.749054
9/1/2016,SST,28.40847
10/1/2016,SST,28.84744
11/1/2016,SST,28.246656
12/1/2016,SST,26.815956
1/1/2017,SST,26.288744
2/1/2017,SST,24.94272
3/1/2017,SST,24.78578
4/1/2017,SST,25.420702
5/1/2017,SST,25.999313
6/1/2017,SST,26.996012
7/1/2017,SST,27.644518
8/1/2017,SST,27.891752
9/1/2017,SST,28.034554
10/1/2017,SST,27.800917
11/1/2017,SST,27.851637
12/1/2017,SST,27.011847
1/1/2018,SST,25.41526
2/1/2018,SST,25.286674
3/1/2018,SST,24.883064
4/1/2018,SST,24.809694
5/1/2018,SST,24.969076
6/1/2018,SST,25.448954
7/1/2018,SST,26.581911
8/1/2018,SST,27.806067
9/1/2018,SST,27.872496
10/1/2018,SST,28.162453
11/1/2018,SST,27.520395
12/1/2018,SST,26.618761
1/1/2019,SST,26.043114
2/1/2019,SST,25.285934
3/1/2019,SST,24.807755
4/1/2019,SST,25.069368
5/1/2019,SST,25.613726
6/1/2019,SST,25.907026
7/1/2019,SST,26.87463
8/1/2019,SST,27.602333
9/1/2019,SST,28.362045
10/1/2019,SST,28.501467
11/1/2019,SST,27.56658
12/1/2019,SST,26.538343
1/1/2020,SST,25.74355
2/1/2020,SST,25.370977
3/1/2020,SST,25.618702
4/1/2020,SST,25.80483
5/1/2020,SST,25.988647
6/1/2020,SST,26.977024
7/1/2020,SST,27.905762
8/1/2020,SST,27.72427
9/1/2020,SST,28.51885
10/1/2020,SST,28.464428
11/1/2020,SST,27.989172
12/1/2020,SST,27.002254
1/1/2021,SST,26.402409
2/1/2021,SST,25.352192
3/1/2021,SST,25.237732
4/1/2021,SST,25.142063
5/1/2021,SST,25.626778
6/1/2021,SST,26.36041
7/1/2021,SST,27.14324
8/1/2021,SST,27.897789
9/1/2021,SST,28.277164
10/1/2021,SST,28.051418
11/1/2021,SST,28.062376
12/1/2021,SST,26.611305
1/1/2022,SST,26.490803
2/1/2022,SST,25.534632
3/1/2022,SST,24.755684
4/1/2022,SST,25.458363
5/1/2022,SST,25.922518
6/1/2022,SST,26.582855
7/1/2022,SST,27.107473
8/1/2022,SST,27.993235
9/1/2022,SST,28.37603
10/1/2022,SST,28.231123
11/1/2022,SST,27.430464
12/1/2022,SST,26.531599
