Date,Chlorophyll,source
2005-01-01,25.975624,Chlorophyll
2005-02-01,25.408068,Chlorophyll
2005-03-01,25.357285,Chlorophyll
2005-04-01,25.772415,Chlorophyll
2005-05-01,26.208021,Chlorophyll
2005-06-01,27.072193,Chlorophyll
2005-07-01,27.95084,Chlorophyll
2005-08-01,28.11961,Chlorophyll
2005-09-01,28.409267,Chlorophyll
2005-10-01,28.253344,Chlorophyll
2005-11-01,27.654669,Chlorophyll
2005-12-01,27.309452,Chlorophyll
2006-01-01,26.249058,Chlorophyll
2006-02-01,25.345095,Chlorophyll
2006-03-01,24.635012,Chlorophyll
2006-04-01,25.25166,Chlorophyll
2006-05-01,25.847986,Chlorophyll
2006-06-01,26.158772,Chlorophyll
2006-07-01,26.991634,Chlorophyll
2006-08-01,27.753658,Chlorophyll
2006-09-01,28.326221,Chlorophyll
2006-10-01,28.391623,Chlorophyll
2006-11-01,27.948816,Chlorophyll
2006-12-01,26.709953,Chlorophyll
2007-01-01,25.564741,Chlorophyll
2007-02-01,25.374332,Chlorophyll
2007-03-01,24.970413,Chlorophyll
2007-04-01,25.33459,Chlorophyll
2007-05-01,25.684875,Chlorophyll
2007-06-01,26.002365,Chlorophyll
2007-07-01,26.903168,Chlorophyll
2007-08-01,27.207912,Chlorophyll
2007-09-01,28.063194,Chlorophyll
2007-10-01,27.871958,Chlorophyll
2007-11-01,27.226152,Chlorophyll
2007-12-01,26.358316,Chlorophyll
2008-01-01,25.49973,Chlorophyll
2008-02-01,24.947266,Chlorophyll
2008-03-01,25.242998,Chlorophyll
2008-04-01,25.366827,Chlorophyll
2008-05-01,26.009302,Chlorophyll
2008-06-01,26.487427,Chlorophyll
2008-07-01,27.46435,Chlorophyll
2008-08-01,27.836569,Chlorophyll
2008-09-01,28.384844,Chlorophyll
2008-10-01,28.344202,Chlorophyll
2008-11-01,27.850214,Chlorophyll
2008-12-01,27.475111,Chlorophyll
2009-01-01,25.828121,Chlorophyll
2009-02-01,24.397333,Chlorophyll
2009-03-01,24.335106,Chlorophyll
2009-04-01,24.568295,Chlorophyll
2009-05-01,24.73133,Chlorophyll
2009-06-01,25.614996,Chlorophyll
2009-07-01,26.960672,Chlorophyll
2009-08-01,27.709517,Chlorophyll
2009-09-01,28.236351,Chlorophyll
2009-10-01,28.396128,Chlorophyll
2009-11-01,27.77527,Chlorophyll
2009-12-01,26.86088,Chlorophyll
2010-01-01,26.082642,Chlorophyll
2010-02-01,25.976665,Chlorophyll
2010-03-01,26.016567,Chlorophyll
2010-04-01,26.545822,Chlorophyll
2010-05-01,26.8253,Chlorophyll
2010-06-01,27.288366,Chlorophyll
2010-07-01,28.314964,Chlorophyll
2010-08-01,28.159758,Chlorophyll
2010-09-01,28.620861,Chlorophyll
2010-10-01,28.860994,Chlorophyll
2010-11-01,28.256199,Chlorophyll
2010-12-01,27.476015,Chlorophyll
2011-01-01,26.336552,Chlorophyll
2011-02-01,25.402452,Chlorophyll
2011-03-01,25.253742,Chlorophyll
2011-04-01,25.391384,Chlorophyll
2011-05-01,25.688004,Chlorophyll
2011-06-01,26.51738,Chlorophyll
2011-07-01,27.317646,Chlorophyll
2011-08-01,27.90975,Chlorophyll
2011-09-01,28.092522,Chlorophyll
2011-10-01,28.55323,Chlorophyll
2011-11-01,27.320295,Chlorophyll
2011-12-01,26.542707,Chlorophyll
2012-01-01,25.458656,Chlorophyll
2012-02-01,24.503653,Chlorophyll
2012-03-01,24.256918,Chlorophyll
2012-04-01,24.739405,Chlorophyll
2012-05-01,25.123856,Chlorophyll
2012-06-01,26.219465,Chlorophyll
2012-07-01,27.213408,Chlorophyll
2012-08-01,27.690166,Chlorophyll
2012-09-01,28.317978,Chlorophyll
2012-10-01,28.450298,Chlorophyll
2012-11-01,28.407776,Chlorophyll
2012-12-01,26.79096,Chlorophyll
2013-01-01,25.58646,Chlorophyll
2013-02-01,25.158062,Chlorophyll
2013-03-01,25.431002,Chlorophyll
2013-04-01,25.765347,Chlorophyll
2013-05-01,26.036638,Chlorophyll
2013-06-01,26.194918,Chlorophyll
2013-07-01,27.183435,Chlorophyll
2013-08-01,27.754227,Chlorophyll
2013-09-01,28.539383,Chlorophyll
2013-10-01,28.318676,Chlorophyll
2013-11-01,27.422226,Chlorophyll
2013-12-01,26.903297,Chlorophyll
2014-01-01,25.725931,Chlorophyll
2014-02-01,24.670586,Chlorophyll
2014-03-01,24.79836,Chlorophyll
2014-04-01,24.66502,Chlorophyll
2014-05-01,25.338087,Chlorophyll
2014-06-01,25.678698,Chlorophyll
2014-07-01,26.57367,Chlorophyll
2014-08-01,27.442879,Chlorophyll
2014-09-01,28.305172,Chlorophyll
2014-10-01,28.306185,Chlorophyll
2014-11-01,27.258738,Chlorophyll
2014-12-01,26.610628,Chlorophyll
2015-01-01,25.359379,Chlorophyll
2015-02-01,24.931892,Chlorophyll
2015-03-01,24.639977,Chlorophyll
2015-04-01,24.41228,Chlorophyll
2015-05-01,25.103117,Chlorophyll
2015-06-01,25.615297,Chlorophyll
2015-07-01,27.063175,Chlorophyll
2015-08-01,27.771017,Chlorophyll
2015-09-01,28.165304,Chlorophyll
2015-10-01,28.598402,Chlorophyll
2015-11-01,27.694958,Chlorophyll
2015-12-01,26.559294,Chlorophyll
2016-01-01,25.974285,Chlorophyll
2016-02-01,25.51116,Chlorophyll
2016-03-01,25.55596,Chlorophyll
2016-04-01,25.477842,Chlorophyll
2016-05-01,25.983847,Chlorophyll
2016-06-01,26.36364,Chlorophyll
2016-07-01,27.396772,Chlorophyll
2016-08-01,27.749054,Chlorophyll
2016-09-01,28.40847,Chlorophyll
2016-10-01,28.84744,Chlorophyll
2016-11-01,28.246656,Chlorophyll
2016-12-01,26.815956,Chlorophyll
2017-01-01,26.288744,Chlorophyll
2017-02-01,24.94272,Chlorophyll
2017-03-01,24.78578,Chlorophyll
2017-04-01,25.420702,Chlorophyll
2017-05-01,25.999313,Chlorophyll
2017-06-01,26.996012,Chlorophyll
2017-07-01,27.644518,Chlorophyll
2017-08-01,27.891752,Chlorophyll
2017-09-01,28.034554,Chlorophyll
2017-10-01,27.800917,Chlorophyll
2017-11-01,27.851637,Chlorophyll
2017-12-01,27.011847,Chlorophyll
2018-01-01,25.41526,Chlorophyll
2018-02-01,25.286674,Chlorophyll
2018-03-01,24.883064,Chlorophyll
2018-04-01,24.809694,Chlorophyll
2018-05-01,24.969076,Chlorophyll
2018-06-01,25.448954,Chlorophyll
2018-07-01,26.581911,Chlorophyll
2018-08-01,27.806067,Chlorophyll
2018-09-01,27.872496,Chlorophyll
2018-10-01,28.162453,Chlorophyll
2018-11-01,27.520395,Chlorophyll
2018-12-01,26.618761,Chlorophyll
2019-01-01,26.043114,Chlorophyll
2019-02-01,25.285934,Chlorophyll
