Date,SST,source
2005-01-01,25.975624,SST
2005-02-01,25.408068,SST
2005-03-01,25.357285,SST
2005-04-01,25.772415,SST
2005-05-01,26.208021,SST
2005-06-01,27.072193,SST
2005-07-01,27.95084,SST
2005-08-01,28.11961,SST
2005-09-01,28.409267,SST
2005-10-01,28.253344,SST
2005-11-01,27.654669,SST
2005-12-01,27.309452,SST
2006-01-01,26.249058,SST
2006-02-01,25.345095,SST
2006-03-01,24.635012,SST
2006-04-01,25.25166,SST
2006-05-01,25.847986,SST
2006-06-01,26.158772,SST
2006-07-01,26.991634,SST
2006-08-01,27.753658,SST
2006-09-01,28.326221,SST
2006-10-01,28.391623,SST
2006-11-01,27.948816,SST
2006-12-01,26.709953,SST
2007-01-01,25.564741,SST
2007-02-01,25.374332,SST
2007-03-01,24.970413,SST
2007-04-01,25.33459,SST
2007-05-01,25.684875,SST
2007-06-01,26.002365,SST
2007-07-01,26.903168,SST
2007-08-01,27.207912,SST
2007-09-01,28.063194,SST
2007-10-01,27.871958,SST
2007-11-01,27.226152,SST
2007-12-01,26.358316,SST
2008-01-01,25.49973,SST
2008-02-01,24.947266,SST
2008-03-01,25.242998,SST
2008-04-01,25.366827,SST
2008-05-01,26.009302,SST
2008-06-01,26.487427,SST
2008-07-01,27.46435,SST
2008-08-01,27.836569,SST
2008-09-01,28.384844,SST
2008-10-01,28.344202,SST
2008-11-01,27.850214,SST
2008-12-01,27.475111,SST
2009-01-01,25.828121,SST
2009-02-01,24.397333,SST
2009-03-01,24.335106,SST
2009-04-01,24.568295,SST
2009-05-01,24.73133,SST
2009-06-01,25.614996,SST
2009-07-01,26.960672,SST
2009-08-01,27.709517,SST
2009-09-01,28.236351,SST
2009-10-01,28.396128,SST
2009-11-01,27.77527,SST
2009-12-01,26.86088,SST
2010-01-01,26.082642,SST
2010-02-01,25.976665,SST
2010-03-01,26.016567,SST
2010-04-01,26.545822,SST
2010-05-01,26.8253,SST
2010-06-01,27.288366,SST
2010-07-01,28.314964,SST
2010-08-01,28.159758,SST
2010-09-01,28.620861,SST
2010-10-01,28.860994,SST
2010-11-01,28.256199,SST
2010-12-01,27.476015,SST
2011-01-01,26.336552,SST
2011-02-01,25.402452,SST
2011-03-01,25.253742,SST
2011-04-01,25.391384,SST
2011-05-01,25.688004,SST
2011-06-01,26.51738,SST
2011-07-01,27.317646,SST
2011-08-01,27.90975,SST
2011-09-01,28.092522,SST
2011-10-01,28.55323,SST
2011-11-01,27.320295,SST
2011-12-01,26.542707,SST
2012-01-01,25.458656,SST
2012-02-01,24.503653,SST
2012-03-01,24.256918,SST
2012-04-01,24.739405,SST
2012-05-01,25.123856,SST
2012-06-01,26.219465,SST
2012-07-01,27.213408,SST
2012-08-01,27.690166,SST
2012-09-01,28.317978,SST
2012-10-01,28.450298,SST
2012-11-01,28.407776,SST
2012-12-01,26.79096,SST
2013-01-01,25.58646,SST
2013-02-01,25.158062,SST
2013-03-01,25.431002,SST
2013-04-01,25.765347,SST
2013-05-01,26.036638,SST
2013-06-01,26.194918,SST
2013-07-01,27.183435,SST
2013-08-01,27.754227,SST
2013-09-01,28.539383,SST
2013-10-01,28.318676,SST
2013-11-01,27.422226,SST
2013-12-01,26.903297,SST
2014-01-01,25.725931,SST
2014-02-01,24.670586,SST
2014-03-01,24.79836,SST
2014-04-01,24.66502,SST
2014-05-01,25.338087,SST
2014-06-01,25.678698,SST
2014-07-01,26.57367,SST
2014-08-01,27.442879,SST
2014-09-01,28.305172,SST
2014-10-01,28.306185,SST
2014-11-01,27.258738,SST
2014-12-01,26.610628,SST
2015-01-01,25.359379,SST
2015-02-01,24.931892,SST
2015-03-01,24.639977,SST
2015-04-01,24.41228,SST
2015-05-01,25.103117,SST
2015-06-01,25.615297,SST
2015-07-01,27.063175,SST
2015-08-01,27.771017,SST
2015-09-01,28.165304,SST
2015-10-01,28.598402,SST
2015-11-01,27.694958,SST
2015-12-01,26.559294,SST
2016-01-01,25.974285,SST
2016-02-01,25.51116,SST
2016-03-01,25.55596,SST
2016-04-01,25.477842,SST
2016-05-01,25.983847,SST
2016-06-01,26.36364,SST
2016-07-01,27.396772,SST
2016-08-01,27.749054,SST
2016-09-01,28.40847,SST
2016-10-01,28.84744,SST
2016-11-01,28.246656,SST
2016-12-01,26.815956,SST
2017-01-01,26.288744,SST
2017-02-01,24.94272,SST
2017-03-01,24.78578,SST
2017-04-01,25.420702,SST
2017-05-01,25.999313,SST
2017-06-01,26.996012,SST
2017-07-01,27.644518,SST
2017-08-01,27.891752,SST
2017-09-01,28.034554,SST
2017-10-01,27.800917,SST
2017-11-01,27.851637,SST
2017-12-01,27.011847,SST
2018-01-01,25.41526,SST
2018-02-01,25.286674,SST
2018-03-01,24.883064,SST
2018-04-01,24.809694,SST
2018-05-01,24.969076,SST
2018-06-01,25.448954,SST
2018-07-01,26.581911,SST
2018-08-01,27.806067,SST
2018-09-01,27.872496,SST
2018-10-01,28.162453,SST
2018-11-01,27.520395,SST
2018-12-01,26.618761,SST
2019-01-01,26.043114,SST
2019-02-01,25.285934,SST
2019-03-01,24.807755,SST
2019-04-01,25.069368,SST
2019-05-01,25.613726,SST
2019-06-01,25.907026,SST
2019-07-01,26.87463,SST
2019-08-01,27.602333,SST
2019-09-01,28.362045,SST
2019-10-01,28.501467,SST
2019-11-01,27.56658,SST
2019-12-01,26.538343,SST
2020-01-01,25.74355,SST
2020-02-01,25.370977,SST
2020-03-01,25.618702,SST
2020-04-01,25.80483,SST
2020-05-01,25.988647,SST
2020-06-01,26.977024,SST
2020-07-01,27.905762,SST
2020-08-01,27.72427,SST
2020-09-01,28.51885,SST
2020-10-01,28.464428,SST
2020-11-01,27.989172,SST
2020-12-01,27.002254,SST
2021-01-01,26.402409,SST
2021-02-01,25.352192,SST
2021-03-01,25.237732,SST
2021-04-01,25.142063,SST
2021-05-01,25.626778,SST
2021-06-01,26.36041,SST
2021-07-01,27.14324,SST
2021-08-01,27.897789,SST
2021-09-01,28.277164,SST
2021-10-01,28.051418,SST
2021-11-01,28.062376,SST
2021-12-01,26.611305,SST
2022-01-01,26.490803,SST
2022-02-01,25.534632,SST
2022-03-01,24.755684,SST
2022-04-01,25.458363,SST
2022-05-01,25.922518,SST
2022-06-01,26.582855,SST
2022-07-01,27.107473,SST
2022-08-01,27.993235,SST
2022-09-01,28.37603,SST
2022-10-01,28.231123,SST
2022-11-01,27.430464,SST
2022-12-01,26.531599,SST
2005-01-01,26.57922481,Trendline
2005-02-01,26.57977816,Trendline
2005-03-01,26.58027796,Trendline
2005-04-01,26.58083131,Trendline
2005-05-01,26.5813668,Trendline
2005-06-01,26.58192015,Trendline
2005-07-01,26.58245565,Trendline
2005-08-01,26.583009,Trendline
2005-09-01,26.58356234,Trendline
2005-10-01,26.58409784,Trendline
2005-11-01,26.58465119,Trendline
2005-12-01,26.58518669,Trendline
2006-01-01,26.58574003,Trendline
2006-02-01,26.58629338,Trendline
2006-03-01,26.58679318,Trendline
2006-04-01,26.58734653,Trendline
2006-05-01,26.58788203,Trendline
2006-06-01,26.58843537,Trendline
2006-07-01,26.58897087,Trendline
2006-08-01,26.58952422,Trendline
2006-09-01,26.59007757,Trendline
2006-10-01,26.59061306,Trendline
2006-11-01,26.59116641,Trendline
2006-12-01,26.59170191,Trendline
2007-01-01,26.59225526,Trendline
2007-02-01,26.5928086,Trendline
2007-03-01,26.5933084,Trendline
2007-04-01,26.59386175,Trendline
2007-05-01,26.59439725,Trendline
2007-06-01,26.59495059,Trendline
2007-07-01,26.59548609,Trendline
2007-08-01,26.59603944,Trendline
2007-09-01,26.59659279,Trendline
2007-10-01,26.59712828,Trendline
2007-11-01,26.59768163,Trendline
2007-12-01,26.59821713,Trendline
2008-01-01,26.59877048,Trendline
