Date,Source,Value
1/1/2005,WS,8.069396
2/1/2005,WS,8.445715
3/1/2005,WS,7.211135
4/1/2005,WS,7.443885
5/1/2005,WS,6.615012
6/1/2005,WS,5.973491
7/1/2005,WS,5.31532
8/1/2005,WS,6.202427
9/1/2005,WS,5.572314
10/1/2005,WS,6.255162
11/1/2005,WS,7.12325
12/1/2005,WS,7.295783
1/1/2006,WS,8.913346
2/1/2006,WS,8.67284
3/1/2006,WS,7.922469
4/1/2006,WS,7.65269
5/1/2006,WS,7.285982
6/1/2006,WS,7.06637
7/1/2006,WS,5.200898
8/1/2006,WS,5.257724
9/1/2006,WS,5.290112
10/1/2006,WS,5.52709
11/1/2006,WS,6.517857
12/1/2006,WS,8.435845
1/1/2007,WS,7.630562
2/1/2007,WS,8.457273
3/1/2007,WS,8.793792
4/1/2007,WS,7.219954
5/1/2007,WS,7.381546
6/1/2007,WS,6.396034
7/1/2007,WS,5.557421
8/1/2007,WS,5.881324
9/1/2007,WS,5.741378
10/1/2007,WS,6.554737
11/1/2007,WS,7.344843
12/1/2007,WS,8.199868
1/1/2008,WS,8.280926
2/1/2008,WS,7.770906
3/1/2008,WS,7.209465
4/1/2008,WS,7.724816
5/1/2008,WS,7.550599
6/1/2008,WS,6.783493
7/1/2008,WS,5.171338
8/1/2008,WS,5.967887
9/1/2008,WS,4.78351
10/1/2008,WS,6.045309
11/1/2008,WS,6.369763
12/1/2008,WS,7.714085
1/1/2009,WS,10.163117
2/1/2009,WS,9.451333
3/1/2009,WS,7.732228
4/1/2009,WS,8.085524
5/1/2009,WS,7.330793
6/1/2009,WS,6.722349
7/1/2009,WS,4.976252
8/1/2009,WS,5.720382
9/1/2009,WS,4.948772
10/1/2009,WS,5.687115
11/1/2009,WS,7.470089
12/1/2009,WS,7.535605
1/1/2010,WS,7.135541
2/1/2010,WS,6.682623
3/1/2010,WS,7.616232
4/1/2010,WS,6.613133
5/1/2010,WS,7.696375
6/1/2010,WS,6.158537
7/1/2010,WS,4.507168
8/1/2010,WS,5.667163
9/1/2010,WS,5.788666
10/1/2010,WS,5.17738
11/1/2010,WS,6.148728
12/1/2010,WS,7.305151
1/1/2011,WS,8.270802
2/1/2011,WS,8.929856
3/1/2011,WS,8.041527
4/1/2011,WS,7.403247
5/1/2011,WS,7.478248
6/1/2011,WS,6.193819
7/1/2011,WS,5.448402
8/1/2011,WS,5.725804
9/1/2011,WS,5.344845
10/1/2011,WS,5.308017
11/1/2011,WS,7.814481
12/1/2011,WS,8.31143
1/1/2012,WS,8.293628
2/1/2012,WS,9.160631
3/1/2012,WS,7.070783
4/1/2012,WS,7.701999
5/1/2012,WS,6.674381
6/1/2012,WS,5.766514
7/1/2012,WS,5.116668
8/1/2012,WS,5.827261
9/1/2012,WS,4.950883
10/1/2012,WS,5.103281
11/1/2012,WS,6.122926
12/1/2012,WS,8.111104
1/1/2013,WS,8.23255
2/1/2013,WS,7.703672
3/1/2013,WS,7.039209
4/1/2013,WS,7.104229
5/1/2013,WS,6.942931
6/1/2013,WS,6.538796
7/1/2013,WS,5.214487
8/1/2013,WS,5.456016
9/1/2013,WS,5.338557
10/1/2013,WS,5.90657
11/1/2013,WS,6.802513
12/1/2013,WS,8.301278
1/1/2014,WS,8.430534
2/1/2014,WS,9.688716
3/1/2014,WS,7.592584
4/1/2014,WS,7.037204
5/1/2014,WS,7.230042
6/1/2014,WS,6.518523
7/1/2014,WS,5.326715
8/1/2014,WS,5.458575
9/1/2014,WS,4.869503
10/1/2014,WS,5.054424
11/1/2014,WS,7.011832
12/1/2014,WS,7.081848
1/1/2015,WS,8.909415
2/1/2015,WS,8.251186
3/1/2015,WS,7.849205
4/1/2015,WS,7.7381
5/1/2015,WS,6.466302
6/1/2015,WS,6.118198
7/1/2015,WS,4.817108
8/1/2015,WS,4.91894
9/1/2015,WS,4.796317
10/1/2015,WS,4.875529
11/1/2015,WS,7.129196
12/1/2015,WS,7.732338
1/1/2016,WS,7.537096
2/1/2016,WS,9.036008
3/1/2016,WS,7.454822
4/1/2016,WS,7.212411
5/1/2016,WS,7.27353
6/1/2016,WS,5.371522
7/1/2016,WS,4.901848
8/1/2016,WS,4.89265
9/1/2016,WS,5.034807
10/1/2016,WS,5.325325
11/1/2016,WS,5.802997
12/1/2016,WS,8.529071
1/1/2017,WS,7.66112
2/1/2017,WS,9.041846
3/1/2017,WS,7.755463
