Date,Load,Source
01/01/2023 01:00,"35,609.17",Natural Gas Usage
01/01/2023 02:00,"35,012.30",Natural Gas Usage
01/01/2023 03:00,"34,369.58",Natural Gas Usage
01/01/2023 04:00,"34,000.73",Natural Gas Usage
01/01/2023 05:00,"33,865.08",Natural Gas Usage
01/01/2023 06:00,"34,067.63",Natural Gas Usage
01/01/2023 07:00,"34,581.28",Natural Gas Usage
01/01/2023 08:00,"35,096.25",Natural Gas Usage
01/01/2023 09:00,"35,734.40",Natural Gas Usage
01/01/2023 10:00,"36,439.85",Natural Gas Usage
01/01/2023 11:00,"36,744.05",Natural Gas Usage
01/01/2023 12:00,"37,129.35",Natural Gas Usage
01/01/2023 13:00,"37,712.23",Natural Gas Usage
01/01/2023 14:00,"37,983.33",Natural Gas Usage
01/01/2023 15:00,"38,646.24",Natural Gas Usage
01/01/2023 16:00,"39,378.86",Natural Gas Usage
01/01/2023 17:00,"39,596.64",Natural Gas Usage
01/01/2023 18:00,"40,241.54",Natural Gas Usage
01/01/2023 19:00,"41,594.99",Natural Gas Usage
01/01/2023 20:00,"41,207.75",Natural Gas Usage
01/01/2023 21:00,"40,723.69",Natural Gas Usage
01/01/2023 22:00,"39,941.49",Natural Gas Usage
01/01/2023 23:00,"38,748.04",Natural Gas Usage
01/01/2023 24:00,"37,239.67",Natural Gas Usage
01/02/2023 01:00,"35,706.70",Natural Gas Usage
01/02/2023 02:00,"34,715.64",Natural Gas Usage
01/02/2023 03:00,"34,044.65",Natural Gas Usage
01/02/2023 04:00,"33,752.80",Natural Gas Usage
01/02/2023 05:00,"33,961.89",Natural Gas Usage
01/02/2023 06:00,"34,696.42",Natural Gas Usage
01/02/2023 07:00,"35,943.73",Natural Gas Usage
01/02/2023 08:00,"37,044.83",Natural Gas Usage
01/02/2023 09:00,"38,050.09",Natural Gas Usage
01/02/2023 10:00,"39,717.57",Natural Gas Usage
01/02/2023 11:00,"41,157.15",Natural Gas Usage
01/02/2023 12:00,"42,415.07",Natural Gas Usage
01/02/2023 13:00,"43,271.60",Natural Gas Usage
01/02/2023 14:00,"43,780.55",Natural Gas Usage
01/02/2023 15:00,"44,083.52",Natural Gas Usage
01/02/2023 16:00,"44,386.97",Natural Gas Usage
01/02/2023 17:00,"44,746.97",Natural Gas Usage
01/02/2023 18:00,"45,656.03",Natural Gas Usage
01/02/2023 19:00,"46,265.64",Natural Gas Usage
01/02/2023 20:00,"45,568.61",Natural Gas Usage
01/02/2023 21:00,"44,432.30",Natural Gas Usage
01/02/2023 22:00,"43,081.48",Natural Gas Usage
01/02/2023 23:00,"41,135.34",Natural Gas Usage
01/02/2023 24:00,"38,786.89",Natural Gas Usage
01/03/2023 01:00,"36,776.14",Natural Gas Usage
01/03/2023 02:00,"35,279.44",Natural Gas Usage
01/03/2023 03:00,"34,503.53",Natural Gas Usage
01/03/2023 04:00,"34,183.05",Natural Gas Usage
01/03/2023 05:00,"34,551.89",Natural Gas Usage
01/03/2023 06:00,"35,965.81",Natural Gas Usage
