Date,Value,Type
1998-01-01,4.65713978,Rainfall
1998-02-01,4.45580626,Rainfall
1998-03-01,1.77589536,Rainfall
1998-04-01,1.88799059,Rainfall
1998-05-01,0.455876976,Rainfall
1998-06-01,1.25498819,Rainfall
1998-07-01,1.321684,Rainfall
1998-08-01,3.86799479,Rainfall
1998-09-01,11.4454803,Rainfall
1998-10-01,6.81219912,Rainfall
1998-11-01,5.21285343,Rainfall
1998-12-01,3.45753598,Rainfall
1999-01-01,1.8961041,Rainfall
1999-02-01,2.13412571,Rainfall
1999-03-01,3.65421104,Rainfall
1999-04-01,1.86932659,Rainfall
1999-05-01,1.76070607,Rainfall
1999-06-01,3.58405256,Rainfall
1999-07-01,2.97869658,Rainfall
1999-08-01,0.861623228,Rainfall
1999-09-01,2.67061639,Rainfall
1999-10-01,1.16148102,Rainfall
1999-11-01,0.479406595,Rainfall
1999-12-01,3.81552196,Rainfall
2000-01-01,2.22893405,Rainfall
2000-02-01,1.5277307,Rainfall
2000-03-01,4.87593746,Rainfall
2000-04-01,1.86998284,Rainfall
2000-05-01,3.14705634,Rainfall
2000-06-01,2.79657292,Rainfall
2000-07-01,0.721914232,Rainfall
2000-08-01,0.972471416,Rainfall
2000-09-01,2.30178428,Rainfall
2000-10-01,1.65633249,Rainfall
2000-11-01,9.43341351,Rainfall
2000-12-01,2.82746935,Rainfall
2001-01-01,4.48099327,Rainfall
2001-02-01,2.16141677,Rainfall
2001-03-01,6.40369368,Rainfall
2001-04-01,1.22987056,Rainfall
2001-05-01,1.47285366,Rainfall
2001-06-01,5.78705692,Rainfall
2001-07-01,2.36864781,Rainfall
2001-08-01,5.92986727,Rainfall
2001-09-01,3.97851276,Rainfall
2001-10-01,3.56061339,Rainfall
2001-11-01,2.40629506,Rainfall
2001-12-01,4.62835598,Rainfall
2002-01-01,2.57741094,Rainfall
2002-02-01,2.18166304,Rainfall
2002-03-01,2.51416683,Rainfall
2002-04-01,1.90255547,Rainfall
2002-05-01,1.11583233,Rainfall
2002-06-01,3.72814512,Rainfall
2002-07-01,3.16762805,Rainfall
2002-08-01,2.8719399,Rainfall
2002-09-01,5.62388706,Rainfall
2002-10-01,6.60429001,Rainfall
2002-11-01,4.20800447,Rainfall
2002-12-01,6.08018494,Rainfall
2003-01-01,1.51306868,Rainfall
2003-02-01,6.28597212,Rainfall
2003-03-01,2.97737575,Rainfall
2003-04-01,3.15514278,Rainfall
2003-05-01,0.904879093,Rainfall
2003-06-01,2.67054009,Rainfall
