Date,LST,Sources
1/31/2002,8.059268599999996,LST Day
2/28/2002,15.614513799999997,LST Day
3/31/2002,18.63631700000002,LST Day
4/30/2002,23.591973600000017,LST Day
5/31/2002,27.427005099999974,LST Day
6/30/2002,33.9513063,LST Day
7/31/2002,35.77757839999998,LST Day
8/31/2002,35.38053180000003,LST Day
9/30/2002,32.06285059999999,LST Day
10/31/2002,23.987495500000023,LST Day
11/30/2002,16.344908299999986,LST Day
12/31/2002,9.471971699999983,LST Day
1/31/2003,12.645539900000017,LST Day
2/28/2003,13.036584199999993,LST Day
3/31/2003,17.38374429999999,LST Day
4/30/2003,18.796564699999976,LST Day
5/31/2003,25.634469799999977,LST Day
6/30/2003,32.380725600000005,LST Day
7/31/2003,36.386093200000005,LST Day
8/31/2003,34.07727820000002,LST Day
9/30/2003,31.82337419999999,LST Day
10/31/2003,27.656344100000013,LST Day
11/30/2003,12.809076300000015,LST Day
12/31/2003,7.197026199999982,LST Day
1/31/2004,8.189320899999984,LST Day
2/29/2004,11.569752699999981,LST Day
3/31/2004,22.26029890000001,LST Day
4/30/2004,25.955306800000017,LST Day
5/31/2004,26.362635899999987,LST Day
6/30/2004,32.86867710000001,LST Day
7/31/2004,35.96711590000001,LST Day
8/31/2004,35.3717858,LST Day
9/30/2004,31.8375681,LST Day
10/31/2004,21.25615479999999,LST Day
11/30/2004,12.905896100000007,LST Day
12/31/2004,10.55487979999998,LST Day
1/31/2005,9.550367400000027,LST Day
2/28/2005,13.535488799999996,LST Day
3/31/2005,17.916066,LST Day
4/30/2005,19.09529329999998,LST Day
5/31/2005,24.621920199999977,LST Day
6/30/2005,29.210081899999977,LST Day
7/31/2005,36.0865493,LST Day
8/31/2005,34.79048110000002,LST Day
9/30/2005,28.120835999999997,LST Day
10/31/2005,23.130480799999987,LST Day
11/30/2005,13.589643500000022,LST Day
12/31/2005,10.907232700000009,LST Day
1/31/2006,9.257326799999987,LST Day
2/28/2006,14.40548849999999,LST Day
3/31/2006,11.793908499999986,LST Day
4/30/2006,20.951844499999993,LST Day
5/31/2006,28.9964521,LST Day
6/30/2006,33.6852356,LST Day
7/31/2006,36.760734000000014,LST Day
8/31/2006,33.803523600000005,LST Day
9/30/2006,28.762668500000018,LST Day
10/31/2006,23.9547733,LST Day
11/30/2006,14.426979500000016,LST Day
12/31/2006,8.98848529999998,LST Day
1/31/2007,10.359108300000003,LST Day
2/28/2007,12.921839299999988,LST Day
3/31/2007,21.08923709999999,LST Day
4/30/2007,19.915524199999993,LST Day
5/31/2007,28.266112799999974,LST Day
6/30/2007,32.092632400000014,LST Day
7/31/2007,35.99038519999999,LST Day
8/31/2007,35.11933449999998,LST Day
9/30/2007,26.789800000000014,LST Day
10/31/2007,22.053873899999985,LST Day
11/30/2007,16.61362079999998,LST Day
12/31/2007,7.675915799999984,LST Day
1/31/2008,8.339369299999987,LST Day
2/29/2008,13.425146700000028,LST Day
3/31/2008,17.762316199999987,LST Day
4/30/2008,24.498668699999996,LST Day
5/31/2008,29.14182840000001,LST Day
6/30/2008,33.71415250000001,LST Day
7/31/2008,36.46852999999999,LST Day
8/31/2008,38.32744109999999,LST Day
9/30/2008,34.21058799999997,LST Day
10/31/2008,23.841192999999976,LST Day
11/30/2008,18.29931640000001,LST Day
12/31/2008,9.374353799999994,LST Day
1/31/2009,13.346451800000011,LST Day
2/28/2009,11.966571600000009,LST Day
3/31/2009,18.929400199999975,LST Day
4/30/2009,24.547844800000007,LST Day
5/31/2009,30.398183899999992,LST Day
6/30/2009,31.833545700000002,LST Day
7/31/2009,37.49187810000001,LST Day
8/31/2009,36.06443730000001,LST Day
9/30/2009,32.286519699999985,LST Day
10/31/2009,22.444179799999972,LST Day
11/30/2009,15.670223599999986,LST Day
12/31/2009,7.778996699999993,LST Day
1/31/2010,5.563394200000005,LST Day
2/28/2010,11.401168900000016,LST Day
3/31/2010,15.823992400000009,LST Day
4/30/2010,20.307531400000016,LST Day
5/31/2010,22.191874799999994,LST Day
6/30/2010,31.325373000000013,LST Day
7/31/2010,35.9944673,LST Day
8/31/2010,34.949395400000014,LST Day
9/30/2010,31.92988200000002,LST Day
10/31/2010,22.955171399999983,LST Day
11/30/2010,13.483350599999994,LST Day
12/31/2010,8.382563500000003,LST Day
1/31/2011,11.196578299999999,LST Day
2/28/2011,11.641023399999995,LST Day
3/31/2011,14.450760800000012,LST Day
4/30/2011,18.15103210000001,LST Day
5/31/2011,23.029976599999998,LST Day
6/30/2011,30.473133800000028,LST Day
7/31/2011,33.5016086,LST Day
8/31/2011,34.99141709999998,LST Day
9/30/2011,30.818063100000018,LST Day
10/31/2011,22.741399600000022,LST Day
11/30/2011,14.693829999999991,LST Day
12/31/2011,11.553832399999976,LST Day
1/31/2012,11.30116240000001,LST Day
2/29/2012,13.767692000000011,LST Day
3/31/2012,12.065890299999978,LST Day
4/30/2012,22.139310899999998,LST Day
5/31/2012,29.13628060000002,LST Day
6/30/2012,33.24876690000002,LST Day
7/31/2012,36.831927399999984,LST Day
8/31/2012,35.97190260000002,LST Day
9/30/2012,33.713099,LST Day
10/31/2012,23.346094499999992,LST Day
11/30/2012,14.515361999999982,LST Day
12/31/2012,9.302011100000016,LST Day
1/31/2013,9.966510700000015,LST Day
2/28/2013,14.264332799999977,LST Day
3/31/2013,18.294747700000016,LST Day
4/30/2013,25.04043139999999,LST Day
5/31/2013,30.388969900000006,LST Day
6/30/2013,35.81830389999999,LST Day
7/31/2013,36.87695450000001,LST Day
8/31/2013,34.53139040000002,LST Day
9/30/2013,29.079601799999978,LST Day
10/31/2013,24.381432000000018,LST Day
11/30/2013,17.52717150000001,LST Day
12/31/2013,11.69210720000001,LST Day
1/31/2014,16.07421690000001,LST Day
2/28/2014,13.852839899999992,LST Day
3/31/2014,20.291014800000028,LST Day
4/30/2014,25.251228400000002,LST Day
5/31/2014,28.216658699999982,LST Day
6/30/2014,35.0344963,LST Day
7/31/2014,37.48213529999998,LST Day
8/31/2014,35.20026150000001,LST Day
9/30/2014,31.661831199999995,LST Day
10/31/2014,24.2261795,LST Day
11/30/2014,17.21811630000002,LST Day
12/31/2014,6.416979599999991,LST Day
1/31/2015,14.325334800000007,LST Day
2/28/2015,14.921409200000028,LST Day
3/31/2015,22.864733399999977,LST Day
4/30/2015,25.184697500000027,LST Day
5/31/2015,26.8317366,LST Day
6/30/2015,36.32812560000002,LST Day
7/31/2015,35.93002790000003,LST Day
8/31/2015,34.39910470000001,LST Day
9/30/2015,32.654644899999994,LST Day
10/31/2015,27.909666500000014,LST Day
11/30/2015,13.635047900000018,LST Day
12/31/2015,8.583903899999996,LST Day
1/31/2016,9.663996999999995,LST Day
2/29/2016,15.254661800000008,LST Day
3/31/2016,17.296552599999984,LST Day
4/30/2016,24.476427399999977,LST Day
5/31/2016,27.529358300000013,LST Day
6/30/2016,34.52151939999999,LST Day
7/31/2016,36.38355840000003,LST Day
8/31/2016,34.721007499999985,LST Day
9/30/2016,31.391965500000026,LST Day
10/31/2016,20.811225400000012,LST Day
11/30/2016,14.109436300000027,LST Day
12/31/2016,9.596769400000028,LST Day
1/31/2017,7.737310499999978,LST Day
2/28/2017,11.230248500000016,LST Day
3/31/2017,19.208106199999975,LST Day
4/30/2017,18.30137339999999,LST Day
5/31/2017,28.27471539999999,LST Day
6/30/2017,33.9504359,LST Day
7/31/2017,37.7642214,LST Day
8/31/2017,35.8809584,LST Day
9/30/2017,29.0684119,LST Day
10/31/2017,25.08858600000002,LST Day
11/30/2017,13.786934499999973,LST Day
12/31/2017,11.938302799999974,LST Day
1/31/2018,12.232578900000021,LST Day
2/28/2018,12.925927699999988,LST Day
3/31/2018,18.293902000000003,LST Day
4/30/2018,21.740186600000015,LST Day
5/31/2018,27.642525999999975,LST Day
6/30/2018,33.58620109999998,LST Day
7/31/2018,36.5531891,LST Day
8/31/2018,33.61443730000002,LST Day
9/30/2018,29.278792399999986,LST Day
10/31/2018,25.36958629999998,LST Day
11/30/2018,18.151402800000028,LST Day
12/31/2018,10.778324999999995,LST Day
1/31/2019,11.647236700000008,LST Day
2/28/2019,8.77303710000001,LST Day
3/31/2019,17.47965929999998,LST Day
4/30/2019,25.135504700000013,LST Day
5/31/2019,28.365830399999993,LST Day
6/30/2019,35.95283499999999,LST Day
7/31/2019,38.087311899999975,LST Day
8/31/2019,37.9672559,LST Day
9/30/2019,31.26679280000002,LST Day
10/31/2019,24.862044000000026,LST Day
11/30/2019,19.025898499999983,LST Day
12/31/2019,9.605754499999989,LST Day
1/31/2020,8.424244600000009,LST Day
2/29/2020,17.69005040000002,LST Day
3/31/2020,19.024035500000025,LST Day
4/30/2020,26.325910899999997,LST Day
5/31/2020,30.776542600000028,LST Day
6/30/2020,35.551070100000004,LST Day
7/31/2020,39.34383530000002,LST Day
8/31/2020,37.45190170000001,LST Day
9/30/2020,34.96030430000002,LST Day
10/31/2020,28.581438900000023,LST Day
11/30/2020,15.57302420000002,LST Day
12/31/2020,12.495907799999998,LST Day
1/31/2021,10.968960600000003,LST Day
2/28/2021,15.548074100000008,LST Day
3/31/2021,18.531265599999983,LST Day
4/30/2021,27.656713000000025,LST Day
5/31/2021,33.495984299999975,LST Day
6/30/2021,39.00846480000001,LST Day
7/31/2021,40.887742100000025,LST Day
8/31/2021,36.239469199999974,LST Day
9/30/2021,35.48678380000001,LST Day
10/31/2021,24.777568799999983,LST Day
11/30/2021,16.947477900000024,LST Day
12/31/2021,8.313462300000026,LST Day
1/31/2022,12.637373200000013,LST Day
2/28/2022,18.231584999999995,LST Day
3/31/2022,23.021114599999976,LST Day
4/30/2022,22.957330000000013,LST Day
5/31/2022,29.127847900000006,LST Day
6/30/2022,35.76782220000001,LST Day
7/31/2022,39.89059179999998,LST Day
8/31/2022,40.18428660000001,LST Day
9/30/2022,33.22556049999997,LST Day
10/31/2022,27.766321600000026,LST Day
11/30/2022,12.699951800000008,LST Day
1/31/2002,1.4960113000000206,LST Night
2/28/2002,6.857159899999999,LST Night
3/31/2002,7.841587199999992,LST Night
4/30/2002,10.425024399999984,LST Night
5/31/2002,14.244254099999978,LST Night
6/30/2002,19.426602100000025,LST Night
7/31/2002,21.564441199999976,LST Night
8/31/2002,20.810280799999987,LST Night
9/30/2002,17.57804440000001,LST Night
10/31/2002,12.171096599999998,LST Night
11/30/2002,8.417777199999989,LST Night
