Date,LST,Source
1/31/2002,281.0592686,LST Day
2/28/2002,288.6145138,LST Day
3/31/2002,291.636317,LST Day
4/30/2002,296.5919736,LST Day
5/31/2002,300.4270051,LST Day
6/30/2002,306.9513063,LST Day
7/31/2002,308.7775784,LST Day
8/31/2002,308.3805318,LST Day
9/30/2002,305.0628506,LST Day
10/31/2002,296.9874955,LST Day
11/30/2002,289.3449083,LST Day
12/31/2002,282.4719717,LST Day
1/31/2003,285.6455399,LST Day
2/28/2003,286.0365842,LST Day
3/31/2003,290.3837443,LST Day
4/30/2003,291.7965647,LST Day
5/31/2003,298.6344698,LST Day
6/30/2003,305.3807256,LST Day
7/31/2003,309.3860932,LST Day
8/31/2003,307.0772782,LST Day
9/30/2003,304.8233742,LST Day
10/31/2003,300.6563441,LST Day
11/30/2003,285.8090763,LST Day
12/31/2003,280.1970262,LST Day
1/31/2004,281.1893209,LST Day
2/29/2004,284.5697527,LST Day
3/31/2004,295.2602989,LST Day
4/30/2004,298.9553068,LST Day
5/31/2004,299.3626359,LST Day
6/30/2004,305.8686771,LST Day
7/31/2004,308.9671159,LST Day
8/31/2004,308.3717858,LST Day
9/30/2004,304.8375681,LST Day
10/31/2004,294.2561548,LST Day
11/30/2004,285.9058961,LST Day
12/31/2004,283.5548798,LST Day
1/31/2005,282.5503674,LST Day
2/28/2005,286.5354888,LST Day
3/31/2005,290.916066,LST Day
4/30/2005,292.0952933,LST Day
5/31/2005,297.6219202,LST Day
6/30/2005,302.2100819,LST Day
7/31/2005,309.0865493,LST Day
8/31/2005,307.7904811,LST Day
9/30/2005,301.120836,LST Day
10/31/2005,296.1304808,LST Day
11/30/2005,286.5896435,LST Day
12/31/2005,283.9072327,LST Day
1/31/2006,282.2573268,LST Day
2/28/2006,287.4054885,LST Day
3/31/2006,284.7939085,LST Day
4/30/2006,293.9518445,LST Day
5/31/2006,301.9964521,LST Day
6/30/2006,306.6852356,LST Day
7/31/2006,309.760734,LST Day
8/31/2006,306.8035236,LST Day
9/30/2006,301.7626685,LST Day
10/31/2006,296.9547733,LST Day
11/30/2006,287.4269795,LST Day
12/31/2006,281.9884853,LST Day
1/31/2007,283.3591083,LST Day
2/28/2007,285.9218393,LST Day
3/31/2007,294.0892371,LST Day
4/30/2007,292.9155242,LST Day
5/31/2007,301.2661128,LST Day
6/30/2007,305.0926324,LST Day
7/31/2007,308.9903852,LST Day
8/31/2007,308.1193345,LST Day
9/30/2007,299.7898,LST Day
10/31/2007,295.0538739,LST Day
11/30/2007,289.6136208,LST Day
12/31/2007,280.6759158,LST Day
1/31/2008,281.3393693,LST Day
2/29/2008,286.4251467,LST Day
3/31/2008,290.7623162,LST Day
4/30/2008,297.4986687,LST Day
5/31/2008,302.1418284,LST Day
6/30/2008,306.7141525,LST Day
7/31/2008,309.46853,LST Day
8/31/2008,311.3274411,LST Day
9/30/2008,307.210588,LST Day
10/31/2008,296.841193,LST Day
11/30/2008,291.2993164,LST Day
12/31/2008,282.3743538,LST Day
1/31/2009,286.3464518,LST Day
2/28/2009,284.9665716,LST Day
3/31/2009,291.9294002,LST Day
4/30/2009,297.5478448,LST Day
5/31/2009,303.3981839,LST Day
6/30/2009,304.8335457,LST Day
7/31/2009,310.4918781,LST Day
8/31/2009,309.0644373,LST Day
9/30/2009,305.2865197,LST Day
10/31/2009,295.4441798,LST Day
11/30/2009,288.6702236,LST Day
12/31/2009,280.7789967,LST Day
1/31/2010,278.5633942,LST Day
2/28/2010,284.4011689,LST Day
3/31/2010,288.8239924,LST Day
4/30/2010,293.3075314,LST Day
5/31/2010,295.1918748,LST Day
6/30/2010,304.325373,LST Day
7/31/2010,308.9944673,LST Day
8/31/2010,307.9493954,LST Day
9/30/2010,304.929882,LST Day
10/31/2010,295.9551714,LST Day
11/30/2010,286.4833506,LST Day
12/31/2010,281.3825635,LST Day
1/31/2011,284.1965783,LST Day
2/28/2011,284.6410234,LST Day
3/31/2011,287.4507608,LST Day
4/30/2011,291.1510321,LST Day
5/31/2011,296.0299766,LST Day
6/30/2011,303.4731338,LST Day
7/31/2011,306.5016086,LST Day
8/31/2011,307.9914171,LST Day
9/30/2011,303.8180631,LST Day
10/31/2011,295.7413996,LST Day
11/30/2011,287.69383,LST Day
12/31/2011,284.5538324,LST Day
1/31/2012,284.3011624,LST Day
2/29/2012,286.767692,LST Day
3/31/2012,285.0658903,LST Day
4/30/2012,295.1393109,LST Day
5/31/2012,302.1362806,LST Day
6/30/2012,306.2487669,LST Day
7/31/2012,309.8319274,LST Day
8/31/2012,308.9719026,LST Day
9/30/2012,306.713099,LST Day
10/31/2012,296.3460945,LST Day
11/30/2012,287.515362,LST Day
12/31/2012,282.3020111,LST Day
1/31/2013,282.9665107,LST Day
2/28/2013,287.2643328,LST Day
3/31/2013,291.2947477,LST Day
4/30/2013,298.0404314,LST Day
5/31/2013,303.3889699,LST Day
6/30/2013,308.8183039,LST Day
7/31/2013,309.8769545,LST Day
8/31/2013,307.5313904,LST Day
9/30/2013,302.0796018,LST Day
10/31/2013,297.381432,LST Day
11/30/2013,290.5271715,LST Day
12/31/2013,284.6921072,LST Day
1/31/2014,289.0742169,LST Day
2/28/2014,286.8528399,LST Day
3/31/2014,293.2910148,LST Day
4/30/2014,298.2512284,LST Day
5/31/2014,301.2166587,LST Day
6/30/2014,308.0344963,LST Day
7/31/2014,310.4821353,LST Day
8/31/2014,308.2002615,LST Day
9/30/2014,304.6618312,LST Day
10/31/2014,297.2261795,LST Day
11/30/2014,290.2181163,LST Day
12/31/2014,279.4169796,LST Day
1/31/2015,287.3253348,LST Day
2/28/2015,287.9214092,LST Day
3/31/2015,295.8647334,LST Day
4/30/2015,298.1846975,LST Day
5/31/2015,299.8317366,LST Day
6/30/2015,309.3281256,LST Day
7/31/2015,308.9300279,LST Day
8/31/2015,307.3991047,LST Day
9/30/2015,305.6546449,LST Day
10/31/2015,300.9096665,LST Day
11/30/2015,286.6350479,LST Day
12/31/2015,281.5839039,LST Day
1/31/2016,282.663997,LST Day
2/29/2016,288.2546618,LST Day
3/31/2016,290.2965526,LST Day
4/30/2016,297.4764274,LST Day
5/31/2016,300.5293583,LST Day
6/30/2016,307.5215194,LST Day
7/31/2016,309.3835584,LST Day
8/31/2016,307.7210075,LST Day
9/30/2016,304.3919655,LST Day
10/31/2016,293.8112254,LST Day
11/30/2016,287.1094363,LST Day
12/31/2016,282.5967694,LST Day
1/31/2017,280.7373105,LST Day
2/28/2017,284.2302485,LST Day
3/31/2017,292.2081062,LST Day
