Date,Cloud Cover,source
2005-01-01,0.7385325302,Cloud Cover
2005-02-01,0.7665817477,Cloud Cover
2005-03-01,0.6181023538,Cloud Cover
2005-04-01,0.6476158002,Cloud Cover
2005-05-01,0.6885649399,Cloud Cover
2005-06-01,0.7803582817,Cloud Cover
2005-07-01,0.8032529694,Cloud Cover
2005-08-01,0.7989006881,Cloud Cover
2005-09-01,0.705978605,Cloud Cover
2005-10-01,0.7624298821,Cloud Cover
2005-11-01,0.8038535247,Cloud Cover
2005-12-01,0.7553222009,Cloud Cover
2006-01-01,0.858086474,Cloud Cover
2006-02-01,0.7180077106,Cloud Cover
2006-03-01,0.716023337,Cloud Cover
2006-04-01,0.6940935172,Cloud Cover
2006-05-01,0.7089161354,Cloud Cover
2006-06-01,0.8511170054,Cloud Cover
2006-07-01,0.8178650501,Cloud Cover
2006-08-01,0.7742512015,Cloud Cover
2006-09-01,0.7299742958,Cloud Cover
2006-10-01,0.775250066,Cloud Cover
2006-11-01,0.7631826972,Cloud Cover
2006-12-01,0.7529914554,Cloud Cover
2007-01-01,0.6999443605,Cloud Cover
2007-02-01,0.6375808133,Cloud Cover
2007-03-01,0.7423895455,Cloud Cover
2007-04-01,0.7253804799,Cloud Cover
2007-05-01,0.7709519636,Cloud Cover
2007-06-01,0.7767063949,Cloud Cover
2007-07-01,0.8237573172,Cloud Cover
2007-08-01,0.783761351,Cloud Cover
2007-09-01,0.7143064563,Cloud Cover
2007-10-01,0.6926608582,Cloud Cover
2007-11-01,0.7655607619,Cloud Cover
2007-12-01,0.8636879137,Cloud Cover
2008-01-01,0.8290292102,Cloud Cover
2008-02-01,0.7857133566,Cloud Cover
2008-03-01,0.6985252209,Cloud Cover
2008-04-01,0.7700534439,Cloud Cover
2008-05-01,0.6891639049,Cloud Cover
2008-06-01,0.8026106531,Cloud Cover
2008-07-01,0.7594785001,Cloud Cover
2008-08-01,0.8246387514,Cloud Cover
2008-09-01,0.6363534732,Cloud Cover
2008-10-01,0.8173467072,Cloud Cover
2008-11-01,0.7778459267,Cloud Cover
2008-12-01,0.8316242749,Cloud Cover
2009-01-01,0.8172327592,Cloud Cover
2009-02-01,0.8257246143,Cloud Cover
2009-03-01,0.6760367957,Cloud Cover
2009-04-01,0.6951707125,Cloud Cover
2009-05-01,0.7379732462,Cloud Cover
2009-06-01,0.7543997504,Cloud Cover
2009-07-01,0.7931469741,Cloud Cover
2009-08-01,0.782638791,Cloud Cover
2009-09-01,0.6763207763,Cloud Cover
2009-10-01,0.7179581418,Cloud Cover
2009-11-01,0.7567229109,Cloud Cover
2009-12-01,0.6822531223,Cloud Cover
2010-01-01,0.621313876,Cloud Cover
2010-02-01,0.538013641,Cloud Cover
2010-03-01,0.6623655096,Cloud Cover
2010-04-01,0.7115092119,Cloud Cover
2010-05-01,0.8103881853,Cloud Cover
2010-06-01,0.7991032711,Cloud Cover
2010-07-01,0.8028112275,Cloud Cover
2010-08-01,0.8337901686,Cloud Cover
2010-09-01,0.7545383632,Cloud Cover
2010-10-01,0.687022712,Cloud Cover
2010-11-01,0.7429260874,Cloud Cover
2010-12-01,0.5903136554,Cloud Cover
2011-01-01,0.6644887756,Cloud Cover
2011-02-01,0.6457726351,Cloud Cover
