Date,Price,Crop
1/2015,10.3,Soybean
1/2015,3.82,Corn
2/2015,9.91,Soybean
2/2015,3.79,Corn
3/2015,9.85,Soybean
3/2015,3.81,Corn
4/2015,9.69,Soybean
4/2015,3.75,Corn
5/2015,9.58,Soybean
5/2015,3.64,Corn
6/2015,9.58,Soybean
6/2015,3.59,Corn
7/2015,9.95,Soybean
7/2015,3.8,Corn
8/2015,9.71,Soybean
8/2015,3.68,Corn
9/2015,9.05,Soybean
9/2015,3.68,Corn
10/2015,8.81,Soybean
10/2015,3.67,Corn
11/2015,8.68,Soybean
11/2015,3.59,Corn
12/2015,8.76,Soybean
12/2015,3.65,Corn
1/2016,8.71,Soybean
1/2016,3.66,Corn
2/2016,8.51,Soybean
2/2016,3.58,Corn
3/2016,8.56,Soybean
3/2016,3.56,Corn
4/2016,9.01,Soybean
4/2016,3.56,Corn
5/2016,9.76,Soybean
5/2016,3.68,Corn
6/2016,10.2,Soybean
6/2016,3.82,Corn
7/2016,10.2,Soybean
7/2016,3.6,Corn
8/2016,9.93,Soybean
8/2016,3.21,Corn
9/2016,9.41,Soybean
9/2016,3.22,Corn
10/2016,9.3,Soybean
10/2016,3.29,Corn
11/2016,9.47,Soybean
11/2016,3.24,Corn
12/2016,9.64,Soybean
12/2016,3.32,Corn
1/2017,9.71,Soybean
1/2017,3.4,Corn
2/2017,9.86,Soybean
2/2017,3.44,Corn
3/2017,9.69,Soybean
3/2017,3.49,Corn
4/2017,9.33,Soybean
4/2017,3.43,Corn
5/2017,9.29,Soybean
5/2017,3.45,Corn
6/2017,9.1,Soybean
6/2017,3.43,Corn
7/2017,9.42,Soybean
7/2017,3.49,Corn
8/2017,9.24,Soybean
8/2017,3.27,Corn
9/2017,9.35,Soybean
9/2017,3.27,Corn
10/2017,9.18,Soybean
10/2017,3.26,Corn
11/2017,9.22,Soybean
11/2017,3.15,Corn
12/2017,9.3,Soybean
12/2017,3.23,Corn
1/2018,9.3,Soybean
1/2018,3.29,Corn
2/2018,9.5,Soybean
2/2018,3.38,Corn
3/2018,9.81,Soybean
3/2018,3.51,Corn
4/2018,9.85,Soybean
4/2018,3.58,Corn
5/2018,9.84,Soybean
5/2018,3.68,Corn
6/2018,9.55,Soybean
6/2018,3.58,Corn
7/2018,9.08,Soybean
7/2018,3.47,Corn
8/2018,8.59,Soybean
8/2018,3.36,Corn
9/2018,8.78,Soybean
9/2018,3.4,Corn
10/2018,8.59,Soybean
10/2018,3.42,Corn
11/2018,8.36,Soybean
11/2018,3.41,Corn
12/2018,8.56,Soybean
12/2018,3.54,Corn
1/2019,8.64,Soybean
1/2019,3.56,Corn
2/2019,8.52,Soybean
2/2019,3.6,Corn
3/2019,8.52,Soybean
3/2019,3.61,Corn
4/2019,8.28,Soybean
4/2019,3.53,Corn
5/2019,8.02,Soybean
5/2019,3.63,Corn
6/2019,8.31,Soybean
6/2019,3.98,Corn
7/2019,8.38,Soybean
7/2019,3.56,Corn
8/2019,8.22,Soybean
8/2019,3.93,Corn
9/2019,8.35,Soybean
9/2019,3.8,Corn
10/2019,8.6,Soybean
10/2019,3.85,Corn
11/2019,8.59,Soybean
11/2019,3.68,Corn
12/2019,8.7,Soybean
12/2019,3.71,Corn
1/2020,8.84,Soybean
1/2020,3.79,Corn
2/2020,8.6,Soybean
2/2020,3.78,Corn
3/2020,8.47,Soybean
3/2020,3.68,Corn
4/2020,8.35,Soybean
4/2020,3.29,Corn
5/2020,8.28,Soybean
5/2020,3.2,Corn
6/2020,8.34,Soybean
6/2020,3.16,Corn
7/2020,8.5,Soybean
7/2020,3.79,Corn
8/2020,8.66,Soybean
8/2020,3.12,Corn
9/2020,9.24,Soybean
9/2020,3.41,Corn
10/2020,9.63,Soybean
10/2020,3.61,Corn
11/2020,10.3,Soybean
11/2020,3.79,Corn
12/2020,10.6,Soybean
12/2020,3.97,Corn
1/2021,10.9,Soybean
1/2021,4.24,Corn
2/2021,12.7,Soybean
2/2021,4.75,Corn
3/2021,13.2,Soybean
3/2021,4.89,Corn
4/2021,13.9,Soybean
4/2021,5.31,Corn
5/2021,14.8,Soybean
5/2021,5.91,Corn
6/2021,14.5,Soybean
6/2021,6,Corn
7/2021,14.1,Soybean
7/2021,6.12,Corn
8/2021,13.7,Soybean
8/2021,6.32,Corn
9/2021,12.2,Soybean
9/2021,5.47,Corn
10/2021,11.9,Soybean
10/2021,5.02,Corn
11/2021,12.1,Soybean
11/2021,5.26,Corn
12/2021,12.5,Soybean
12/2021,5.47,Corn
1/2022,12.9,Soybean
1/2022,5.58,Corn
2/2022,14.7,Soybean
2/2022,6.09,Corn
3/2022,15.4,Soybean
3/2022,6.56,Corn
4/2022,15.8,Soybean
4/2022,7.07,Corn
5/2022,16.1,Soybean
5/2022,7.26,Corn
6/2022,16.4,Soybean
6/2022,7.38,Corn
7/2022,15.5,Soybean
7/2022,7.25,Corn
8/2022,15.3,Soybean
8/2022,7.24,Corn
9/2022,14.2,Soybean
9/2022,7.09,Corn
10/2022,13.5,Soybean
10/2022,6.49,Corn
11/2022,14,Soybean
11/2022,6.49,Corn
12/2022,14.4,Soybean
12/2022,6.58,Corn
1/2023,14.5,Soybean
1/2023,6.63,Corn
2/2023,15.1,Soybean
2/2023,6.8,Corn
3/2023,14.9,Soybean
3/2023,6.67,Corn
4/2023,14.9,Soybean
4/2023,6.7,Corn
5/2023,14.4,Soybean
5/2023,6.54,Corn
6/2023,14.2,Soybean
6/2023,6.49,Corn
7/2023,14.7,Soybean
7/2023,6.22,Corn
8/2023,14.1,Soybean
8/2023,5.73,Corn
9/2023,13.2,Soybean
9/2023,5.21,Corn
10/2023,12.7,Soybean
10/2023,4.93,Corn
11/2023,13,Soybean
11/2023,4.66,Corn
12/2023,13.1,Soybean
12/2023,4.8,Corn
1/2024,12.8,Soybean
1/2024,4.74,Corn
2/2024,11.9,Soybean
2/2024,4.36,Corn
3/2024,11.8,Soybean
3/2024,4.36,Corn
4/2024,11.8,Soybean
4/2024,4.39,Corn
5/2024,11.9,Soybean
5/2024,4.51,Corn
6/2024,11.8,Soybean
6/2024,4.48,Corn
7/2024,11.3,Soybean
7/2024,4.23,Corn
8/2024,10.3,Soybean
8/2024,3.84,Corn
9/2024,10.2,Soybean
9/2024,3.98,Corn
10/2024,9.91,Soybean
10/2024,3.99,Corn
11/2024,9.84,Soybean
11/2024,4.07,Corn
