Date,Price,Crop
01/2021,4.24,Corn
01/2021,10.9,Soybean
02/2021,4.75,Corn
02/2021,12.7,Soybean
03/2021,4.89,Corn
03/2021,13.2,Soybean
04/2021,5.31,Corn
04/2021,13.9,Soybean
05/2021,5.91,Corn
05/2021,14.8,Soybean
06/2021,6,Corn
06/2021,14.5,Soybean
07/2021,6.12,Corn
07/2021,14.1,Soybean
08/2021,6.32,Corn
08/2021,13.7,Soybean
09/2021,5.47,Corn
09/2021,12.2,Soybean
10/2021,5.02,Corn
10/2021,11.9,Soybean
11/2021,5.26,Corn
11/2021,12.1,Soybean
12/2021,5.47,Corn
12/2021,12.5,Soybean
01/2022,5.58,Corn
01/2022,12.9,Soybean
02/2022,6.09,Corn
02/2022,14.7,Soybean
03/2022,6.56,Corn
03/2022,15.4,Soybean
04/2022,7.07,Corn
04/2022,15.8,Soybean
05/2022,7.26,Corn
05/2022,16.1,Soybean
06/2022,7.38,Corn
06/2022,16.4,Soybean
07/2022,7.25,Corn
07/2022,15.5,Soybean
08/2022,7.24,Corn
08/2022,15.3,Soybean
09/2022,7.09,Corn
09/2022,15.3,Soybean
10/2022,6.49,Corn
10/2022,13.5,Soybean
11/2022,6.49,Corn
11/2022,14,Soybean
12/2022,6.58,Corn
12/2022,14.4,Soybean
01/2023,6.63,Corn
01/2023,14.5,Soybean
02/2023,6.8,Corn
02/2023,15.1,Soybean
03/2023,6.67,Corn
03/2023,14.9,Soybean
04/2023,6.7,Corn
04/2023,14.9,Soybean
05/2023,6.54,Corn
05/2023,14.4,Soybean
06/2023,6.49,Corn
06/2023,14.2,Soybean
07/2023,6.22,Corn
07/2023,14.7,Soybean
08/2023,5.73,Corn
08/2023,14.1,Soybean
09/2023,5.21,Corn
09/2023,13.2,Soybean
10/2023,4.93,Corn
10/2023,12.7,Soybean
11/2023,4.66,Corn
11/2023,13,Soybean
12/2023,4.8,Corn
12/2023,13.1,Soybean
