Date,Dry Dust Deposition,source
2005-01-01,1.61E-10,Dry Dust Depostion
2005-02-01,7.25E-11,Dry Dust Depostion
2005-03-01,3.89E-11,Dry Dust Depostion
2005-04-01,4.67E-11,Dry Dust Depostion
2005-05-01,5.75E-11,Dry Dust Depostion
2005-06-01,4.77E-11,Dry Dust Depostion
2005-07-01,3.41E-11,Dry Dust Depostion
2005-08-01,2.67E-11,Dry Dust Depostion
2005-09-01,3.44E-11,Dry Dust Depostion
2005-10-01,4.06E-11,Dry Dust Depostion
2005-11-01,3.60E-11,Dry Dust Depostion
2005-12-01,3.01E-11,Dry Dust Depostion
2006-01-01,4.62E-11,Dry Dust Depostion
2006-02-01,4.29E-11,Dry Dust Depostion
2006-03-01,1.11E-10,Dry Dust Depostion
2006-04-01,4.26E-11,Dry Dust Depostion
2006-05-01,3.15E-11,Dry Dust Depostion
2006-06-01,4.87E-11,Dry Dust Depostion
2006-07-01,3.77E-11,Dry Dust Depostion
2006-08-01,2.03E-11,Dry Dust Depostion
2006-09-01,2.36E-11,Dry Dust Depostion
2006-10-01,3.43E-11,Dry Dust Depostion
2006-11-01,3.86E-11,Dry Dust Depostion
2006-12-01,6.78E-11,Dry Dust Depostion
2007-01-01,1.82E-10,Dry Dust Depostion
2007-02-01,1.00E-10,Dry Dust Depostion
2007-03-01,1.13E-10,Dry Dust Depostion
2007-04-01,3.68E-11,Dry Dust Depostion
2007-05-01,8.07E-11,Dry Dust Depostion
2007-06-01,4.93E-11,Dry Dust Depostion
2007-07-01,3.95E-11,Dry Dust Depostion
2007-08-01,2.20E-11,Dry Dust Depostion
2007-09-01,2.70E-11,Dry Dust Depostion
2007-10-01,2.75E-11,Dry Dust Depostion
2007-11-01,5.66E-11,Dry Dust Depostion
2007-12-01,5.40E-11,Dry Dust Depostion
2008-01-01,1.17E-10,Dry Dust Depostion
2008-02-01,6.95E-11,Dry Dust Depostion
2008-03-01,6.45E-11,Dry Dust Depostion
2008-04-01,5.99E-11,Dry Dust Depostion
2008-05-01,4.09E-11,Dry Dust Depostion
2008-06-01,4.59E-11,Dry Dust Depostion
2008-07-01,2.85E-11,Dry Dust Depostion
2008-08-01,2.53E-11,Dry Dust Depostion
2008-09-01,2.28E-11,Dry Dust Depostion
2008-10-01,4.76E-11,Dry Dust Depostion
2008-11-01,5.14E-11,Dry Dust Depostion
2008-12-01,6.90E-11,Dry Dust Depostion
2009-01-01,7.90E-11,Dry Dust Depostion
2009-02-01,4.68E-11,Dry Dust Depostion
2009-03-01,3.65E-11,Dry Dust Depostion
2009-04-01,3.68E-11,Dry Dust Depostion
2009-05-01,4.86E-11,Dry Dust Depostion
2009-06-01,4.52E-11,Dry Dust Depostion
2009-07-01,3.00E-11,Dry Dust Depostion
2009-08-01,1.83E-11,Dry Dust Depostion
2009-09-01,2.44E-11,Dry Dust Depostion
2009-10-01,2.64E-11,Dry Dust Depostion
2009-11-01,5.84E-11,Dry Dust Depostion
2009-12-01,2.58E-11,Dry Dust Depostion
2010-01-01,7.11E-11,Dry Dust Depostion
2010-02-01,3.46E-11,Dry Dust Depostion
2010-03-01,9.12E-11,Dry Dust Depostion
2010-04-01,4.80E-11,Dry Dust Depostion
2010-05-01,5.81E-11,Dry Dust Depostion
2010-06-01,5.06E-11,Dry Dust Depostion
2010-07-01,4.04E-11,Dry Dust Depostion
2010-08-01,2.14E-11,Dry Dust Depostion
2010-09-01,1.66E-11,Dry Dust Depostion
2010-10-01,2.80E-11,Dry Dust Depostion
2010-11-01,3.71E-11,Dry Dust Depostion
2010-12-01,1.12E-11,Dry Dust Depostion
2011-01-01,6.37E-11,Dry Dust Depostion
