Date,fluxdata,source
1/1/1980,18.6093063,Flux
2/1/1980,31.6051579,Flux
3/1/1980,34.8339157,Flux
4/1/1980,43.4421692,Flux
5/1/1980,41.7736969,Flux
6/1/1980,79.2971573,Flux
7/1/1980,104.537186,Flux
8/1/1980,88.1880188,Flux
9/1/1980,59.1178932,Flux
10/1/1980,39.4483414,Flux
11/1/1980,24.6516533,Flux
12/1/1980,25.5481071,Flux
1/1/1981,21.4462566,Flux
2/1/1981,32.4778404,Flux
3/1/1981,36.5248337,Flux
4/1/1981,47.9505234,Flux
5/1/1981,45.2807884,Flux
6/1/1981,33.38134,Flux
7/1/1981,46.5835304,Flux
8/1/1981,58.7895622,Flux
9/1/1981,50.2549477,Flux
10/1/1981,23.6952362,Flux
11/1/1981,18.3129005,Flux
12/1/1981,19.1550922,Flux
1/1/1982,18.3059273,Flux
2/1/1982,30.4735298,Flux
3/1/1982,38.4184036,Flux
4/1/1982,36.1179047,Flux
5/1/1982,38.3595848,Flux
6/1/1982,59.3778267,Flux
7/1/1982,73.7748337,Flux
8/1/1982,76.0855331,Flux
9/1/1982,74.6489639,Flux
10/1/1982,37.1539574,Flux
11/1/1982,14.9787788,Flux
12/1/1982,14.5773249,Flux
1/1/1983,20.3230381,Flux
2/1/1983,30.6107197,Flux
3/1/1983,37.3710136,Flux
4/1/1983,56.272789,Flux
5/1/1983,48.7698708,Flux
6/1/1983,46.0636635,Flux
7/1/1983,52.2924156,Flux
8/1/1983,37.388382,Flux
9/1/1983,36.8836899,Flux
10/1/1983,37.3943748,Flux
11/1/1983,14.3669214,Flux
12/1/1983,33.3131218,Flux
1/1/1984,19.6814156,Flux
2/1/1984,24.5619869,Flux
3/1/1984,38.3592606,Flux
4/1/1984,50.8172302,Flux
5/1/1984,58.688427,Flux
6/1/1984,64.3244247,Flux
7/1/1984,69.0401993,Flux
8/1/1984,69.3526459,Flux
9/1/1984,64.9083481,Flux
10/1/1984,23.5784245,Flux
11/1/1984,18.8965244,Flux
12/1/1984,14.6732626,Flux
1/1/1985,23.0659752,Flux
2/1/1985,31.1392651,Flux
3/1/1985,34.8143425,Flux
4/1/1985,35.545372,Flux
5/1/1985,51.0410805,Flux
6/1/1985,66.4632645,Flux
7/1/1985,68.4468994,Flux
8/1/1985,82.0837173,Flux
9/1/1985,56.2118301,Flux
10/1/1985,26.0408726,Flux
11/1/1985,15.779274,Flux
12/1/1985,25.8766308,Flux
1/1/1986,18.4704151,Flux
2/1/1986,31.786787,Flux
3/1/1986,41.1979561,Flux
4/1/1986,48.3015289,Flux
5/1/1986,36.5331535,Flux
6/1/1986,30.5714893,Flux
7/1/1986,81.8119965,Flux
8/1/1986,56.6895218,Flux
9/1/1986,33.7516632,Flux
10/1/1986,26.9947186,Flux
11/1/1986,17.5531349,Flux
12/1/1986,16.2686272,Flux
1/1/1987,20.2263622,Flux
2/1/1987,27.5149803,Flux
3/1/1987,43.0715637,Flux
4/1/1987,55.0365448,Flux
5/1/1987,35.2448463,Flux
6/1/1987,35.4504013,Flux
7/1/1987,43.295536,Flux
8/1/1987,73.499176,Flux
9/1/1987,51.4220886,Flux
10/1/1987,45.9665184,Flux
11/1/1987,22.0972042,Flux
12/1/1987,17.3525257,Flux
1/1/1988,22.2636604,Flux
2/1/1988,30.9223022,Flux
3/1/1988,37.0821152,Flux
4/1/1988,43.1110497,Flux
5/1/1988,60.0785561,Flux
6/1/1988,69.2529678,Flux
7/1/1988,68.879158,Flux
8/1/1988,65.353447,Flux
9/1/1988,78.5223465,Flux
10/1/1988,50.0381317,Flux
11/1/1988,27.5667896,Flux
12/1/1988,23.2490883,Flux
1/1/1989,13.4660902,Flux
