Zip,Month,Number of Tarps
70003,08/2021,3
70094,08/2021,5
70001,08/2021,5
70114,08/2021,12
70119,08/2021,5
70117,08/2021,2
70113,08/2021,0
70130,08/2021,1
70112,08/2021,0
70003,09/2021,995
70094,09/2021,771
70001,09/2021,378
70114,09/2021,72
70119,09/2021,144
70117,09/2021,47
70113,09/2021,38
70130,09/2021,38
70112,09/2021,9
70003,11/2021,2112
70094,11/2021,2068
70001,11/2021,1066
70114,11/2021,350
70119,11/2021,825
70117,11/2021,425
70113,11/2021,160
70130,11/2021,171
70112,11/2021,51
70003,12/2021,1562
70094,12/2021,1746
70001,12/2021,1015
70114,12/2021,555
70119,12/2021,883
70117,12/2021,543
70113,12/2021,181
70130,12/2021,213
70112,12/2021,102
70003,01/2022,1442
70094,01/2022,1646
70001,01/2022,870
70114,01/2022,632
70119,01/2022,645
70117,01/2022,543
70113,01/2022,166
70130,01/2022,169
70112,01/2022,38
70003,02/2022,490
70094,02/2022,791
70001,02/2022,440
70114,02/2022,414
70119,02/2022,451
70117,02/2022,377
70113,02/2022,121
70130,02/2022,137
70112,02/2022,23
