Zip,Month,Percentage of Buildings
70003,08/2021,0.01
70094,08/2021,0.02
70001,08/2021,0.02
70114,08/2021,0.10
70119,08/2021,0.03
70117,08/2021,0.02
70113,08/2021,0.00
70130,08/2021,0.02
70112,08/2021,0.00
70003,09/2021,3.59
70094,09/2021,2.33
70001,09/2021,1.52
70114,09/2021,0.60
70119,09/2021,0.72
70117,09/2021,0.38
70113,09/2021,1.01
70130,09/2021,0.69
70112,09/2021,0.52
70003,11/2021,7.62
70094,11/2021,6.26
70001,11/2021,4.29
70114,11/2021,2.93
70119,11/2021,4.14
70117,11/2021,3.41
70113,11/2021,4.25
70130,11/2021,3.11
70112,11/2021,2.97
70003,12/2021,5.63
70094,12/2021,5.28
70001,12/2021,4.09
70114,12/2021,4.65
70119,12/2021,4.44
70117,12/2021,4.35
70113,12/2021,4.81
70130,12/2021,3.87
70112,12/2021,5.93
70003,01/2022,5.20
70094,01/2022,4.98
70001,01/2022,3.50
70114,01/2022,5.30
70119,01/2022,3.24
70117,01/2022,4.35
70113,01/2022,4.41
70130,01/2022,3.07
70112,01/2022,2.21
70003,02/2022,1.77
70094,02/2022,2.39
70001,02/2022,1.77
70114,02/2022,3.47
70119,02/2022,2.27
70117,02/2022,3.02
70113,02/2022,3.22
70130,02/2022,2.49
70112,02/2022,1.34
