Date,NDVI_Scaled,NDVI,Label
2023-01,0.528,5280,NDVI
2023-02,0.51715,5171.5,NDVI
2023-03,0.58805,5880.5,NDVI
2023-04,0.525,5250,NDVI
2023-05,0.576,5760,NDVI
2023-06,0.52015,5201.5,NDVI
2023-07,0.47995,4799.5,NDVI
2023-08,0.5197,5197,NDVI
2023-09,0.4898,4898,NDVI
2023-10,0.4708,4708,NDVI
2023-11,0.4659,4659,NDVI
2023-12,0.52925,5292.5,NDVI
2024-01,0.52835,5283.5,NDVI
2024-02,0.54665,5466.5,NDVI
2024-03,0.5324,5324,NDVI
2024-04,0.56485,5648.5,NDVI
2024-05,0.5644,5644,NDVI
2024-06,0.55535,5553.5,NDVI
2024-07,0.5493,5493,NDVI
2024-08,0.46925,4692.5,NDVI
2024-09,0.43665,4366.5,NDVI
2024-10,0.4538,4538,NDVI
2024-11,0.4044,4044,NDVI
2024-12,0.4238,4238,NDVI
2025-01,0.3259,3259,NDVI
