Date,Albedo,Sources
1/31/2002,0.09932,Albedo
2/28/2002,0.10492,Albedo
3/31/2002,0.10808,Albedo
4/30/2002,0.11575,Albedo
5/31/2002,0.11971,Albedo
6/30/2002,0.12359,Albedo
7/31/2002,0.12573,Albedo
8/31/2002,0.12773,Albedo
9/30/2002,0.1285,Albedo
10/31/2002,0.12956,Albedo
11/30/2002,0.12325,Albedo
12/31/2002,0.11515,Albedo
1/31/2003,0.10628,Albedo
2/28/2003,0.10638,Albedo
3/31/2003,0.11187,Albedo
4/30/2003,0.11511,Albedo
5/31/2003,0.1173,Albedo
6/30/2003,0.12596,Albedo
7/31/2003,0.12926,Albedo
8/31/2003,0.12701,Albedo
9/30/2003,0.12659,Albedo
10/31/2003,0.12814,Albedo
11/30/2003,0.12235,Albedo
12/31/2003,0.10684,Albedo
1/31/2004,0.10866,Albedo
2/29/2004,0.10543,Albedo
3/31/2004,0.11306,Albedo
4/30/2004,0.12141,Albedo
5/31/2004,0.12418,Albedo
6/30/2004,0.12558,Albedo
7/31/2004,0.12867,Albedo
8/31/2004,0.13091,Albedo
9/30/2004,0.13044,Albedo
10/31/2004,0.12401,Albedo
11/30/2004,0.11212,Albedo
12/31/2004,0.10805,Albedo
1/31/2005,0.10926,Albedo
2/28/2005,0.10891,Albedo
3/31/2005,0.11393,Albedo
4/30/2005,0.12,Albedo
5/31/2005,0.11996,Albedo
6/30/2005,0.11629,Albedo
7/31/2005,0.11948,Albedo
8/31/2005,0.12353,Albedo
9/30/2005,0.12618,Albedo
10/31/2005,0.12381,Albedo
11/30/2005,0.11179,Albedo
12/31/2005,0.10513,Albedo
1/31/2006,0.1044973,Albedo
2/28/2006,0.104368871,Albedo
3/31/2006,0.114090858,Albedo
4/30/2006,0.112088221,Albedo
5/31/2006,0.123049887,Albedo
6/30/2006,0.125973719,Albedo
7/31/2006,0.129232681,Albedo
8/31/2006,0.131934835,Albedo
9/30/2006,0.133848787,Albedo
10/31/2006,0.131445815,Albedo
11/30/2006,0.11691497,Albedo
12/31/2006,0.110217504,Albedo
1/31/2007,0.109625982,Albedo
2/28/2007,0.110361732,Albedo
3/31/2007,0.114977258,Albedo
4/30/2007,0.118925308,Albedo
5/31/2007,0.123423243,Albedo
6/30/2007,0.129255518,Albedo
7/31/2007,0.129599744,Albedo
8/31/2007,0.131574929,Albedo
9/30/2007,0.130778914,Albedo
10/31/2007,0.122398166,Albedo
11/30/2007,0.115972798,Albedo
12/31/2007,0.112016011,Albedo
1/31/2008,0.111255395,Albedo
2/29/2008,0.114558169,Albedo
3/31/2008,0.115015374,Albedo
4/30/2008,0.123103638,Albedo
5/31/2008,0.128698374,Albedo
6/30/2008,0.123527615,Albedo
7/31/2008,0.116207839,Albedo
8/31/2008,0.116927245,Albedo
9/30/2008,0.118814807,Albedo
10/31/2008,0.1175023,Albedo
11/30/2008,0.112515805,Albedo
12/31/2008,0.115972267,Albedo
1/31/2009,0.107678293,Albedo
2/28/2009,0.108066153,Albedo
3/31/2009,0.108442955,Albedo
4/30/2009,0.113977689,Albedo
5/31/2009,0.115709182,Albedo
6/30/2009,0.118866424,Albedo
7/31/2009,0.122150612,Albedo
8/31/2009,0.124916248,Albedo
9/30/2009,0.124326029,Albedo
10/31/2009,0.121178309,Albedo
11/30/2009,0.115922389,Albedo
12/31/2009,0.110505978,Albedo
1/31/2010,0.106162547,Albedo
2/28/2010,0.109913913,Albedo
3/31/2010,0.11397249,Albedo
4/30/2010,0.118232507,Albedo
5/31/2010,0.118927518,Albedo
6/30/2010,0.121754852,Albedo
7/31/2010,0.130578816,Albedo
8/31/2010,0.133817966,Albedo
9/30/2010,0.133026311,Albedo
10/31/2010,0.127601059,Albedo
11/30/2010,0.117806071,Albedo
12/31/2010,0.107469906,Albedo
1/31/2011,0.106017291,Albedo
2/28/2011,0.122234245,Albedo
3/31/2011,0.121113827,Albedo
4/30/2011,0.117240267,Albedo
5/31/2011,0.122647256,Albedo
6/30/2011,0.117416056,Albedo
7/31/2011,0.12156648,Albedo
8/31/2011,0.125741789,Albedo
9/30/2011,0.127101293,Albedo
10/31/2011,0.117859543,Albedo
11/30/2011,0.116632519,Albedo
12/31/2011,0.113866971,Albedo
1/31/2012,0.114985546,Albedo
2/29/2012,0.11237137,Albedo
3/31/2012,0.115656221,Albedo
4/30/2012,0.118959241,Albedo
5/31/2012,0.128013721,Albedo
6/30/2012,0.13160903,Albedo
7/31/2012,0.136243354,Albedo
8/31/2012,0.138284648,Albedo
9/30/2012,0.139141404,Albedo
10/31/2012,0.13805969,Albedo
11/30/2012,0.128380412,Albedo
12/31/2012,0.120232178,Albedo
1/31/2013,0.117500098,Albedo
2/28/2013,0.11640469,Albedo
3/31/2013,0.120854727,Albedo
4/30/2013,0.124419539,Albedo
5/31/2013,0.132543341,Albedo
6/30/2013,0.12839281,Albedo
7/31/2013,0.128308416,Albedo
