Date,NDVI,Source
1/31/2002,0.65997007,NDVI
2/28/2002,0.640222347,NDVI
3/31/2002,0.649205002,NDVI
4/30/2002,0.650947672,NDVI
5/31/2002,0.628855106,NDVI
6/30/2002,0.604381381,NDVI
7/31/2002,0.581549223,NDVI
8/31/2002,0.578857457,NDVI
9/30/2002,0.571336815,NDVI
10/31/2002,0.56783343,NDVI
11/30/2002,0.567843882,NDVI
12/31/2002,0.647294692,NDVI
1/31/2003,0.662963981,NDVI
2/28/2003,0.658543786,NDVI
3/31/2003,0.656242901,NDVI
4/30/2003,0.683277625,NDVI
5/31/2003,0.65958879,NDVI
6/30/2003,0.616635514,NDVI
7/31/2003,0.606296974,NDVI
8/31/2003,0.604662995,NDVI
9/30/2003,0.596094974,NDVI
10/31/2003,0.571358742,NDVI
11/30/2003,0.61610491,NDVI
12/31/2003,0.652140316,NDVI
1/31/2004,0.656111754,NDVI
2/29/2004,0.647113062,NDVI
3/31/2004,0.66174679,NDVI
4/30/2004,0.67228431,NDVI
5/31/2004,0.631542144,NDVI
6/30/2004,0.606289083,NDVI
7/31/2004,0.590192398,NDVI
8/31/2004,0.582796386,NDVI
9/30/2004,0.596189168,NDVI
10/31/2004,0.622728749,NDVI
11/30/2004,0.656345688,NDVI
12/31/2004,0.670478358,NDVI
1/31/2005,0.653112933,NDVI
2/28/2005,0.664146578,NDVI
3/31/2005,0.703373904,NDVI
4/30/2005,0.699199364,NDVI
5/31/2005,0.669562266,NDVI
6/30/2005,0.643610448,NDVI
7/31/2005,0.618703971,NDVI
8/31/2005,0.601355858,NDVI
9/30/2005,0.595894996,NDVI
10/31/2005,0.599332624,NDVI
11/30/2005,0.612381071,NDVI
12/31/2005,0.66067768,NDVI
1/31/2006,0.66761657,NDVI
2/28/2006,0.667423228,NDVI
3/31/2006,0.611107717,NDVI
4/30/2006,0.669695124,NDVI
5/31/2006,0.671400806,NDVI
6/30/2006,0.632943719,NDVI
7/31/2006,0.616768529,NDVI
8/31/2006,0.608180088,NDVI
9/30/2006,0.602755291,NDVI
10/31/2006,0.592204853,NDVI
11/30/2006,0.632744017,NDVI
12/31/2006,0.657149114,NDVI
1/31/2007,0.649599681,NDVI
2/28/2007,0.652214141,NDVI
3/31/2007,0.677652521,NDVI
4/30/2007,0.693563091,NDVI
5/31/2007,0.661678366,NDVI
6/30/2007,0.626203819,NDVI
7/31/2007,0.610045548,NDVI
8/31/2007,0.597605982,NDVI
9/30/2007,0.601207343,NDVI
10/31/2007,0.612804464,NDVI
11/30/2007,0.642412252,NDVI
12/31/2007,0.64222094,NDVI
1/31/2008,0.626602974,NDVI
2/29/2008,0.645012501,NDVI
3/31/2008,0.646343816,NDVI
4/30/2008,0.655916671,NDVI
5/31/2008,0.634208702,NDVI
6/30/2008,0.611335355,NDVI
7/31/2008,0.537798927,NDVI
8/31/2008,0.526092856,NDVI
9/30/2008,0.539258758,NDVI
10/31/2008,0.574958212,NDVI
11/30/2008,0.599237116,NDVI
12/31/2008,0.61377451,NDVI
1/31/2009,0.609609373,NDVI
2/28/2009,0.605422932,NDVI
3/31/2009,0.60042278,NDVI
4/30/2009,0.598252871,NDVI
5/31/2009,0.580820544,NDVI
6/30/2009,0.565513469,NDVI
7/31/2009,0.549294722,NDVI
8/31/2009,0.540915297,NDVI
9/30/2009,0.551504193,NDVI
10/31/2009,0.603390585,NDVI
11/30/2009,0.616009576,NDVI
12/31/2009,0.625002364,NDVI
1/31/2010,0.623709367,NDVI
2/28/2010,0.615271643,NDVI
3/31/2010,0.619341534,NDVI
4/30/2010,0.64275192,NDVI
5/31/2010,0.642686474,NDVI
6/30/2010,0.600305505,NDVI
7/31/2010,0.573934096,NDVI
8/31/2010,0.563869092,NDVI
9/30/2010,0.576792006,NDVI
10/31/2010,0.57474475,NDVI
11/30/2010,0.61197152,NDVI
12/31/2010,0.630637038,NDVI
1/31/2011,0.629090922,NDVI
2/28/2011,0.541941062,NDVI
3/31/2011,0.577919384,NDVI
4/30/2011,0.619524504,NDVI
5/31/2011,0.640636375,NDVI
6/30/2011,0.631860281,NDVI
7/31/2011,0.606798663,NDVI
8/31/2011,0.590066838,NDVI
9/30/2011,0.608125877,NDVI
10/31/2011,0.644744868,NDVI
11/30/2011,0.639514591,NDVI
12/31/2011,0.650131798,NDVI
1/31/2012,0.605844469,NDVI
2/29/2012,0.616007556,NDVI
3/31/2012,0.642903604,NDVI
4/30/2012,0.656662125,NDVI
5/31/2012,0.62903554,NDVI
6/30/2012,0.599358854,NDVI
7/31/2012,0.580898673,NDVI
8/31/2012,0.565958503,NDVI
9/30/2012,0.563421889,NDVI
10/31/2012,0.594597176,NDVI
11/30/2012,0.627027446,NDVI
12/31/2012,0.650693077,NDVI
1/31/2013,0.630758241,NDVI
2/28/2013,0.625052157,NDVI
3/31/2013,0.63579843,NDVI
4/30/2013,0.674477628,NDVI
5/31/2013,0.628620739,NDVI
6/30/2013,0.609282196,NDVI
7/31/2013,0.588021423,NDVI
8/31/2013,0.574399941,NDVI
9/30/2013,0.582504877,NDVI
10/31/2013,0.591240424,NDVI
11/30/2013,0.588227611,NDVI
12/31/2013,0.60652947,NDVI
1/31/2014,0.589624436,NDVI
2/28/2014,0.613413588,NDVI
3/31/2014,0.667692985,NDVI
4/30/2014,0.661045265,NDVI
5/31/2014,0.626546668,NDVI
6/30/2014,0.587702752,NDVI
7/31/2014,0.581678355,NDVI
8/31/2014,0.571333231,NDVI
9/30/2014,0.581003187,NDVI
10/31/2014,0.594262326,NDVI
11/30/2014,0.618543668,NDVI
12/31/2014,0.630442275,NDVI
1/31/2015,0.664990521,NDVI
2/28/2015,0.651282381,NDVI
3/31/2015,0.681837741,NDVI
4/30/2015,0.663224502,NDVI
5/31/2015,0.630278783,NDVI
6/30/2015,0.597929824,NDVI
7/31/2015,0.578334518,NDVI
8/31/2015,0.573963789,NDVI
9/30/2015,0.581414992,NDVI
10/31/2015,0.588650871,NDVI
11/30/2015,0.593521421,NDVI
12/31/2015,0.676097261,NDVI
1/31/2016,0.660166245,NDVI
2/29/2016,0.64411621,NDVI
3/31/2016,0.670262144,NDVI
4/30/2016,0.687298039,NDVI
5/31/2016,0.650125796,NDVI
6/30/2016,0.617235114,NDVI
7/31/2016,0.588616081,NDVI
8/31/2016,0.577294718,NDVI
9/30/2016,0.577275068,NDVI
10/31/2016,0.623791419,NDVI
11/30/2016,0.675395788,NDVI
12/31/2016,0.661965413,NDVI
1/31/2017,0.668801982,NDVI
2/28/2017,0.656647005,NDVI
3/31/2017,0.674089146,NDVI
4/30/2017,0.70154771,NDVI
5/31/2017,0.653650152,NDVI
6/30/2017,0.618671443,NDVI
7/31/2017,0.604109169,NDVI
8/31/2017,0.589064214,NDVI
9/30/2017,0.596930536,NDVI
10/31/2017,0.593025355,NDVI
11/30/2017,0.641081553,NDVI
12/31/2017,0.688805381,NDVI
1/31/2018,0.69029688,NDVI
2/28/2018,0.680574499,NDVI
3/31/2018,0.676598874,NDVI
4/30/2018,0.718349467,NDVI
5/31/2018,0.685116161,NDVI
6/30/2018,0.640501268,NDVI
7/31/2018,0.615786216,NDVI
8/31/2018,0.602921821,NDVI
9/30/2018,0.606295727,NDVI
10/31/2018,0.591849308,NDVI
11/30/2018,0.542185522,NDVI
12/31/2018,0.507778922,NDVI
1/31/2019,0.511901821,NDVI
2/28/2019,0.393456963,NDVI
3/31/2019,0.488407577,NDVI
4/30/2019,0.519784652,NDVI
5/31/2019,0.488501208,NDVI
6/30/2019,0.480403617,NDVI
7/31/2019,0.461257672,NDVI
8/31/2019,0.45189473,NDVI
9/30/2019,0.471923912,NDVI
10/31/2019,0.461812811,NDVI
11/30/2019,0.447895372,NDVI
12/31/2019,0.501970845,NDVI
1/31/2020,0.507588462,NDVI
2/29/2020,0.53127472,NDVI
