year,type,CLL
2001,Coastal land loss,0
2002,Coastal land loss,36.5
2003,Coastal land loss,68.5
2004,Coastal land loss,117.75
2005,Coastal land loss,165
2006,Coastal land loss,220.25
2007,Coastal land loss,257
2008,Coastal land loss,291
2009,Coastal land loss,324
2010,Coastal land loss,344
2011,Coastal land loss,370.5
2012,Coastal land loss,387.75
2013,Coastal land loss,425.75
2014,Coastal land loss,437.5
2015,Coastal land loss,452.75
2016,Coastal land loss,426.75
2017,Coastal land loss,457.75
2018,Coastal land loss,440.5
2019,Coastal land loss,450.75
2020,Coastal land loss,491.75
