date,source,SSH (m)
01/1992,Total,0.605101
01/1992,Barystatic,0.263615
01/1992,Steric,0.341486
02/1992,Total,0.469296
02/1992,Barystatic,0.133590
02/1992,Steric,0.335706
03/1992,Total,0.491685
03/1992,Barystatic,0.144626
03/1992,Steric,0.347059
04/1992,Total,0.544768
04/1992,Barystatic,0.180257
04/1992,Steric,0.364511
05/1992,Total,0.654413
05/1992,Barystatic,0.277790
05/1992,Steric,0.376623
06/1992,Total,0.798741
06/1992,Barystatic,0.405486
06/1992,Steric,0.393255
07/1992,Total,0.825541
07/1992,Barystatic,0.416322
07/1992,Steric,0.409219
08/1992,Total,0.797871
08/1992,Barystatic,0.366575
08/1992,Steric,0.431296
09/1992,Total,0.775728
09/1992,Barystatic,0.335101
09/1992,Steric,0.440627
10/1992,Total,0.822481
10/1992,Barystatic,0.383048
10/1992,Steric,0.439433
11/1992,Total,0.773188
11/1992,Barystatic,0.349478
11/1992,Steric,0.423711
12/1992,Total,0.708261
12/1992,Barystatic,0.316024
12/1992,Steric,0.392237
01/1993,Total,0.562706
01/1993,Barystatic,0.204776
01/1993,Steric,0.357930
02/1993,Total,0.552692
02/1993,Barystatic,0.210940
02/1993,Steric,0.341752
03/1993,Total,0.537491
03/1993,Barystatic,0.194066
03/1993,Steric,0.343425
04/1993,Total,0.601694
04/1993,Barystatic,0.245663
04/1993,Steric,0.356032
05/1993,Total,0.700529
05/1993,Barystatic,0.322961
05/1993,Steric,0.377568
06/1993,Total,0.790863
06/1993,Barystatic,0.391773
06/1993,Steric,0.399090
07/1993,Total,0.785381
07/1993,Barystatic,0.362790
07/1993,Steric,0.422592
08/1993,Total,0.850738
08/1993,Barystatic,0.411342
08/1993,Steric,0.439396
09/1993,Total,0.783620
09/1993,Barystatic,0.332060
09/1993,Steric,0.451560
10/1993,Total,0.763917
10/1993,Barystatic,0.312317
10/1993,Steric,0.451600
11/1993,Total,0.730550
11/1993,Barystatic,0.304486
11/1993,Steric,0.426064
12/1993,Total,0.726041
12/1993,Barystatic,0.335038
12/1993,Steric,0.391003
01/1994,Total,0.641767
01/1994,Barystatic,0.287058
01/1994,Steric,0.354709
02/1994,Total,0.513282
02/1994,Barystatic,0.179133
02/1994,Steric,0.334149
03/1994,Total,0.572993
03/1994,Barystatic,0.229095
03/1994,Steric,0.343898
04/1994,Total,0.612644
04/1994,Barystatic,0.246620
04/1994,Steric,0.366023
05/1994,Total,0.663310
05/1994,Barystatic,0.281362
05/1994,Steric,0.381948
06/1994,Total,0.743366
06/1994,Barystatic,0.342364
06/1994,Steric,0.401002
07/1994,Total,0.779837
07/1994,Barystatic,0.358821
07/1994,Steric,0.421016
08/1994,Total,0.742449
08/1994,Barystatic,0.306919
08/1994,Steric,0.435530
09/1994,Total,0.676578
09/1994,Barystatic,0.232227
09/1994,Steric,0.444351
10/1994,Total,0.642064
10/1994,Barystatic,0.211282
10/1994,Steric,0.430782
11/1994,Total,0.612771
11/1994,Barystatic,0.203100
11/1994,Steric,0.409670
12/1994,Total,0.579523
12/1994,Barystatic,0.209572
12/1994,Steric,0.369951
01/1995,Total,0.469811
01/1995,Barystatic,0.138054
01/1995,Steric,0.331757
02/1995,Total,0.479002
02/1995,Barystatic,0.164045
02/1995,Steric,0.314957
03/1995,Total,0.491707
03/1995,Barystatic,0.168336
03/1995,Steric,0.323371
04/1995,Total,0.573611
04/1995,Barystatic,0.228669
04/1995,Steric,0.344941
05/1995,Total,0.711396
05/1995,Barystatic,0.346449
05/1995,Steric,0.364947
06/1995,Total,0.767169
06/1995,Barystatic,0.381587
06/1995,Steric,0.385582
07/1995,Total,0.815908
07/1995,Barystatic,0.407536
07/1995,Steric,0.408372
08/1995,Total,0.775138
08/1995,Barystatic,0.347493
08/1995,Steric,0.427645
09/1995,Total,0.743088
09/1995,Barystatic,0.299506
09/1995,Steric,0.443581
10/1995,Total,0.737109
10/1995,Barystatic,0.285830
10/1995,Steric,0.451280
11/1995,Total,0.817299
11/1995,Barystatic,0.377229
11/1995,Steric,0.440069
12/1995,Total,0.726030
12/1995,Barystatic,0.323589
12/1995,Steric,0.402441
01/1996,Total,0.526935
01/1996,Barystatic,0.157902
01/1996,Steric,0.369033
02/1996,Total,0.496411
02/1996,Barystatic,0.153909
02/1996,Steric,0.342502
03/1996,Total,0.534372
03/1996,Barystatic,0.185976
03/1996,Steric,0.348396
04/1996,Total,0.568623
04/1996,Barystatic,0.207679
04/1996,Steric,0.360944
05/1996,Total,0.732240
05/1996,Barystatic,0.357496
05/1996,Steric,0.374744
06/1996,Total,0.747470
06/1996,Barystatic,0.355922
06/1996,Steric,0.391548
07/1996,Total,0.774643
07/1996,Barystatic,0.361777
07/1996,Steric,0.412866
08/1996,Total,0.781529
08/1996,Barystatic,0.353630
08/1996,Steric,0.427899
09/1996,Total,0.746681
09/1996,Barystatic,0.305005
09/1996,Steric,0.441676
10/1996,Total,0.771524
10/1996,Barystatic,0.338307
10/1996,Steric,0.433217
11/1996,Total,0.806524
11/1996,Barystatic,0.391155
11/1996,Steric,0.415369
12/1996,Total,0.703326
12/1996,Barystatic,0.322933
12/1996,Steric,0.380393
01/1997,Total,0.587705
01/1997,Barystatic,0.242163
01/1997,Steric,0.345542
02/1997,Total,0.497209
02/1997,Barystatic,0.172242
02/1997,Steric,0.324967
03/1997,Total,0.567470
03/1997,Barystatic,0.229305
03/1997,Steric,0.338165
04/1997,Total,0.552427
04/1997,Barystatic,0.203814
04/1997,Steric,0.348613
05/1997,Total,0.650923
05/1997,Barystatic,0.289917
05/1997,Steric,0.361006
06/1997,Total,0.764181
06/1997,Barystatic,0.384745
06/1997,Steric,0.379436
07/1997,Total,0.716138
07/1997,Barystatic,0.317590
07/1997,Steric,0.398548
08/1997,Total,0.732345
08/1997,Barystatic,0.314346
08/1997,Steric,0.417999
09/1997,Total,0.711977
09/1997,Barystatic,0.277057
09/1997,Steric,0.434919
10/1997,Total,0.606334
10/1997,Barystatic,0.190560
10/1997,Steric,0.415774
11/1997,Total,0.581262
11/1997,Barystatic,0.195090
11/1997,Steric,0.386172
12/1997,Total,0.473172
12/1997,Barystatic,0.120896
12/1997,Steric,0.352275
01/1998,Total,0.443344
01/1998,Barystatic,0.129763
01/1998,Steric,0.313582
02/1998,Total,0.453958
02/1998,Barystatic,0.150596
02/1998,Steric,0.303362
03/1998,Total,0.460041
