Date,source,Mean AOD
2000-02,AOD,0.1717630858
2000-03,AOD,0.1456205783
2000-04,AOD,0.1592203961
2000-05,AOD,0.1590401436
2000-06,AOD,0.1376153532
2000-07,AOD,0.1218772193
2000-08,AOD,0.1549136346
2000-09,AOD,0.1100008858
2000-10,AOD,0.1498667388
2000-11,AOD,0.1077801707
2000-12,AOD,0.08751708176
2001-01,AOD,0.1184323044
2001-02,AOD,0.1292586779
2001-03,AOD,0.1629260106
2001-04,AOD,0.1870388037
2001-05,AOD,0.168797639
2001-06,AOD,0.1439651875
2001-07,AOD,0.1116109709
2001-08,AOD,0.1505911419
2001-09,AOD,0.1052305997
2001-10,AOD,0.1565818855
2001-11,AOD,0.1214172894
2001-12,AOD,0.08948066011
2002-01,AOD,0.08857062298
2002-02,AOD,0.09031573704
2002-03,AOD,0.1227673373
2002-04,AOD,0.1798498255
2002-05,AOD,0.1844988525
2002-06,AOD,0.13800277
2002-07,AOD,0.1455536391
2002-08,AOD,0.1913493335
2002-09,AOD,0.1314157744
2002-10,AOD,0.1615819875
2002-11,AOD,0.1134217958
2002-12,AOD,0.124679795
2003-01,AOD,0.1092719854
2003-02,AOD,0.103431337
2003-03,AOD,0.1416021328
2003-04,AOD,0.1733927233
2003-05,AOD,0.2102658682
2003-06,AOD,0.1911760766
2003-07,AOD,0.1789895803
2003-08,AOD,0.1255616222
2003-09,AOD,0.1349275623
2003-10,AOD,0.165136533
2003-11,AOD,0.1238573352
2003-12,AOD,0.09137907415
2004-01,AOD,0.09429690065
2004-02,AOD,0.101714236
2004-03,AOD,0.160408051
2004-04,AOD,0.1824168176
2004-05,AOD,0.1639796522
2004-06,AOD,0.1596620478
2004-07,AOD,0.1251875712
2004-08,AOD,0.1359177809
2004-09,AOD,0.1092221535
2004-10,AOD,0.1419258161
2004-11,AOD,0.1268408534
2004-12,AOD,0.08155504868
2005-01,AOD,0.09801085035
2005-02,AOD,0.1163362456
2005-03,AOD,0.1360798576
2005-04,AOD,0.1541742091
2005-05,AOD,0.1541062024
2005-06,AOD,0.1407154359
2005-07,AOD,0.1753459783
2005-08,AOD,0.1309324851
2005-09,AOD,0.1228392442
2005-10,AOD,0.1343681088
2005-11,AOD,0.09145892833
2005-12,AOD,0.09765723127
2006-01,AOD,0.1083831601
2006-02,AOD,0.1007737366
2006-03,AOD,0.1423995684
2006-04,AOD,0.1718115835
