datetime,stage,source
01/01,38.43,Mississippi River at Vicksburg
01/02,38.74,Mississippi River at Vicksburg
01/03,39.25,Mississippi River at Vicksburg
01/04,39.84,Mississippi River at Vicksburg
01/05,40.43,Mississippi River at Vicksburg
01/06,40.68,Mississippi River at Vicksburg
01/07,41.07,Mississippi River at Vicksburg
01/08,41.64,Mississippi River at Vicksburg
01/09,42.12,Mississippi River at Vicksburg
01/10,42.52,Mississippi River at Vicksburg
01/11,42.99,Mississippi River at Vicksburg
01/12,43.2,Mississippi River at Vicksburg
01/13,43.58,Mississippi River at Vicksburg
01/14,43.75,Mississippi River at Vicksburg
01/15,43.79,Mississippi River at Vicksburg
01/16,44.06,Mississippi River at Vicksburg
01/17,44.02,Mississippi River at Vicksburg
01/18,44.23,Mississippi River at Vicksburg
01/19,44.37,Mississippi River at Vicksburg
01/20,44.23,Mississippi River at Vicksburg
01/21,43.89,Mississippi River at Vicksburg
01/22,43.48,Mississippi River at Vicksburg
01/23,43.02,Mississippi River at Vicksburg
01/24,42.71,Mississippi River at Vicksburg
01/25,42.33,Mississippi River at Vicksburg
01/26,42.21,Mississippi River at Vicksburg
01/27,42.11,Mississippi River at Vicksburg
01/28,41.9,Mississippi River at Vicksburg
01/29,41.89,Mississippi River at Vicksburg
01/30,41.99,Mississippi River at Vicksburg
01/31,42.03,Mississippi River at Vicksburg
02/01,42.09,Mississippi River at Vicksburg
02/02,42.01,Mississippi River at Vicksburg
02/03,42.16,Mississippi River at Vicksburg
02/04,41.96,Mississippi River at Vicksburg
02/05,41.83,Mississippi River at Vicksburg
02/06,41.72,Mississippi River at Vicksburg
02/07,41.64,Mississippi River at Vicksburg
02/08,41.55,Mississippi River at Vicksburg
02/09,41.54,Mississippi River at Vicksburg
02/10,41.49,Mississippi River at Vicksburg
02/11,41.41,Mississippi River at Vicksburg
02/12,41.46,Mississippi River at Vicksburg
02/13,41.44,Mississippi River at Vicksburg
02/14,41.84,Mississippi River at Vicksburg
02/15,42.33,Mississippi River at Vicksburg
02/16,42.78,Mississippi River at Vicksburg
02/17,43.06,Mississippi River at Vicksburg
02/18,43.43,Mississippi River at Vicksburg
02/19,43.72,Mississippi River at Vicksburg
02/20,44.26,Mississippi River at Vicksburg
02/21,44.66,Mississippi River at Vicksburg
02/22,45.21,Mississippi River at Vicksburg
02/23,45.72,Mississippi River at Vicksburg
02/24,46.29,Mississippi River at Vicksburg
02/25,46.86,Mississippi River at Vicksburg
02/26,47.48,Mississippi River at Vicksburg
02/27,47.92,Mississippi River at Vicksburg
02/28,48.47,Mississippi River at Vicksburg
03/01,48.76,Mississippi River at Vicksburg
03/02,49.19,Mississippi River at Vicksburg
03/03,49.6,Mississippi River at Vicksburg
03/04,49.97,Mississippi River at Vicksburg
03/05,50.39,Mississippi River at Vicksburg
