Date,Total_Power_Outages,State
05/10/2022 0:00,441,Iowa
05/10/2022 0:00,5196,Minnesota
05/10/2022 0:00,37,Nebraska
05/10/2022 0:00,0,North Dakota
05/10/2022 0:00,20,South Dakota
05/10/2022 1:00,628,Iowa
05/10/2022 1:00,7962,Minnesota
05/10/2022 1:00,30,Nebraska
05/10/2022 1:00,0,North Dakota
05/10/2022 1:00,21,South Dakota
05/10/2022 2:00,181,Iowa
05/10/2022 2:00,4303,Minnesota
05/10/2022 2:00,22,Nebraska
05/10/2022 2:00,0,North Dakota
05/10/2022 2:00,21,South Dakota
05/10/2022 3:00,160,Iowa
05/10/2022 3:00,1669,Minnesota
05/10/2022 3:00,31,Nebraska
05/10/2022 3:00,0,North Dakota
05/10/2022 3:00,22,South Dakota
05/10/2022 4:00,249,Iowa
05/10/2022 4:00,1282,Minnesota
05/10/2022 4:00,31,Nebraska
05/10/2022 4:00,13,North Dakota
05/10/2022 4:00,26,South Dakota
05/10/2022 5:00,355,Iowa
05/10/2022 5:00,1103,Minnesota
05/10/2022 5:00,21,Nebraska
05/10/2022 5:00,236,North Dakota
05/10/2022 5:00,26,South Dakota
05/10/2022 6:00,1191,Iowa
05/10/2022 6:00,673,Minnesota
05/10/2022 6:00,21,Nebraska
05/10/2022 6:00,236,North Dakota
05/10/2022 6:00,26,South Dakota
05/10/2022 7:00,726,Iowa
05/10/2022 7:00,4810,Minnesota
05/10/2022 7:00,54,Nebraska
05/10/2022 7:00,1,North Dakota
05/10/2022 7:00,26,South Dakota
05/10/2022 8:00,740,Iowa
05/10/2022 8:00,6491,Minnesota
05/10/2022 8:00,54,Nebraska
05/10/2022 8:00,0,North Dakota
05/10/2022 8:00,26,South Dakota
05/10/2022 9:00,641,Iowa
05/10/2022 9:00,2883,Minnesota
05/10/2022 9:00,42,Nebraska
05/10/2022 9:00,0,North Dakota
05/10/2022 9:00,952,South Dakota
05/10/2022 10:00,566,Iowa
05/10/2022 10:00,2825,Minnesota
05/10/2022 10:00,10,Nebraska
05/10/2022 10:00,2,North Dakota
05/10/2022 10:00,952,South Dakota
05/10/2022 11:00,573,Iowa
05/10/2022 11:00,2201,Minnesota
05/10/2022 11:00,10,Nebraska
05/10/2022 11:00,2,North Dakota
05/10/2022 11:00,28,South Dakota
05/10/2022 12:00,408,Iowa
05/10/2022 12:00,402,Minnesota
05/10/2022 12:00,13,Nebraska
05/10/2022 12:00,4,North Dakota
05/10/2022 12:00,29,South Dakota
05/10/2022 13:00,889,Iowa
05/10/2022 13:00,1273,Minnesota
05/10/2022 13:00,24,Nebraska
05/10/2022 13:00,5,North Dakota
05/10/2022 13:00,35,South Dakota
05/10/2022 14:00,759,Iowa
05/10/2022 14:00,553,Minnesota
05/10/2022 14:00,81,Nebraska
05/10/2022 14:00,5,North Dakota
05/10/2022 14:00,42,South Dakota
05/10/2022 15:00,677,Iowa
05/10/2022 15:00,628,Minnesota
05/10/2022 15:00,87,Nebraska
05/10/2022 15:00,0,North Dakota
05/10/2022 15:00,52,South Dakota
05/10/2022 16:00,213,Iowa
05/10/2022 16:00,511,Minnesota
05/10/2022 16:00,86,Nebraska
