Date,AOD,source
2005-01-01,0.53313724,AOD
2005-02-01,0.280566677,AOD
2005-03-01,0.271169339,AOD
2005-04-01,0.360257556,AOD
2005-05-01,0.473324383,AOD
2005-06-01,0.395880784,AOD
2005-07-01,0.407023859,AOD
2005-08-01,0.295758595,AOD
2005-09-01,0.318332927,AOD
2005-10-01,0.250462742,AOD
2005-11-01,0.253420268,AOD
2005-12-01,0.228004369,AOD
2006-01-01,0.280075171,AOD
2006-02-01,0.228301788,AOD
2006-03-01,0.617607952,AOD
2006-04-01,0.333672887,AOD
2006-05-01,0.285571606,AOD
2006-06-01,0.517207993,AOD
2006-07-01,0.426278793,AOD
2006-08-01,0.316822793,AOD
2006-09-01,0.247549161,AOD
2006-10-01,0.213474112,AOD
2006-11-01,0.231748005,AOD
2006-12-01,0.326693296,AOD
2007-01-01,0.473535729,AOD
2007-02-01,0.322326582,AOD
2007-03-01,0.442061469,AOD
2007-04-01,0.358422814,AOD
2007-05-01,0.49297896,AOD
2007-06-01,0.475013458,AOD
2007-07-01,0.406585965,AOD
2007-08-01,0.293029886,AOD
2007-09-01,0.254277478,AOD
2007-10-01,0.232439139,AOD
2007-11-01,0.296337214,AOD
2007-12-01,0.286410311,AOD
2008-01-01,0.326271613,AOD
2008-02-01,0.424677604,AOD
2008-03-01,0.362906485,AOD
2008-04-01,0.47839724,AOD
2008-05-01,0.361203944,AOD
2008-06-01,0.418558033,AOD
2008-07-01,0.34443299,AOD
2008-08-01,0.297801058,AOD
2008-09-01,0.217556642,AOD
2008-10-01,0.285685834,AOD
2008-11-01,0.261173996,AOD
2008-12-01,0.306219384,AOD
2009-01-01,0.308819943,AOD
2009-02-01,0.321752561,AOD
2009-03-01,0.277051249,AOD
2009-04-01,0.349778679,AOD
2009-05-01,0.425464007,AOD
2009-06-01,0.440735445,AOD
2009-07-01,0.417310678,AOD
2009-08-01,0.259928877,AOD
2009-09-01,0.259843308,AOD
2009-10-01,0.215193394,AOD
2009-11-01,0.262441779,AOD
2009-12-01,0.20370677,AOD
2010-01-01,0.306710436,AOD
2010-02-01,0.255251886,AOD
2010-03-01,0.534182757,AOD
2010-04-01,0.46290861,AOD
2010-05-01,0.571139987,AOD
2010-06-01,0.480909463,AOD
2010-07-01,0.45096741,AOD
