year,type,CLL
2001,Burn Area,7037.843
2002,Burn Area,10902.39
2003,Burn Area,11221.712
2004,Burn Area,4870.991
2005,Burn Area,13882.186
2006,Burn Area,17437.607
2007,Burn Area,22499.767
2008,Burn Area,8661.303
2009,Burn Area,5999.481
2010,Burn Area,5409.036
2011,Burn Area,10028.733
2012,Burn Area,21490.747
2013,Burn Area,8015.551
2014,Burn Area,8592.972
2015,Burn Area,12758.788
2016,Burn Area,9125.719
2017,Burn Area,18857.92
2018,Burn Area,20442.119
2019,Burn Area,6185.745
2020,Burn Area,31038.839
2021,Burn Area,21877.953
