year,source,Burn Area (million ac),SPEI-90d
1984,Burn Area,1.165957228,0.51169863
1985,Burn Area,2.320220006,0.06239726
1986,Burn Area,1.355106406,0.266726027
1987,Burn Area,1.606477243,-0.206712329
1988,Burn Area,2.958590258,-0.325767123
1989,Burn Area,0.697633261,-0.182068493
1990,Burn Area,0.78403555,-0.174287671
1991,Burn Area,0.427968388,0.016945205
1992,Burn Area,1.164652166,-0.180342466
1993,Burn Area,0.673860355,0.509328767
1994,Burn Area,2.380755973,-0.483109589
1995,Burn Area,1.05506137,0.489424658
1996,Burn Area,3.72126736,0.10309589
1997,Burn Area,0.42745438,0.518808219
1998,Burn Area,0.843882393,0.659356164
1999,Burn Area,3.514338144,-0.066643836
2000,Burn Area,4.34906021,-0.324356164
2001,Burn Area,2.12883197,-0.467575342
2002,Burn Area,2.783935417,-0.609410959
2003,Burn Area,2.613811484,-0.35439726
2004,Burn Area,0.780106338,-0.012890411
2005,Burn Area,3.565694461,0.169876712
2006,Burn Area,4.766175562,-0.059671233
2007,Burn Area,5.931572386,-0.601109589
2008,Burn Area,2.329835171,-0.334808219
2009,Burn Area,1.216739806,-0.212712329
2010,Burn Area,1.192660995,0.04209589
2011,Burn Area,2.37704589,0.33430137
2012,Burn Area,5.41298917,-0.557958904
2013,Burn Area,2.151273745,-0.137369863
2014,Burn Area,2.352514012,-0.118178082
2015,Burn Area,3.747938632,-0.200506849
2016,Burn Area,2.247683583,0.001780822
2017,Burn Area,5.692310412,0.105506849
2018,Burn Area,5.357272099,-0.485123288
2019,Burn Area,1.439594601,0.239971014
2020,Burn Area,8.221153397,-0.688547945
