Date,source,ET (mm)
1/1/16,Burn,8.832
2/1/16,Burn,35.752
3/1/16,Burn,40.864
4/1/16,Burn,52.425
5/1/16,Burn,73.757
6/1/16,Burn,64.573
7/1/16,Burn,33.85
8/1/16,Burn,16.413
9/1/16,Burn,17.143
10/1/16,Burn,15.613
11/1/16,Burn,17.638
12/1/16,Burn,21.236
1/1/17,Burn,17.874
2/1/17,Burn,30.217
3/1/17,Burn,48.203
4/1/17,Burn,59.832
5/1/17,Burn,63.402
6/1/17,Burn,44.698
7/1/17,Burn,48.006
8/1/17,Burn,20.98
9/1/17,Burn,8.934
10/1/17,Burn,5.651
11/1/17,Burn,12.181
12/1/17,Burn,23.165
1/1/18,Burn,36.855
2/1/18,Burn,22.261
3/1/18,Burn,40.664
4/1/18,Burn,35.85
5/1/18,Burn,38.676
6/1/18,Burn,27.144
7/1/18,Burn,23.247
8/1/18,Burn,16.238
9/1/18,Burn,5.375
10/1/18,Burn,2.778
11/1/18,Burn,6.594
12/1/18,Burn,14.9
1/1/19,Burn,22.72
2/1/19,Burn,14.53
3/1/19,Burn,34.372
4/1/19,Burn,43.157
5/1/19,Burn,33.631
6/1/19,Burn,37.202
7/1/19,Burn,30.556
8/1/19,Burn,19.048
9/1/19,Burn,12.307
10/1/19,Burn,5.383
11/1/19,Burn,7.101
12/1/19,Burn,11.71
1/1/20,Burn,15.468
2/1/20,Burn,23.918
3/1/20,Burn,34.937
4/1/20,Burn,48.223
5/1/20,Burn,23.727
6/1/20,Burn,20.957
1/1/16,Control,12.678
2/1/16,Control,35.225
3/1/16,Control,34.881
4/1/16,Control,42.469
5/1/16,Control,64.579
6/1/16,Control,45.757
7/1/16,Control,17.01
8/1/16,Control,11.623
9/1/16,Control,7.506
10/1/16,Control,11.273
11/1/16,Control,13.817
12/1/16,Control,17.961
1/1/17,Control,17.106
2/1/17,Control,29.756
3/1/17,Control,58.024
4/1/17,Control,59.733
5/1/17,Control,68.487
6/1/17,Control,47.576
7/1/17,Control,49.328
8/1/17,Control,40.946
9/1/17,Control,16.392
10/1/17,Control,9.273
11/1/17,Control,11.777
12/1/17,Control,23.463
1/1/18,Control,25.559
2/1/18,Control,27.791
3/1/18,Control,54.691
4/1/18,Control,50.292
5/1/18,Control,48.396
6/1/18,Control,34.86
7/1/18,Control,32.815
8/1/18,Control,21.907
9/1/18,Control,5.276
10/1/18,Control,3.377
11/1/18,Control,6.745
12/1/18,Control,17.273
1/1/19,Control,18.416
2/1/19,Control,16.861
3/1/19,Control,45.707
4/1/19,Control,51.934
5/1/19,Control,48.109
6/1/19,Control,48.314
7/1/19,Control,34.395
8/1/19,Control,22.579
9/1/19,Control,12.251
10/1/19,Control,6.15
11/1/19,Control,7.958
12/1/19,Control,10.994
1/1/20,Control,15.511
2/1/20,Control,23.794
3/1/20,Control,37.575
4/1/20,Control,53.753
5/1/20,Control,26.533
6/1/20,Control,19.655
