Date,source,Mean AOD
2000-02,AOD,0.0749382716
2000-03,AOD,0.09885395044
2000-04,AOD,0.140177038
2000-05,AOD,0.247854321
2000-06,AOD,0.2226544345
2000-07,AOD,0.181230821
2000-08,AOD,0.3270071576
2000-09,AOD,0.2466882951
2000-10,AOD,0.1922305703
2000-11,AOD,0.09635314432
2000-12,AOD,0.06884762439
2001-01,AOD,0.107819672
2001-02,AOD,0.1279543504
2001-03,AOD,0.1480405755
2001-04,AOD,0.1936679894
2001-05,AOD,0.1807261317
2001-06,AOD,0.4597113821
2001-07,AOD,0.246046262
2001-08,AOD,0.2988124633
2001-09,AOD,0.160116393
2001-10,AOD,0.1093571975
2001-11,AOD,0.148586165
2001-12,AOD,0.08300413976
2002-01,AOD,0.09389003264
2002-02,AOD,0.09171415406
2002-03,AOD,0.1239880071
2002-04,AOD,0.3290156379
2002-05,AOD,0.2100298354
2002-06,AOD,0.3762634627
2002-07,AOD,0.373225037
2002-08,AOD,0.4184397214
2002-09,AOD,0.3622530663
2002-10,AOD,0.1571505613
2002-11,AOD,0.1161351028
2002-12,AOD,0.1132942716
2003-01,AOD,0.1181077915
2003-02,AOD,0.1220079312
2003-03,AOD,0.1535752105
2003-04,AOD,0.1920811134
2003-05,AOD,0.306124059
2003-06,AOD,0.2657790743
2003-07,AOD,0.3219353123
2003-08,AOD,0.3950165638
2003-09,AOD,0.2400242202
2003-10,AOD,0.1310804915
2003-11,AOD,0.1311219108
2003-12,AOD,0.09629745666
2004-01,AOD,0.1078653597
2004-02,AOD,0.1595555051
2004-03,AOD,0.1223968581
2004-04,AOD,0.1817953207
2004-05,AOD,0.2044036652
2004-06,AOD,0.2904497835
2004-07,AOD,0.2509110449
2004-08,AOD,0.2425615106
2004-09,AOD,0.241352476
2004-10,AOD,0.166438402
2004-11,AOD,0.08827833125
2004-12,AOD,0.08373974304
2005-01,AOD,0.109797354
2005-02,AOD,0.1438538801
2005-03,AOD,0.1504854769
2005-04,AOD,0.146484267
2005-05,AOD,0.2730894341
2005-06,AOD,0.3250978821
2005-07,AOD,0.3031725185
2005-08,AOD,0.3139822504
2005-09,AOD,0.2829505153
2005-10,AOD,0.1491870501
2005-11,AOD,0.09498059081
2005-12,AOD,0.1136385656
2006-01,AOD,0.09514302105
2006-02,AOD,0.1310771544
2006-03,AOD,0.1946740193
2006-04,AOD,0.2349099677
2006-05,AOD,0.1876822552
2006-06,AOD,0.3004446952
2006-07,AOD,0.3732242166
2006-08,AOD,0.2866627973
2006-09,AOD,0.220884961
2006-10,AOD,0.167610441
2006-11,AOD,0.1066113318
2006-12,AOD,0.08833760636
2007-01,AOD,0.103570946
2007-02,AOD,0.1096291234
2007-03,AOD,0.1757880175
2007-04,AOD,0.2122700529
2007-05,AOD,0.3132280753
2007-06,AOD,0.3132074074
2007-07,AOD,0.3929408289
2007-08,AOD,0.3791120266
2007-09,AOD,0.2701053459
2007-10,AOD,0.1255405041
2007-11,AOD,0.2163276403
2007-12,AOD,0.09388459538
2008-01,AOD,0.09729213947
2008-02,AOD,0.1256897145
2008-03,AOD,0.1847683612
2008-04,AOD,0.1658593473
2008-05,AOD,0.2123267063
2008-06,AOD,0.3376650206
2008-07,AOD,0.222505269
2008-08,AOD,0.3437440403
2008-09,AOD,0.2166679099
2008-10,AOD,0.1361160646
2008-11,AOD,0.1273339023
2008-12,AOD,0.07593195405
2009-01,AOD,0.09258443712
2009-02,AOD,0.1165621047
2009-03,AOD,0.1870911257
2009-04,AOD,0.1517593474
2009-05,AOD,0.1776345062
2009-06,AOD,0.2429736994
2009-07,AOD,0.2949377486
2009-08,AOD,0.3035087931
2009-09,AOD,0.4854215706
2009-10,AOD,0.1470756248
2009-11,AOD,0.1177760503
2009-12,AOD,0.07760978906
2010-01,AOD,0.07731728854
2010-02,AOD,0.1194940171
2010-03,AOD,0.1707705374
2010-04,AOD,0.1411230614
2010-05,AOD,0.2273660235
2010-06,AOD,0.3524801734
2010-07,AOD,0.4124580468
2010-08,AOD,0.2919369232
2010-09,AOD,0.218658579
2010-10,AOD,0.1285062558
2010-11,AOD,0.1092000859
2010-12,AOD,0.1313760229
2011-01,AOD,0.1077780148
2011-02,AOD,0.1057360755
2011-03,AOD,0.1535565359
2011-04,AOD,0.2100880264
2011-05,AOD,0.2067877217
2011-06,AOD,0.2844676748
2011-07,AOD,0.3489834692
2011-08,AOD,0.2810882927
2011-09,AOD,0.2004764614
2011-10,AOD,0.1416881753
2011-11,AOD,0.1265053204
2011-12,AOD,0.1616744441
2012-01,AOD,0.09305693915
2012-02,AOD,0.1977038703
2012-03,AOD,0.1269739069
2012-04,AOD,0.1734097988
2012-05,AOD,0.2482920469
2012-06,AOD,0.3274437918
2012-07,AOD,0.3003345078
2012-08,AOD,0.2950968917
2012-09,AOD,0.2395259581
2012-10,AOD,0.1721808555
2012-11,AOD,0.1081425162
2012-12,AOD,0.09977956041
2013-01,AOD,0.1402649652
2013-02,AOD,0.1286104975
2013-03,AOD,0.1722108375
2013-04,AOD,0.2143748986
2013-05,AOD,0.2239315542
2013-06,AOD,0.2896725696
2013-07,AOD,0.3253126035
2013-08,AOD,0.3376734002
2013-09,AOD,0.2583859515
2013-10,AOD,0.152979671
2013-11,AOD,0.1287853807
2013-12,AOD,0.08025145265
2014-01,AOD,0.07752041552
2014-02,AOD,0.1843316187
2014-03,AOD,0.1873703796
2014-04,AOD,0.1729012519
2014-05,AOD,0.167009379
2014-06,AOD,0.2704852239
2014-07,AOD,0.3412930157
2014-08,AOD,0.3342976007
2014-09,AOD,0.2996232388
2014-10,AOD,0.1433524524
2014-11,AOD,0.09959181821
2014-12,AOD,0.1160467332
2015-01,AOD,0.08940440511
2015-02,AOD,0.149970226
2015-03,AOD,0.1736594638
2015-04,AOD,0.2204265085
2015-05,AOD,0.2182746914
2015-06,AOD,0.3131746473
2015-07,AOD,0.2786423508
2015-08,AOD,0.2498927316
2015-09,AOD,0.2238055901
2015-10,AOD,0.1308974015
2015-11,AOD,0.1043513193
2015-12,AOD,0.11884394
2016-01,AOD,0.09210476102
2016-02,AOD,0.1198206551
2016-03,AOD,0.1738961533
2016-04,AOD,0.183535122
2016-05,AOD,0.193123342
2016-06,AOD,0.3113047316
2016-07,AOD,0.3714862904
2016-08,AOD,0.2627547922
2016-09,AOD,0.2422447788
2016-10,AOD,0.157308676
2016-11,AOD,0.1180115416
2016-12,AOD,0.1359900883
2017-01,AOD,0.08941216804
2017-02,AOD,0.1450606754
2017-03,AOD,0.1828462932
2017-04,AOD,0.1384908443
2017-05,AOD,0.1601177389
2017-06,AOD,0.2761595826
2017-07,AOD,0.353806691
2017-08,AOD,0.2738136123
2017-09,AOD,0.3047581541
2017-10,AOD,0.159560459
2017-11,AOD,0.1381969369
2017-12,AOD,0.09525914792
2018-01,AOD,0.1140751655
2018-02,AOD,0.317979798
2018-03,AOD,0.1652755964
2018-04,AOD,0.1830604239
2018-05,AOD,0.216627207
2018-06,AOD,0.3366394385
2018-07,AOD,0.333890207
2018-08,AOD,0.335405234
2018-09,AOD,0.2389157113
2018-10,AOD,0.1462139648
2018-11,AOD,0.1243383063
2018-12,AOD,0.08559833143
2019-01,AOD,0.1149739507
2019-02,AOD,0.1740729277
2019-03,AOD,0.1112787422
2019-04,AOD,0.142079873
2019-05,AOD,0.2165814111
2019-06,AOD,0.214809422
2019-07,AOD,0.2599688909
2019-08,AOD,0.3524342348
2019-09,AOD,0.2684117569
2019-10,AOD,0.1779706625
2019-11,AOD,0.119267697
2019-12,AOD,0.08434844117
2000-02,Trendline,0.2
2000-03,Trendline,0.2000062916
2000-04,Trendline,0.2000125832
2000-05,Trendline,0.2000188747
2000-06,Trendline,0.2000251663
2000-07,Trendline,0.2000314579
2000-08,Trendline,0.2000377495
2000-09,Trendline,0.200044041
2000-10,Trendline,0.2000503326
2000-11,Trendline,0.2000566242
2000-12,Trendline,0.2000629158
2001-01,Trendline,0.2000692073
2001-02,Trendline,0.2000754989
2001-03,Trendline,0.2000817905
2001-04,Trendline,0.2000880821
2001-05,Trendline,0.2000943736
2001-06,Trendline,0.2001006652
2001-07,Trendline,0.2001069568
2001-08,Trendline,0.2001132484
2001-09,Trendline,0.2001195399
2001-10,Trendline,0.2001258315
2001-11,Trendline,0.2001321231
2001-12,Trendline,0.2001384147
2002-01,Trendline,0.2001447062
2002-02,Trendline,0.2001509978
2002-03,Trendline,0.2001572894
2002-04,Trendline,0.200163581
2002-05,Trendline,0.2001698725
2002-06,Trendline,0.2001761641
2002-07,Trendline,0.2001824557
2002-08,Trendline,0.2001887473
2002-09,Trendline,0.2001950388
2002-10,Trendline,0.2002013304
2002-11,Trendline,0.200207622
2002-12,Trendline,0.2002139136
2003-01,Trendline,0.2002202051
2003-02,Trendline,0.2002264967
2003-03,Trendline,0.2002327883
2003-04,Trendline,0.2002390799
2003-05,Trendline,0.2002453714
2003-06,Trendline,0.200251663
2003-07,Trendline,0.2002579546
2003-08,Trendline,0.2002642462
2003-09,Trendline,0.2002705377
2003-10,Trendline,0.2002768293
2003-11,Trendline,0.2002831209
2003-12,Trendline,0.2002894125
2004-01,Trendline,0.200295704
2004-02,Trendline,0.2003019956
2004-03,Trendline,0.2003082872
2004-04,Trendline,0.2003145788
2004-05,Trendline,0.2003208703
2004-06,Trendline,0.2003271619
2004-07,Trendline,0.2003334535
2004-08,Trendline,0.2003397451
2004-09,Trendline,0.2003460366
2004-10,Trendline,0.2003523282
2004-11,Trendline,0.2003586198
2004-12,Trendline,0.2003649114
2005-01,Trendline,0.2003712029
2005-02,Trendline,0.2003774945
2005-03,Trendline,0.2003837861
2005-04,Trendline,0.2003900777
2005-05,Trendline,0.2003963692
