Date,p_type,value
2000-02,Poverty 0-5%,0.05175230297
2000-03,Poverty 0-5%,0.1217991995
2000-04,Poverty 0-5%,0.1410446128
2000-05,Poverty 0-5%,0.230135387
2000-06,Poverty 0-5%,0.2694011803
2000-07,Poverty 0-5%,0.1696679727
2000-08,Poverty 0-5%,0.2891865666
2000-09,Poverty 0-5%,0.2034907058
2000-10,Poverty 0-5%,0.2048946375
2000-11,Poverty 0-5%,0.1006728637
2000-12,Poverty 0-5%,0.07765807185
2001-01,Poverty 0-5%,0.1126679814
2001-02,Poverty 0-5%,0.1286528233
2001-03,Poverty 0-5%,0.1301588016
2001-04,Poverty 0-5%,0.2194889699
2001-05,Poverty 0-5%,0.2576436588
2001-06,Poverty 0-5%,0.3696482993
2001-07,Poverty 0-5%,0.2729188631
2001-08,Poverty 0-5%,0.2991495886
2001-09,Poverty 0-5%,0.139852664
2001-10,Poverty 0-5%,0.09705614713
2001-11,Poverty 0-5%,0.1701732805
2001-12,Poverty 0-5%,0.06674869438
2002-01,Poverty 0-5%,0.07072877874
2002-02,Poverty 0-5%,0.07839852345
2002-03,Poverty 0-5%,0.1065902307
2002-04,Poverty 0-5%,0.2544891443
2002-05,Poverty 0-5%,0.2179286328
2002-06,Poverty 0-5%,0.402503869
2002-07,Poverty 0-5%,0.3333597292
2002-08,Poverty 0-5%,0.3592516371
2002-09,Poverty 0-5%,0.3028550428
2002-10,Poverty 0-5%,0.1333638581
2002-11,Poverty 0-5%,0.08170293513
2002-12,Poverty 0-5%,0.08562389389
2003-1,Poverty 0-5%,0.08641392183
2003-02,Poverty 0-5%,0.09609008394
2003-03,Poverty 0-5%,0.1452225172
2003-04,Poverty 0-5%,0.1719447786
2003-05,Poverty 0-5%,0.2857658399
2003-06,Poverty 0-5%,0.2821073961
2003-07,Poverty 0-5%,0.3130214837
2003-08,Poverty 0-5%,0.3672775754
2003-09,Poverty 0-5%,0.1981401523
2003-10,Poverty 0-5%,0.1112030009
2003-11,Poverty 0-5%,0.1136289263
2003-12,Poverty 0-5%,0.07857394791
2004-1,Poverty 0-5%,0.08976042826
2004-02,Poverty 0-5%,0.139903844
2004-03,Poverty 0-5%,0.1250297463
2004-04,Poverty 0-5%,0.1712843158
2004-05,Poverty 0-5%,0.1947149905
2004-06,Poverty 0-5%,0.3451791449
2004-07,Poverty 0-5%,0.2932775193
2004-08,Poverty 0-5%,0.2611816196
2004-09,Poverty 0-5%,0.230050327
2004-10,Poverty 0-5%,0.1587879945
2004-11,Poverty 0-5%,0.07198460292
2004-12,Poverty 0-5%,0.0651640813
2005-1,Poverty 0-5%,0.09345710479
2005-2,Poverty 0-5%,0.15142826
2005-03,Poverty 0-5%,0.1211678341
2005-04,Poverty 0-5%,0.1420952304
2005-05,Poverty 0-5%,0.2710117806
2005-06,Poverty 0-5%,0.2915947714
2005-07,Poverty 0-5%,0.2960525613
2005-08,Poverty 0-5%,0.3199506531
2005-09,Poverty 0-5%,0.2781707251
2005-10,Poverty 0-5%,0.1336671312
2005-11,Poverty 0-5%,0.08435075804
2005-12,Poverty 0-5%,0.08934802536
2006-1,Poverty 0-5%,0.07786341692
