Date,source,Mean AOD
2000-03,AOD,0.206085271
2000-04,AOD,0.207946201
2000-05,AOD,0.299203474
2000-06,AOD,0.309516028
2000-07,AOD,0.264753541
2000-08,AOD,0.289357177
2000-09,AOD,0.21840898
2000-10,AOD,0.214128835
2000-11,AOD,0.137507196
2000-12,AOD,0.14879121
2001-01,AOD,0.139036978
2001-02,AOD,0.17615009
2001-03,AOD,0.227825887
2001-04,AOD,0.26676864
2001-05,AOD,0.269810973
2001-06,AOD,0.367151419
2001-07,AOD,0.313354661
2001-08,AOD,0.310529801
2001-09,AOD,0.163867403
2001-10,AOD,0.17536978
2001-11,AOD,0.230641125
2001-12,AOD,0.150906576
2002-01,AOD,0.158862665
2002-02,AOD,0.123890487
2002-03,AOD,0.149385725
2002-04,AOD,0.30401338
2002-05,AOD,0.299387231
2002-06,AOD,0.321888483
2002-07,AOD,0.322447065
2002-08,AOD,0.373623274
2002-09,AOD,0.249993862
2002-10,AOD,0.185193146
2002-11,AOD,0.163034957
2002-12,AOD,0.151435994
2003-01,AOD,0.152778682
2003-02,AOD,0.139576367
2003-03,AOD,0.189926369
2003-04,AOD,0.200779073
2003-05,AOD,0.339269462
2003-06,AOD,0.31865085
2003-07,AOD,0.36168737
2003-08,AOD,0.384262082
2003-09,AOD,0.222304114
2003-10,AOD,0.152861972
2003-11,AOD,0.181736415
2003-12,AOD,0.122678782
2004-01,AOD,0.132539441
2004-02,AOD,0.190837519
2004-03,AOD,0.192944856
2004-04,AOD,0.232260796
2004-05,AOD,0.285606443
2004-06,AOD,0.366925543
2004-07,AOD,0.341579745
2004-08,AOD,0.313358622
2004-09,AOD,0.241093701
2004-10,AOD,0.197699872
2004-11,AOD,0.120299253
2004-12,AOD,0.13398348
2005-01,AOD,0.150200658
2005-02,AOD,0.171774806
2005-03,AOD,0.209928561
2005-04,AOD,0.183718136
2005-05,AOD,0.297045148
2005-06,AOD,0.287921201
2005-07,AOD,0.293193061
2005-08,AOD,0.317502746
2005-09,AOD,0.319783524
2005-10,AOD,0.194522316
2005-11,AOD,0.157332278
2005-12,AOD,0.125763905
2006-01,AOD,0.140815645
2006-02,AOD,0.155781546
2006-03,AOD,0.219528287
2006-04,AOD,0.237306811
2006-05,AOD,0.253359425
2006-06,AOD,0.305011189
2006-07,AOD,0.322991609
2006-08,AOD,0.321675708
2006-09,AOD,0.213025122
2006-10,AOD,0.2203351
2006-11,AOD,0.155605641
2006-12,AOD,0.129007734
2007-01,AOD,0.155862984
2007-02,AOD,0.172102321
2007-03,AOD,0.187277057
2007-04,AOD,0.25798864
2007-05,AOD,0.338002731
2007-06,AOD,0.34447346
2007-07,AOD,0.412878738
2007-08,AOD,0.331964725
2007-09,AOD,0.275008541
2007-10,AOD,0.162566054
2007-11,AOD,0.252199995
2007-12,AOD,0.135575849
2008-01,AOD,0.140045333
2008-02,AOD,0.164350277
2008-03,AOD,0.197305183
2008-04,AOD,0.260585105
2008-05,AOD,0.284524142
2008-06,AOD,0.274013163
2008-07,AOD,0.259136384
2008-08,AOD,0.353471644
2008-09,AOD,0.231148681
2008-10,AOD,0.157922868
2008-11,AOD,0.148644209
2008-12,AOD,0.126569984
2009-01,AOD,0.126047146
2009-02,AOD,0.138047335
2009-03,AOD,0.190551752
2009-04,AOD,0.15839961
2009-05,AOD,0.256680024
2009-06,AOD,0.253338591
2009-07,AOD,0.304343532
2009-08,AOD,0.316362785
2009-09,AOD,0.372724794
2009-10,AOD,0.178074386
2009-11,AOD,0.169899845
2009-12,AOD,0.124828661
2010-01,AOD,0.121872853
2010-02,AOD,0.212195815
2010-03,AOD,0.239329106
2010-04,AOD,0.224621101
2010-05,AOD,0.243890127
2010-06,AOD,0.267083707
2010-07,AOD,0.347968479
2010-08,AOD,0.307752242
2010-09,AOD,0.200377128
2010-10,AOD,0.171944775
2010-11,AOD,0.142424459
2010-12,AOD,0.161810403
2011-01,AOD,0.13044463
2011-02,AOD,0.140161289
2011-03,AOD,0.182754446
2011-04,AOD,0.228659563
2011-05,AOD,0.237457793
2011-06,AOD,0.267976321
2011-07,AOD,0.277628904
2011-08,AOD,0.278831069
2011-09,AOD,0.243393233
2011-10,AOD,0.166248368
2011-11,AOD,0.169139147
2011-12,AOD,0.170458117
2012-01,AOD,0.136650748
2012-02,AOD,0.208975614
2012-03,AOD,0.190485026
2012-04,AOD,0.233466202
2012-05,AOD,0.335110488
2012-06,AOD,0.393112833
2012-07,AOD,0.309814849
2012-08,AOD,0.316389365
2012-09,AOD,0.225956552
2012-10,AOD,0.191928665
2012-11,AOD,0.136995197
2012-12,AOD,0.115932703
2013-01,AOD,0.147225761
2013-02,AOD,0.146212933
2013-03,AOD,0.183477172
2013-04,AOD,0.226433805
2013-05,AOD,0.244801018
2013-06,AOD,0.246880745
2013-07,AOD,0.295982437
2013-08,AOD,0.33990931
2013-09,AOD,0.218103531
2013-10,AOD,0.151140595
2013-11,AOD,0.169008028
2013-12,AOD,0.113265267
2014-01,AOD,0.117575394
2014-02,AOD,0.168881874
2014-03,AOD,0.201333036
2014-04,AOD,0.23359141
2014-05,AOD,0.240078059
2014-06,AOD,0.258340732
2014-07,AOD,0.399743496
2014-08,AOD,0.327939689
2014-09,AOD,0.292219927
2014-10,AOD,0.156036739
2014-11,AOD,0.126833414
2014-12,AOD,0.152611297
2015-01,AOD,0.123192804
2015-02,AOD,0.169722512
2015-03,AOD,0.214625111
2015-04,AOD,0.262587566
2015-05,AOD,0.297443938
2015-06,AOD,0.304082845
2015-07,AOD,0.281197554
2015-08,AOD,0.305414964
2015-09,AOD,0.200035505
2015-10,AOD,0.165750448
2015-11,AOD,0.184546694
2015-12,AOD,0.147180205
2016-01,AOD,0.186799979
2016-02,AOD,0.156101924
2016-03,AOD,0.185480043
2016-04,AOD,0.203017921
2016-05,AOD,0.287333438
2016-06,AOD,0.286591172
2016-07,AOD,0.280807255
2016-08,AOD,0.256364366
2016-09,AOD,0.182028579
2016-10,AOD,0.143479027
2016-11,AOD,0.141678903
2016-12,AOD,0.171940143
2017-01,AOD,0.144212768
2017-02,AOD,0.19386162
2017-03,AOD,0.213011811
2017-04,AOD,0.196254045
2017-05,AOD,0.202377897
2017-06,AOD,0.310587984
2017-07,AOD,0.293481591
2017-08,AOD,0.265741926
2017-09,AOD,0.30936522
2017-10,AOD,0.162520876
2017-11,AOD,0.15079746
2017-12,AOD,0.10431873
2018-01,AOD,0.137409806
2018-02,AOD,0.299508471
2018-03,AOD,0.199981192
2018-04,AOD,0.228450443
2018-05,AOD,0.243202421
2018-06,AOD,0.25251476
2018-07,AOD,0.329527299
2018-08,AOD,0.327235779
2018-09,AOD,0.229046667
2018-10,AOD,0.158947228
2018-11,AOD,0.187191953
2018-12,AOD,0.168877251
2019-01,AOD,0.216478987
2019-02,AOD,0.154792902
2019-03,AOD,0.172488013
2019-04,AOD,0.18404074
2019-05,AOD,0.287924852
2019-06,AOD,0.272161807
2019-07,AOD,0.267128845
2019-08,AOD,0.350453081
2019-09,AOD,0.264331041
2019-10,AOD,0.19458518
2019-11,AOD,0.136381571
2019-12,AOD,0.113060152
2000-03,Trendline,0.2
2000-04,Trendline,0.199920682
2000-05,Trendline,0.199841363
2000-06,Trendline,0.199762045
2000-07,Trendline,0.199682726
2000-08,Trendline,0.199603408
2000-09,Trendline,0.199524089
2000-10,Trendline,0.19944477
2000-11,Trendline,0.199365452
2000-12,Trendline,0.199286133
2001-01,Trendline,0.199206815
2001-02,Trendline,0.199127496
2001-03,Trendline,0.199048178
2001-04,Trendline,0.198968859
2001-05,Trendline,0.198889541
2001-06,Trendline,0.198810222
2001-07,Trendline,0.198730904
2001-08,Trendline,0.198651585
2001-09,Trendline,0.198572267
2001-10,Trendline,0.198492948
2001-11,Trendline,0.19841363
2001-12,Trendline,0.198334311
2002-01,Trendline,0.198254993
2002-02,Trendline,0.198175674
2002-03,Trendline,0.198096356
2002-04,Trendline,0.198017037
2002-05,Trendline,0.197937719
2002-06,Trendline,0.1978584
2002-07,Trendline,0.197779082
2002-08,Trendline,0.197699763
2002-09,Trendline,0.197620445
2002-10,Trendline,0.197541126
2002-11,Trendline,0.197461808
2002-12,Trendline,0.197382489
2003-01,Trendline,0.197303171
2003-02,Trendline,0.197223852
2003-03,Trendline,0.197144534
2003-04,Trendline,0.197065215
2003-05,Trendline,0.196985897
2003-06,Trendline,0.196906578
2003-07,Trendline,0.19682726
2003-08,Trendline,0.196747941
2003-09,Trendline,0.196668623
2003-10,Trendline,0.196589304
2003-11,Trendline,0.196509986
2003-12,Trendline,0.196430667
2004-01,Trendline,0.196351349
2004-02,Trendline,0.19627203
2004-03,Trendline,0.196192712
2004-04,Trendline,0.196113393
2004-05,Trendline,0.196034075
2004-06,Trendline,0.195954756
2004-07,Trendline,0.195875438
2004-08,Trendline,0.195796119
2004-09,Trendline,0.195716801
2004-10,Trendline,0.195637482
2004-11,Trendline,0.195558164
2004-12,Trendline,0.195478845
2005-01,Trendline,0.195399527
2005-02,Trendline,0.195320208
2005-03,Trendline,0.19524089
2005-04,Trendline,0.195161571
2005-05,Trendline,0.195082253
2005-06,Trendline,0.195002934
2005-07,Trendline,0.194923616
2005-08,Trendline,0.194844297
2005-09,Trendline,0.194764979
2005-10,Trendline,0.19468566
2005-11,Trendline,0.194606342
2005-12,Trendline,0.194527023
2006-01,Trendline,0.194447705
2006-02,Trendline,0.194368386
2006-03,Trendline,0.194289068
2006-04,Trendline,0.194209749
2006-05,Trendline,0.19413043
2006-06,Trendline,0.194051112
2006-07,Trendline,0.193971793
2006-08,Trendline,0.193892475
2006-09,Trendline,0.193813156
2006-10,Trendline,0.193733838
2006-11,Trendline,0.193654519
2006-12,Trendline,0.193575201
2007-01,Trendline,0.193495882
2007-02,Trendline,0.193416564
2007-03,Trendline,0.193337245
2007-04,Trendline,0.193257927
2007-05,Trendline,0.193178608
2007-06,Trendline,0.19309929
2007-07,Trendline,0.193019971
2007-08,Trendline,0.192940653
2007-09,Trendline,0.192861334
2007-10,Trendline,0.192782016
2007-11,Trendline,0.192702697
2007-12,Trendline,0.192623379
2008-01,Trendline,0.19254406
2008-02,Trendline,0.192464742
2008-03,Trendline,0.192385423
2008-04,Trendline,0.192306105
2008-05,Trendline,0.192226786
2008-06,Trendline,0.192147468
2008-07,Trendline,0.192068149
2008-08,Trendline,0.191988831
2008-09,Trendline,0.191909512
2008-10,Trendline,0.191830194
2008-11,Trendline,0.191750875
2008-12,Trendline,0.191671557
2009-01,Trendline,0.191592238
2009-02,Trendline,0.19151292
2009-03,Trendline,0.191433601
2009-04,Trendline,0.191354283
2009-05,Trendline,0.191274964
2009-06,Trendline,0.191195646
2009-07,Trendline,0.191116327
2009-08,Trendline,0.191037009
2009-09,Trendline,0.19095769
2009-10,Trendline,0.190878372
2009-11,Trendline,0.190799053
2009-12,Trendline,0.190719735
2010-01,Trendline,0.190640416
2010-02,Trendline,0.190561098
2010-03,Trendline,0.190481779
2010-04,Trendline,0.190402461
2010-05,Trendline,0.190323142
2010-06,Trendline,0.190243824
2010-07,Trendline,0.190164505
2010-08,Trendline,0.190085187
2010-09,Trendline,0.190005868
2010-10,Trendline,0.18992655
2010-11,Trendline,0.189847231
2010-12,Trendline,0.189767913
2011-01,Trendline,0.189688594
2011-02,Trendline,0.189609276
2011-03,Trendline,0.189529957
2011-04,Trendline,0.189450639
2011-05,Trendline,0.18937132
2011-06,Trendline,0.189292002
2011-07,Trendline,0.189212683
2011-08,Trendline,0.189133365
2011-09,Trendline,0.189054046
2011-10,Trendline,0.188974727
2011-11,Trendline,0.188895409
2011-12,Trendline,0.18881609
2012-01,Trendline,0.188736772
2012-02,Trendline,0.188657453
2012-03,Trendline,0.188578135
2012-04,Trendline,0.188498816
2012-05,Trendline,0.188419498
2012-06,Trendline,0.188340179
2012-07,Trendline,0.188260861
2012-08,Trendline,0.188181542
2012-09,Trendline,0.188102224
2012-10,Trendline,0.188022905
2012-11,Trendline,0.187943587
2012-12,Trendline,0.187864268
2013-01,Trendline,0.18778495
2013-02,Trendline,0.187705631
2013-03,Trendline,0.187626313
2013-04,Trendline,0.187546994
2013-05,Trendline,0.187467676
2013-06,Trendline,0.187388357
2013-07,Trendline,0.187309039
2013-08,Trendline,0.18722972
2013-09,Trendline,0.187150402
2013-10,Trendline,0.187071083
2013-11,Trendline,0.186991765
2013-12,Trendline,0.186912446
2014-01,Trendline,0.186833128
2014-02,Trendline,0.186753809
2014-03,Trendline,0.186674491
2014-04,Trendline,0.186595172
2014-05,Trendline,0.186515854
2014-06,Trendline,0.186436535
2014-07,Trendline,0.186357217
2014-08,Trendline,0.186277898
2014-09,Trendline,0.18619858
2014-10,Trendline,0.186119261
2014-11,Trendline,0.186039943
2014-12,Trendline,0.185960624
2015-01,Trendline,0.185881306
2015-02,Trendline,0.185801987
2015-03,Trendline,0.185722669
2015-04,Trendline,0.18564335
2015-05,Trendline,0.185564032
2015-06,Trendline,0.185484713
2015-07,Trendline,0.185405395
2015-08,Trendline,0.185326076
2015-09,Trendline,0.185246758
2015-10,Trendline,0.185167439
2015-11,Trendline,0.185088121
2015-12,Trendline,0.185008802
2016-01,Trendline,0.184929484
2016-02,Trendline,0.184850165
2016-03,Trendline,0.184770847
2016-04,Trendline,0.184691528
2016-05,Trendline,0.18461221
2016-06,Trendline,0.184532891
2016-07,Trendline,0.184453573
2016-08,Trendline,0.184374254
2016-09,Trendline,0.184294936
2016-10,Trendline,0.184215617
2016-11,Trendline,0.184136299
2016-12,Trendline,0.18405698
2017-01,Trendline,0.183977662
2017-02,Trendline,0.183898343
2017-03,Trendline,0.183819024
2017-04,Trendline,0.183739706
2017-05,Trendline,0.183660387
2017-06,Trendline,0.183581069
2017-07,Trendline,0.18350175
2017-08,Trendline,0.183422432
2017-09,Trendline,0.183343113
2017-10,Trendline,0.183263795
2017-11,Trendline,0.183184476
2017-12,Trendline,0.183105158
2018-01,Trendline,0.183025839
2018-02,Trendline,0.182946521
2018-03,Trendline,0.182867202
2018-04,Trendline,0.182787884
2018-05,Trendline,0.182708565
2018-06,Trendline,0.182629247
2018-07,Trendline,0.182549928
2018-08,Trendline,0.18247061
2018-09,Trendline,0.182391291
2018-10,Trendline,0.182311973
2018-11,Trendline,0.182232654
2018-12,Trendline,0.182153336
2019-01,Trendline,0.182074017
2019-02,Trendline,0.181994699
2019-03,Trendline,0.18191538
2019-04,Trendline,0.181836062
2019-05,Trendline,0.181756743
2019-06,Trendline,0.181677425
2019-07,Trendline,0.181598106
2019-08,Trendline,0.181518788
2019-09,Trendline,0.181439469
2019-10,Trendline,0.181360151
2019-11,Trendline,0.181280832
2019-12,Trendline,0.181201514
