Date,source,Mean AOD
2000-02,AOD,0.052767165
2000-03,AOD,0.108952006
2000-04,AOD,0.131009588
2000-05,AOD,0.289352549
2000-06,AOD,0.29711575
2000-07,AOD,0.14938468
2000-08,AOD,0.253161408
2000-09,AOD,0.165954429
2000-10,AOD,0.201914473
2000-11,AOD,0.116041478
2000-12,AOD,0.091187626
2001-01,AOD,0.122581617
2001-02,AOD,0.126957345
2001-03,AOD,0.147627507
2001-04,AOD,0.240622065
2001-05,AOD,0.249144538
2001-06,AOD,0.310352195
2001-07,AOD,0.253039421
2001-08,AOD,0.264698786
2001-09,AOD,0.162808852
2001-10,AOD,0.101014715
2001-11,AOD,0.157116199
2001-12,AOD,0.07599395
2002-01,AOD,0.071300895
2002-02,AOD,0.070277722
2002-03,AOD,0.127510799
2002-04,AOD,0.294489817
2002-05,AOD,0.187952262
2002-06,AOD,0.406614681
2002-07,AOD,0.315474535
2002-08,AOD,0.339672656
2002-09,AOD,0.269138136
2002-10,AOD,0.150844081
2002-11,AOD,0.078151803
2002-12,AOD,0.088551348
2003-01,AOD,0.097444986
2003-02,AOD,0.107979104
2003-03,AOD,0.145436708
2003-04,AOD,0.146228646
2003-05,AOD,0.27913622
2003-06,AOD,0.251028562
2003-07,AOD,0.302560266
2003-08,AOD,0.35662724
2003-09,AOD,0.205994375
2003-10,AOD,0.117367884
2003-11,AOD,0.10015637
2003-12,AOD,0.079471513
2004-01,AOD,0.091108385
2004-02,AOD,0.147353353
2004-03,AOD,0.12725684
2004-04,AOD,0.162341506
2004-05,AOD,0.202407424
2004-06,AOD,0.324028095
2004-07,AOD,0.256956135
2004-08,AOD,0.257629632
2004-09,AOD,0.2262881
2004-10,AOD,0.135644959
2004-11,AOD,0.075966291
2004-12,AOD,0.062105709
2005-01,AOD,0.091447617
2005-02,AOD,0.162647597
2005-03,AOD,0.119565371
2005-04,AOD,0.144375104
2005-05,AOD,0.24578115
2005-06,AOD,0.285912852
2005-07,AOD,0.270865766
2005-08,AOD,0.323637964
2005-09,AOD,0.263796181
2005-10,AOD,0.117412877
2005-11,AOD,0.088002364
2005-12,AOD,0.096962095
2006-01,AOD,0.074974239
2006-02,AOD,0.105945321
2006-03,AOD,0.174539084
2006-04,AOD,0.220186689
2006-05,AOD,0.149528805
2006-06,AOD,0.264123718
2006-07,AOD,0.333523732
2006-08,AOD,0.275330999
2006-09,AOD,0.190763364
2006-10,AOD,0.180103637
2006-11,AOD,0.077954115
2006-12,AOD,0.058227964
2007-01,AOD,0.099879806
2007-02,AOD,0.097638567
2007-03,AOD,0.152380595
2007-04,AOD,0.173806956
2007-05,AOD,0.326808035
2007-06,AOD,0.314518649
2007-07,AOD,0.400495394
2007-08,AOD,0.369465004
2007-09,AOD,0.250444008
2007-10,AOD,0.102943967
2007-11,AOD,0.192221119
2007-12,AOD,0.08120911
2008-01,AOD,0.08413881
2008-02,AOD,0.106075029
2008-03,AOD,0.141869979
2008-04,AOD,0.139440039
2008-05,AOD,0.170288559
2008-06,AOD,0.281309567
2008-07,AOD,0.203521972
2008-08,AOD,0.27869866
2008-09,AOD,0.19804018
