date,daily_precipitation,source
1/1/23,57.41,Precipitation
1/2/23,0,Precipitation
1/3/23,1.76,Precipitation
1/4/23,17.53,Precipitation
1/5/23,73.12,Precipitation
1/6/23,0,Precipitation
1/7/23,0,Precipitation
1/8/23,0.51,Precipitation
1/9/23,52.55,Precipitation
1/10/23,85.86,Precipitation
1/11/23,0,Precipitation
1/12/23,0,Precipitation
1/13/23,0,Precipitation
1/14/23,50.05,Precipitation
1/15/23,17.25,Precipitation
1/16/23,37.8,Precipitation
1/17/23,1.27,Precipitation
1/18/23,0,Precipitation
1/19/23,0.25,Precipitation
1/20/23,0,Precipitation
1/21/23,0,Precipitation
1/22/23,0,Precipitation
1/23/23,0,Precipitation
1/24/23,0,Precipitation
1/25/23,0,Precipitation
1/26/23,0,Precipitation
1/27/23,0,Precipitation
1/28/23,0,Precipitation
1/29/23,0,Precipitation
1/30/23,31.48,Precipitation
1/31/23,0,Precipitation
2/1/23,0,Precipitation
2/2/23,0,Precipitation
2/3/23,0,Precipitation
2/4/23,0,Precipitation
2/5/23,0.25,Precipitation
2/6/23,0,Precipitation
2/7/23,0,Precipitation
2/8/23,0,Precipitation
2/9/23,0,Precipitation
2/10/23,0,Precipitation
2/11/23,0,Precipitation
2/12/23,0,Precipitation
2/13/23,0,Precipitation
2/14/23,0,Precipitation
2/15/23,0,Precipitation
2/16/23,0,Precipitation
2/17/23,0,Precipitation
2/18/23,0,Precipitation
2/19/23,0,Precipitation
2/20/23,0,Precipitation
2/21/23,0,Precipitation
2/22/23,0,Precipitation
2/23/23,22.85,Precipitation
2/24/23,75.88,Precipitation
2/25/23,151.12,Precipitation
2/26/23,11.41,Precipitation
2/27/23,13.19,Precipitation
2/28/23,0.76,Precipitation
3/1/23,12.69,Precipitation
3/2/23,0,Precipitation
3/3/23,0,Precipitation
3/4/23,0,Precipitation
3/5/23,2.29,Precipitation
3/6/23,0,Precipitation
3/7/23,0,Precipitation
3/8/23,0,Precipitation
3/9/23,0,Precipitation
3/10/23,33.47,Precipitation
3/11/23,13.68,Precipitation
3/12/23,0,Precipitation
3/13/23,0,Precipitation
3/14/23,21.32,Precipitation
3/15/23,143.72,Precipitation
3/16/23,0,Precipitation
3/17/23,0,Precipitation
3/18/23,0,Precipitation
