Date,fluxdata,source
1980-01-01,47.9133492,Flux
1980-02-01,64.9273758,Flux
1980-03-01,99.2088318,Flux
1980-04-01,81.0993652,Flux
1980-05-01,88.2251892,Flux
1980-06-01,84.8147507,Flux
1980-07-01,76.4820862,Flux
1980-08-01,74.3662567,Flux
1980-09-01,57.6609955,Flux
1980-10-01,60.6159325,Flux
1980-11-01,43.7909203,Flux
1980-12-01,45.9580803,Flux
1981-01-01,53.7507439,Flux
1981-02-01,62.8912926,Flux
1981-03-01,81.7813034,Flux
1981-04-01,114.997536,Flux
1981-05-01,110.121994,Flux
1981-06-01,84.8740768,Flux
1981-07-01,80.74366,Flux
1981-08-01,63.2686996,Flux
1981-09-01,49.7020531,Flux
1981-10-01,64.6148529,Flux
1981-11-01,48.4425163,Flux
1981-12-01,51.9642487,Flux
1982-01-01,55.7453079,Flux
1982-02-01,62.0665932,Flux
1982-03-01,74.7322617,Flux
1982-04-01,76.2532425,Flux
1982-05-01,79.8716278,Flux
1982-06-01,71.0248337,Flux
1982-07-01,72.644516,Flux
1982-08-01,73.819458,Flux
1982-09-01,54.447506,Flux
1982-10-01,50.320507,Flux
1982-11-01,36.9884911,Flux
1982-12-01,44.3526115,Flux
1983-01-01,40.4398499,Flux
1983-02-01,47.4278755,Flux
1983-03-01,78.0427322,Flux
1983-04-01,90.7811279,Flux
1983-05-01,118.616066,Flux
1983-06-01,67.0832825,Flux
1983-07-01,82.4744415,Flux
1983-08-01,57.8997879,Flux
1983-09-01,52.5257683,Flux
1983-10-01,45.6987762,Flux
1983-11-01,41.7249565,Flux
1983-12-01,35.5734367,Flux
1984-01-01,48.5124931,Flux
1984-02-01,58.9952774,Flux
1984-03-01,88.2731552,Flux
1984-04-01,90.5927582,Flux
1984-05-01,93.0335617,Flux
1984-06-01,80.2883835,Flux
1984-07-01,68.8274536,Flux
1984-08-01,77.398201,Flux
1984-09-01,58.0746574,Flux
1984-10-01,68.8604355,Flux
1984-11-01,41.4480743,Flux
1984-12-01,50.7580376,Flux
1985-01-01,54.6142921,Flux
1985-02-01,78.5331955,Flux
1985-03-01,96.9757233,Flux
