Date,fluxdata,source
1/1/1980,38.8970795,Flux
2/1/1980,44.8441353,Flux
3/1/1980,55.6143913,Flux
4/1/1980,79.8767776,Flux
5/1/1980,86.8456192,Flux
6/1/1980,98.8323898,Flux
7/1/1980,104.043159,Flux
8/1/1980,90.4532776,Flux
9/1/1980,83.2014084,Flux
10/1/1980,66.2772598,Flux
11/1/1980,50.1683884,Flux
12/1/1980,36.5043945,Flux
1/1/1981,29.009058,Flux
2/1/1981,46.4070663,Flux
3/1/1981,51.8128777,Flux
4/1/1981,52.5773468,Flux
5/1/1981,68.9893265,Flux
6/1/1981,88.4816818,Flux
7/1/1981,92.0994339,Flux
8/1/1981,89.6344757,Flux
9/1/1981,86.614624,Flux
10/1/1981,67.1905594,Flux
11/1/1981,49.9682274,Flux
12/1/1981,29.2571621,Flux
1/1/1982,29.3572464,Flux
2/1/1982,43.5660629,Flux
3/1/1982,59.4477577,Flux
4/1/1982,69.8675156,Flux
5/1/1982,86.586113,Flux
6/1/1982,111.251236,Flux
7/1/1982,98.9418335,Flux
8/1/1982,95.0034332,Flux
9/1/1982,83.8037872,Flux
10/1/1982,67.2488098,Flux
11/1/1982,47.7407188,Flux
12/1/1982,39.6822739,Flux
1/1/1983,39.3711586,Flux
2/1/1983,54.2298622,Flux
3/1/1983,66.3310471,Flux
4/1/1983,80.9276352,Flux
5/1/1983,72.0701218,Flux
6/1/1983,103.139175,Flux
7/1/1983,101.881683,Flux
8/1/1983,94.2794571,Flux
9/1/1983,88.9786835,Flux
10/1/1983,71.4214401,Flux
11/1/1983,49.375679,Flux
12/1/1983,39.9607964,Flux
1/1/1984,35.596447,Flux
2/1/1984,43.1483002,Flux
3/1/1984,61.8883705,Flux
4/1/1984,74.8044357,Flux
5/1/1984,82.2463531,Flux
6/1/1984,99.633728,Flux
7/1/1984,103.109978,Flux
8/1/1984,89.5708466,Flux
9/1/1984,82.3869171,Flux
10/1/1984,63.9206924,Flux
11/1/1984,42.3024216,Flux
12/1/1984,36.4849663,Flux
1/1/1985,30.8999634,Flux
2/1/1985,32.2853317,Flux
3/1/1985,48.0089149,Flux
4/1/1985,69.604454,Flux
5/1/1985,85.5779419,Flux
6/1/1985,91.5484848,Flux
7/1/1985,101.646095,Flux
8/1/1985,93.4701691,Flux
9/1/1985,86.4569702,Flux
10/1/1985,66.2935715,Flux
11/1/1985,48.9307899,Flux
12/1/1985,39.3750153,Flux
1/1/1986,37.6611519,Flux
2/1/1986,43.0534897,Flux
3/1/1986,61.2917061,Flux
4/1/1986,72.1024704,Flux
5/1/1986,76.328476,Flux
6/1/1986,94.6407013,Flux
7/1/1986,102.158218,Flux
8/1/1986,93.1269608,Flux
9/1/1986,79.2014389,Flux
10/1/1986,64.9039917,Flux
11/1/1986,46.9703751,Flux
12/1/1986,38.52742,Flux
1/1/1987,40.4525032,Flux
2/1/1987,43.8125191,Flux
3/1/1987,59.8008461,Flux
4/1/1987,68.6687698,Flux
5/1/1987,81.4683685,Flux
6/1/1987,86.5428925,Flux
7/1/1987,98.8197784,Flux
8/1/1987,84.4432983,Flux
9/1/1987,76.7216644,Flux
10/1/1987,66.9795532,Flux
11/1/1987,52.1870956,Flux
12/1/1987,39.1278,Flux
1/1/1988,37.3686371,Flux
2/1/1988,40.2405052,Flux
3/1/1988,50.325325,Flux
4/1/1988,63.7360573,Flux
5/1/1988,85.2106705,Flux
6/1/1988,97.5871048,Flux
7/1/1988,102.43338,Flux
8/1/1988,93.9938278,Flux
9/1/1988,80.3814697,Flux
10/1/1988,57.3559799,Flux
11/1/1988,42.3786049,Flux
12/1/1988,31.3457298,Flux
1/1/1989,30.5513,Flux
2/1/1989,31.8033752,Flux
3/1/1989,48.1437149,Flux
4/1/1989,65.2921295,Flux
5/1/1989,76.5863419,Flux
6/1/1989,83.1381912,Flux
7/1/1989,94.6723785,Flux
8/1/1989,87.5361633,Flux
9/1/1989,81.3507614,Flux
10/1/1989,65.7724304,Flux
11/1/1989,41.1967812,Flux
12/1/1989,32.3889885,Flux
1/1/1990,30.7053051,Flux
2/1/1990,42.1978798,Flux
3/1/1990,51.2580338,Flux
4/1/1990,68.6505432,Flux
5/1/1990,81.7653732,Flux
6/1/1990,99.4205627,Flux
7/1/1990,103.779068,Flux
8/1/1990,96.0716095,Flux
9/1/1990,83.2110214,Flux
10/1/1990,69.881279,Flux
11/1/1990,45.5744934,Flux
12/1/1990,33.7037392,Flux
1/1/1991,39.1078033,Flux
2/1/1991,43.960392,Flux
3/1/1991,58.9209671,Flux
4/1/1991,79.8854904,Flux
5/1/1991,89.4928131,Flux
6/1/1991,97.2518768,Flux
7/1/1991,104.434059,Flux
8/1/1991,95.7005997,Flux
9/1/1991,85.9021912,Flux
10/1/1991,71.1610107,Flux
11/1/1991,42.9866524,Flux
12/1/1991,35.7953339,Flux
1/1/1992,34.8040581,Flux
2/1/1992,46.6172218,Flux
3/1/1992,56.1730766,Flux
4/1/1992,72.0564651,Flux
5/1/1992,71.4576416,Flux
6/1/1992,99.3957138,Flux
7/1/1992,107.500969,Flux
8/1/1992,99.0226974,Flux
9/1/1992,85.1880188,Flux
10/1/1992,64.5652237,Flux
11/1/1992,47.8304291,Flux
12/1/1992,37.4931068,Flux
1/1/1993,42.8009644,Flux
2/1/1993,47.8810654,Flux
3/1/1993,60.3790398,Flux
4/1/1993,78.5982437,Flux
5/1/1993,76.9116135,Flux
6/1/1993,98.1485291,Flux
7/1/1993,102.594353,Flux
8/1/1993,90.1497574,Flux
9/1/1993,86.4111481,Flux
10/1/1993,73.7846985,Flux
11/1/1993,45.2421379,Flux
12/1/1993,34.7495079,Flux
1/1/1994,39.1579437,Flux
2/1/1994,48.0543098,Flux
3/1/1994,57.5110054,Flux
4/1/1994,77.3535156,Flux
5/1/1994,88.6696625,Flux
6/1/1994,103.704651,Flux
7/1/1994,101.882393,Flux
8/1/1994,97.7450027,Flux
9/1/1994,86.742897,Flux
10/1/1994,70.688797,Flux
11/1/1994,50.2070007,Flux
12/1/1994,42.5451088,Flux
1/1/1995,40.693718,Flux
2/1/1995,44.3219185,Flux
3/1/1995,60.8134956,Flux
4/1/1995,68.877594,Flux
5/1/1995,91.5399628,Flux
6/1/1995,103.838356,Flux
7/1/1995,105.386818,Flux
8/1/1995,94.5752869,Flux
9/1/1995,82.981987,Flux
10/1/1995,70.0496902,Flux
11/1/1995,44.106308,Flux
12/1/1995,33.4558372,Flux
1/1/1996,36.5971756,Flux
2/1/1996,40.4140816,Flux
3/1/1996,55.8655701,Flux
4/1/1996,70.8715363,Flux
5/1/1996,86.1625366,Flux
6/1/1996,103.213524,Flux
7/1/1996,101.507713,Flux
8/1/1996,92.7527084,Flux
9/1/1996,81.7826843,Flux
10/1/1996,68.4649963,Flux
11/1/1996,43.9202576,Flux
12/1/1996,32.096302,Flux
1/1/1997,35.2732124,Flux
2/1/1997,42.6134605,Flux
3/1/1997,55.8235588,Flux
4/1/1997,69.3200378,Flux
5/1/1997,84.0292435,Flux
6/1/1997,98.6580276,Flux
7/1/1997,101.763756,Flux
8/1/1997,92.4831085,Flux
9/1/1997,82.9746857,Flux
10/1/1997,65.0763702,Flux
11/1/1997,43.8517494,Flux
12/1/1997,42.4182129,Flux
1/1/1998,39.6243553,Flux
2/1/1998,51.4743958,Flux
3/1/1998,62.469696,Flux
4/1/1998,62.8517532,Flux
5/1/1998,78.1970825,Flux
6/1/1998,87.3690033,Flux
7/1/1998,98.4450531,Flux
8/1/1998,93.4871216,Flux
9/1/1998,88.8048553,Flux
10/1/1998,66.4240265,Flux
11/1/1998,45.8338432,Flux
12/1/1998,39.1201096,Flux
1/1/1999,37.2211952,Flux
2/1/1999,43.8213463,Flux
3/1/1999,46.3202515,Flux
4/1/1999,53.9908562,Flux
5/1/1999,76.4485168,Flux
6/1/1999,99.3206253,Flux
7/1/1999,97.5140076,Flux
8/1/1999,94.5570679,Flux
9/1/1999,88.9831085,Flux
10/1/1999,71.6783524,Flux
11/1/1999,45.7477837,Flux
12/1/1999,34.9673233,Flux
1/1/2000,30.6771965,Flux
2/1/2000,38.7205467,Flux
3/1/2000,49.9017143,Flux
4/1/2000,70.0492706,Flux
5/1/2000,65.4193268,Flux
6/1/2000,87.1659164,Flux
7/1/2000,98.7353516,Flux
8/1/2000,86.7933578,Flux
9/1/2000,82.2247543,Flux
10/1/2000,65.0301361,Flux
11/1/2000,37.4534302,Flux
12/1/2000,28.936142,Flux
1/1/2001,28.8439732,Flux
2/1/2001,28.5004654,Flux
3/1/2001,46.8965912,Flux
4/1/2001,55.3906021,Flux
5/1/2001,72.9002304,Flux
6/1/2001,96.8032227,Flux
7/1/2001,99.0876617,Flux
8/1/2001,90.2150879,Flux
9/1/2001,80.3365021,Flux
10/1/2001,68.2619171,Flux
11/1/2001,46.1822548,Flux
12/1/2001,34.7738991,Flux
1/1/2002,34.2116547,Flux
2/1/2002,41.5885429,Flux
3/1/2002,49.0514565,Flux
4/1/2002,60.2277718,Flux
5/1/2002,67.7514267,Flux
6/1/2002,99.8234253,Flux
7/1/2002,101.126999,Flux
8/1/2002,91.404892,Flux
9/1/2002,82.502037,Flux
10/1/2002,62.5500832,Flux
11/1/2002,44.4352036,Flux
12/1/2002,36.8418083,Flux
1/1/2003,29.9604759,Flux
2/1/2003,39.0389671,Flux
3/1/2003,63.3143845,Flux
4/1/2003,67.144371,Flux
5/1/2003,94.7633591,Flux
6/1/2003,103.892685,Flux
7/1/2003,102.677994,Flux
8/1/2003,97.3258057,Flux
9/1/2003,86.940094,Flux
10/1/2003,63.9911804,Flux
11/1/2003,47.8651962,Flux
12/1/2003,34.8790092,Flux
1/1/2004,31.2414131,Flux
2/1/2004,44.3881226,Flux
3/1/2004,48.8561211,Flux
4/1/2004,61.8518982,Flux
5/1/2004,70.2329865,Flux
6/1/2004,89.9213638,Flux
7/1/2004,95.6474075,Flux
8/1/2004,98.3328705,Flux
9/1/2004,90.6838455,Flux
10/1/2004,66.4782791,Flux
11/1/2004,43.0411835,Flux
12/1/2004,32.5211868,Flux
1/1/2005,29.9695358,Flux
2/1/2005,32.0181084,Flux
3/1/2005,57.0868378,Flux
4/1/2005,65.3129959,Flux
5/1/2005,82.3922348,Flux
6/1/2005,107.560463,Flux
7/1/2005,111.75724,Flux
8/1/2005,102.997849,Flux
9/1/2005,88.3154297,Flux
10/1/2005,69.5134964,Flux
11/1/2005,46.5117874,Flux
12/1/2005,35.1390457,Flux
1/1/2006,29.6670723,Flux
2/1/2006,42.6511993,Flux
3/1/2006,47.1252937,Flux
4/1/2006,62.8303223,Flux
5/1/2006,73.1691589,Flux
6/1/2006,91.9208832,Flux
7/1/2006,107.295517,Flux
8/1/2006,94.2433548,Flux
9/1/2006,87.5205688,Flux
10/1/2006,61.1702728,Flux
11/1/2006,41.6567802,Flux
12/1/2006,34.6011505,Flux
1/1/2007,32.6772423,Flux
2/1/2007,40.9270935,Flux
3/1/2007,46.8617096,Flux
4/1/2007,63.4727058,Flux
5/1/2007,77.5471878,Flux
6/1/2007,99.3269882,Flux
7/1/2007,108.139709,Flux
8/1/2007,93.4279709,Flux
9/1/2007,86.5324097,Flux
10/1/2007,71.352211,Flux
11/1/2007,45.9201889,Flux
12/1/2007,35.7405357,Flux
1/1/2008,30.3003235,Flux
2/1/2008,40.6043358,Flux
3/1/2008,57.836174,Flux
4/1/2008,70.6528168,Flux
5/1/2008,71.7257538,Flux
6/1/2008,97.4929352,Flux
7/1/2008,105.744003,Flux
8/1/2008,102.856087,Flux
9/1/2008,83.99263,Flux
10/1/2008,68.7285538,Flux
11/1/2008,39.0453644,Flux
12/1/2008,33.2649078,Flux
1/1/2009,27.2486248,Flux
2/1/2009,30.9038715,Flux
3/1/2009,39.582962,Flux
4/1/2009,53.5940018,Flux
5/1/2009,74.7659683,Flux
6/1/2009,118.949455,Flux
7/1/2009,119.832726,Flux
8/1/2009,103.326904,Flux
9/1/2009,95.8749619,Flux
10/1/2009,65.4071579,Flux
11/1/2009,45.1941948,Flux
12/1/2009,38.7180901,Flux
1/1/2010,34.085289,Flux
2/1/2010,45.0206947,Flux
3/1/2010,58.3649673,Flux
4/1/2010,74.8451385,Flux
5/1/2010,89.9954681,Flux
6/1/2010,104.694572,Flux
7/1/2010,106.595329,Flux
8/1/2010,100.686577,Flux
9/1/2010,85.3338013,Flux
10/1/2010,66.7630463,Flux
11/1/2010,43.7132187,Flux
12/1/2010,30.7253876,Flux
1/1/2011,31.7465668,Flux
2/1/2011,37.7711983,Flux
3/1/2011,45.5711479,Flux
4/1/2011,62.576828,Flux
5/1/2011,73.0986176,Flux
6/1/2011,77.3044052,Flux
7/1/2011,100.248421,Flux
8/1/2011,98.5815506,Flux
9/1/2011,83.2707062,Flux
10/1/2011,65.3244324,Flux
11/1/2011,48.5576973,Flux
12/1/2011,35.7353363,Flux
1/1/2012,28.099081,Flux
2/1/2012,36.7879944,Flux
3/1/2012,45.9159012,Flux
4/1/2012,61.5491867,Flux
5/1/2012,86.6186905,Flux
6/1/2012,90.9577942,Flux
7/1/2012,89.1309052,Flux
8/1/2012,83.9060364,Flux
9/1/2012,71.4899597,Flux
10/1/2012,62.9742279,Flux
11/1/2012,34.9798508,Flux
12/1/2012,29.452858,Flux
1/1/2013,24.8533134,Flux
2/1/2013,32.7441025,Flux
3/1/2013,39.7999115,Flux
4/1/2013,64.0925217,Flux
5/1/2013,83.1261673,Flux
6/1/2013,91.5042801,Flux
7/1/2013,91.0962219,Flux
8/1/2013,69.7164078,Flux
9/1/2013,62.2246819,Flux
10/1/2013,47.915329,Flux
11/1/2013,29.3758678,Flux
12/1/2013,26.0508308,Flux
1/1/2014,27.0111332,Flux
2/1/2014,34.4414787,Flux
3/1/2014,44.1314621,Flux
4/1/2014,55.0121002,Flux
5/1/2014,57.4426422,Flux
6/1/2014,77.8760757,Flux
7/1/2014,82.9625931,Flux
8/1/2014,76.8096313,Flux
9/1/2014,64.9911118,Flux
10/1/2014,53.7589264,Flux
11/1/2014,35.0042114,Flux
12/1/2014,26.7516479,Flux
1/1/2015,23.0841846,Flux
2/1/2015,30.0229588,Flux
3/1/2015,36.8311729,Flux
4/1/2015,48.7220993,Flux
5/1/2015,59.2187271,Flux
6/1/2015,67.0943832,Flux
7/1/2015,72.0553131,Flux
8/1/2015,68.6130447,Flux
9/1/2015,68.2181168,Flux
10/1/2015,47.1192665,Flux
11/1/2015,37.5534744,Flux
12/1/2015,32.0680313,Flux
1/1/2016,36.104744,Flux
2/1/2016,43.0202637,Flux
3/1/2016,45.0919762,Flux
4/1/2016,53.6332855,Flux
5/1/2016,81.666069,Flux
6/1/2016,96.7223358,Flux
7/1/2016,97.710022,Flux
8/1/2016,99.9182358,Flux
9/1/2016,85.0766068,Flux
10/1/2016,71.8585129,Flux
11/1/2016,39.6528702,Flux
12/1/2016,33.2745171,Flux
1/1/2017,35.2577248,Flux
2/1/2017,41.1399307,Flux
3/1/2017,50.0637512,Flux
4/1/2017,60.0954552,Flux
5/1/2017,78.16436,Flux
6/1/2017,93.7579803,Flux
7/1/2017,97.0100098,Flux
8/1/2017,89.9553528,Flux
9/1/2017,86.8515244,Flux
10/1/2017,72.1092453,Flux
11/1/2017,46.5728226,Flux
12/1/2017,35.3891754,Flux
1/1/2018,29.7542057,Flux
2/1/2018,34.6804504,Flux
3/1/2018,40.6193619,Flux
4/1/2018,59.0379257,Flux
5/1/2018,85.7332993,Flux
6/1/2018,103.073341,Flux
7/1/2018,100.511551,Flux
8/1/2018,88.7957764,Flux
9/1/2018,82.2731171,Flux
10/1/2018,58.2317467,Flux
11/1/2018,37.9893456,Flux
12/1/2018,30.1797657,Flux
1/1/2019,29.0034313,Flux
2/1/2019,44.481102,Flux
3/1/2019,48.005085,Flux
4/1/2019,64.7874222,Flux
5/1/2019,80.9158783,Flux
6/1/2019,94.5834503,Flux
7/1/2019,94.1891251,Flux
8/1/2019,91.6867523,Flux
9/1/2019,75.8355179,Flux
10/1/2019,58.0426903,Flux
11/1/2019,38.0521049,Flux
12/1/2019,31.9284401,Flux
1/1/2020,31.8397045,Flux
2/1/2020,43.3130455,Flux
3/1/2020,41.2562981,Flux
4/1/2020,54.7368317,Flux
5/1/2020,78.0764389,Flux
6/1/2020,95.9972,Flux
7/1/2020,103.465805,Flux
8/1/2020,85.1845474,Flux
9/1/2020,81.8815002,Flux
10/1/2020,73.0670853,Flux
11/1/2020,53.9980011,Flux
12/1/2020,37.3095779,Flux
1/1/2021,29.9065342,Flux
2/1/2021,36.4519806,Flux
3/1/2021,41.76968,Flux
4/1/2021,60.7996216,Flux
5/1/2021,63.9798355,Flux
6/1/2021,88.7652588,Flux
7/1/2021,103.663605,Flux
8/1/2021,96.3697357,Flux
9/1/2021,86.1047745,Flux
10/1/2021,68.0618973,Flux
11/1/2021,48.051178,Flux
12/1/2021,36.8411903,Flux
1/1/2022,32.9212227,Flux
2/1/2022,39.5177956,Flux
3/1/2022,49.0576553,Flux
4/1/2022,60.3376198,Flux
5/1/2022,78.1575623,Flux
6/1/2022,105.546455,Flux
7/1/2022,103.044296,Flux
8/1/2022,86.7605972,Flux
9/1/2022,86.0685349,Flux
10/1/2022,65.0577316,Flux
11/1/2022,45.3110542,Flux
12/1/2022,37.3326149,Flux
1/1/2023,31.5531502,Flux
2/1/2023,39.0571671,Flux
3/1/2023,41.0464401,Flux
4/1/2023,75.7066116,Flux
5/1/2023,87.5255585,Flux
6/1/2023,108.996788,Flux
7/1/2023,108.001999,Flux
8/1/2023,100.331032,Flux
9/1/2023,84.9586945,Flux
10/1/2023,66.9498749,Flux
11/1/2023,42.387085,Flux
12/1/2023,39.0942383,Flux
1/1/2024,35.9309807,Flux
2/1/2024,45.8682709,Flux
3/1/2024,61.6273842,Flux
4/1/2024,68.5455246,Flux
5/1/2024,73.3814011,Flux
6/1/2024,94.4531784,Flux
7/1/2024,106.775833,Flux
8/1/2024,95.7827682,Flux
9/1/2024,88.9265594,Flux
10/1/2024,67.7830276,Flux
11/1/2024,42.4320831,Flux
12/1/2024,29.9231625,Flux
1/1/2025,29.7738647,Flux
1/1/1980,68.59829866,Trend
2/1/1980,68.58661439,Trend
3/1/1980,68.57568394,Trend
4/1/1980,68.56399967,Trend
5/1/1980,68.55269231,Trend
6/1/1980,68.54100804,Trend
7/1/1980,68.52970068,Trend
8/1/1980,68.5180164,Trend
9/1/1980,68.50633213,Trend
10/1/1980,68.49502477,Trend
11/1/1980,68.4833405,Trend
12/1/1980,68.47203314,Trend
1/1/1981,68.46034887,Trend
2/1/1981,68.44866459,Trend
3/1/1981,68.43811106,Trend
4/1/1981,68.42642678,Trend
5/1/1981,68.41511942,Trend
6/1/1981,68.40343515,Trend
7/1/1981,68.39212779,Trend
8/1/1981,68.38044352,Trend
9/1/1981,68.36875925,Trend
10/1/1981,68.35745188,Trend
11/1/1981,68.34576761,Trend
12/1/1981,68.33446025,Trend
1/1/1982,68.32277598,Trend
2/1/1982,68.31109171,Trend
3/1/1982,68.30053817,Trend
4/1/1982,68.2888539,Trend
5/1/1982,68.27754654,Trend
6/1/1982,68.26586226,Trend
7/1/1982,68.2545549,Trend
8/1/1982,68.24287063,Trend
9/1/1982,68.23118636,Trend
10/1/1982,68.219879,Trend
11/1/1982,68.20819473,Trend
12/1/1982,68.19688736,Trend
1/1/1983,68.18520309,Trend
2/1/1983,68.17351882,Trend
3/1/1983,68.16296528,Trend
4/1/1983,68.15128101,Trend
5/1/1983,68.13997365,Trend
6/1/1983,68.12828938,Trend
7/1/1983,68.11698202,Trend
8/1/1983,68.10529774,Trend
9/1/1983,68.09361347,Trend
10/1/1983,68.08230611,Trend
11/1/1983,68.07062184,Trend
12/1/1983,68.05931448,Trend
1/1/1984,68.04763021,Trend
2/1/1984,68.03594593,Trend
3/1/1984,68.02501548,Trend
4/1/1984,68.01333121,Trend
5/1/1984,68.00202385,Trend
6/1/1984,67.99033958,Trend
7/1/1984,67.97903222,Trend
8/1/1984,67.96734795,Trend
9/1/1984,67.95566367,Trend
10/1/1984,67.94435631,Trend
11/1/1984,67.93267204,Trend
12/1/1984,67.92136468,Trend
1/1/1985,67.90968041,Trend
2/1/1985,67.89799613,Trend
3/1/1985,67.8874426,Trend
4/1/1985,67.87575832,Trend
5/1/1985,67.86445096,Trend
6/1/1985,67.85276669,Trend
7/1/1985,67.84145933,Trend
8/1/1985,67.82977506,Trend
9/1/1985,67.81809079,Trend
10/1/1985,67.80678343,Trend
11/1/1985,67.79509915,Trend
12/1/1985,67.78379179,Trend
1/1/1986,67.77210752,Trend
2/1/1986,67.76042325,Trend
3/1/1986,67.74986971,Trend
4/1/1986,67.73818544,Trend
5/1/1986,67.72687808,Trend
6/1/1986,67.7151938,Trend
7/1/1986,67.70388644,Trend
8/1/1986,67.69220217,Trend
9/1/1986,67.6805179,Trend
10/1/1986,67.66921054,Trend
11/1/1986,67.65752627,Trend
12/1/1986,67.64621891,Trend
1/1/1987,67.63453463,Trend
2/1/1987,67.62285036,Trend
3/1/1987,67.61229682,Trend
4/1/1987,67.60061255,Trend
5/1/1987,67.58930519,Trend
6/1/1987,67.57762092,Trend
7/1/1987,67.56631356,Trend
8/1/1987,67.55462928,Trend
9/1/1987,67.54294501,Trend
10/1/1987,67.53163765,Trend
11/1/1987,67.51995338,Trend
12/1/1987,67.50864602,Trend
1/1/1988,67.49696175,Trend
2/1/1988,67.48527747,Trend
3/1/1988,67.47434702,Trend
4/1/1988,67.46266275,Trend
5/1/1988,67.45135539,Trend
6/1/1988,67.43967112,Trend
7/1/1988,67.42836376,Trend
8/1/1988,67.41667949,Trend
9/1/1988,67.40499521,Trend
10/1/1988,67.39368785,Trend
11/1/1988,67.38200358,Trend
12/1/1988,67.37069622,Trend
1/1/1989,67.35901195,Trend
2/1/1989,67.34732767,Trend
