Year,source,Hog Inventory
2022,Wayne,380000
2021,Wayne,325000
2020,Wayne,400000
2019,Wayne,545000
2018,Wayne,560000
2017,Wayne,550000
2016,Wayne,560000
2015,Wayne,550000
2014,Wayne,530000
2013,Wayne,500000
2012,Wayne,610000
2011,Wayne,565000
2010,Wayne,535000
2009,Wayne,525000
2008,Wayne,500000
2007,Wayne,535000
2006,Wayne,515000
2005,Wayne,555000
2004,Wayne,550000
2003,Wayne,576000
2002,Wayne,550000
2001,Wayne,565000
2000,Wayne,500000
1999,Wayne,547000
1998,Wayne,535000
1997,Wayne,582000
1996,Wayne,500000
1995,Wayne,470000
1994,Wayne,410000
1993,Wayne,330000
1992,Wayne,225000
1991,Wayne,184000
1990,Wayne,115000
1989,Wayne,113000
1988,Wayne,113000
1987,Wayne,100000
1986,Wayne,92000
1985,Wayne,91000
1984,Wayne,91000
1983,Wayne,90500
1982,Wayne,83300
1981,Wayne,83000
1980,Wayne,98000
1979,Wayne,107700
1978,Wayne,105000
1977,Wayne,105000
1976,Wayne,99700
1975,Wayne,88400
1974,Wayne,86300
2022,Sampson,1900000
2021,Sampson,1750000
2020,Sampson,1850000
2019,Sampson,2030000
2018,Sampson,2000000
2017,Sampson,1900000
2016,Sampson,2000000
2015,Sampson,1890000
2014,Sampson,1850000
2013,Sampson,1750000
2012,Sampson,1850000
2011,Sampson,1870000
2010,Sampson,1870000
2009,Sampson,2050000
2008,Sampson,2010000
2007,Sampson,2170000
2006,Sampson,2025000
2005,Sampson,2160000
2004,Sampson,2110000
2003,Sampson,2030000
2002,Sampson,1955000
2001,Sampson,1970000
2000,Sampson,1873000
1999,Sampson,1835000
1998,Sampson,1857000
1997,Sampson,1797000
1996,Sampson,1750000
1995,Sampson,1700000
1994,Sampson,1450000
1993,Sampson,1150000
1992,Sampson,950000
1991,Sampson,750000
1990,Sampson,570000
1989,Sampson,455000
1988,Sampson,415000
1987,Sampson,370000
1986,Sampson,315700
1985,Sampson,286900
1984,Sampson,264100
1983,Sampson,248700
1982,Sampson,188700
1981,Sampson,170000
1980,Sampson,202500
1979,Sampson,216500
1978,Sampson,191600
1977,Sampson,170900
1976,Sampson,136500
1975,Sampson,147900
1974,Sampson,150400
2022,Duplin,1900000
2021,Duplin,1800000
2020,Duplin,1950000
2019,Duplin,2050000
2018,Duplin,2030000
2017,Duplin,1950000
2016,Duplin,2050000
2015,Duplin,1950000
2014,Duplin,1850000
2013,Duplin,1850000
2012,Duplin,1770000
2011,Duplin,1900000
2010,Duplin,2080000
2009,Duplin,2210000
2008,Duplin,2100000
2007,Duplin,2300000
2006,Duplin,2167000
2005,Duplin,2215000
2004,Duplin,2250000
2003,Duplin,2170000
2002,Duplin,2100000
2001,Duplin,2100000
2000,Duplin,2065000
1999,Duplin,2100000
1998,Duplin,2123000
1997,Duplin,2043000
1996,Duplin,2000000
1995,Duplin,1800000
1994,Duplin,1470000
1993,Duplin,1040000
1992,Duplin,850000
1991,Duplin,650000
1990,Duplin,400000
1989,Duplin,370000
1988,Duplin,365000
1987,Duplin,336900
1986,Duplin,285000
1985,Duplin,266500
1984,Duplin,237600
1983,Duplin,232500
1982,Duplin,172000
1981,Duplin,158200
1980,Duplin,190000
1979,Duplin,195000
1978,Duplin,161000
1977,Duplin,155300
1976,Duplin,135000
1975,Duplin,136300
1974,Duplin,137500
2022,Bladen,720000
2021,Bladen,725000
2020,Bladen,725000
2019,Bladen,755000
2018,Bladen,725000
2017,Bladen,715000
2016,Bladen,740000
2015,Bladen,720000
2014,Bladen,730000
2013,Bladen,740000
2012,Bladen,685000
2011,Bladen,740000
2010,Bladen,795000
2009,Bladen,810000
2008,Bladen,815000
2007,Bladen,850000
2006,Bladen,815000
2005,Bladen,840000
2004,Bladen,860000
2003,Bladen,867000
2002,Bladen,860000
2001,Bladen,850000
2000,Bladen,703000
1999,Bladen,700000
1998,Bladen,708000
1997,Bladen,720000
1996,Bladen,730000
1995,Bladen,500000
1994,Bladen,405000
1993,Bladen,270000
1992,Bladen,150000
1991,Bladen,100000
1990,Bladen,50000
1989,Bladen,40000
1988,Bladen,32000
1987,Bladen,23000
1986,Bladen,20000
1985,Bladen,19600
1984,Bladen,19400
1983,Bladen,21200
1982,Bladen,22000
1981,Bladen,21400
1980,Bladen,33000
1979,Bladen,36000
1978,Bladen,36300
1977,Bladen,36200
1976,Bladen,34600
1975,Bladen,29700
1974,Bladen,27900
