Date,Wet Dust Deposition,source
2005-01-01,4.80E-10,Wet Dust Deposition
2005-02-01,2.41E-10,Wet Dust Deposition
2005-03-01,9.89E-11,Wet Dust Deposition
2005-04-01,1.66E-10,Wet Dust Deposition
2005-05-01,3.88E-10,Wet Dust Deposition
2005-06-01,5.44E-10,Wet Dust Deposition
2005-07-01,4.64E-10,Wet Dust Deposition
2005-08-01,3.87E-10,Wet Dust Deposition
2005-09-01,3.80E-10,Wet Dust Deposition
2005-10-01,2.69E-10,Wet Dust Deposition
2005-11-01,2.54E-10,Wet Dust Deposition
2005-12-01,1.74E-10,Wet Dust Deposition
2006-01-01,2.23E-10,Wet Dust Deposition
2006-02-01,1.13E-10,Wet Dust Deposition
2006-03-01,1.78E-10,Wet Dust Deposition
2006-04-01,2.14E-10,Wet Dust Deposition
2006-05-01,1.73E-10,Wet Dust Deposition
2006-06-01,5.24E-10,Wet Dust Deposition
2006-07-01,4.77E-10,Wet Dust Deposition
2006-08-01,3.29E-10,Wet Dust Deposition
2006-09-01,2.91E-10,Wet Dust Deposition
2006-10-01,2.53E-10,Wet Dust Deposition
2006-11-01,1.94E-10,Wet Dust Deposition
2006-12-01,2.37E-10,Wet Dust Deposition
2007-01-01,4.51E-10,Wet Dust Deposition
2007-02-01,1.88E-10,Wet Dust Deposition
2007-03-01,2.00E-10,Wet Dust Deposition
2007-04-01,1.92E-10,Wet Dust Deposition
2007-05-01,2.85E-10,Wet Dust Deposition
2007-06-01,4.75E-10,Wet Dust Deposition
2007-07-01,4.92E-10,Wet Dust Deposition
2007-08-01,2.99E-10,Wet Dust Deposition
2007-09-01,3.43E-10,Wet Dust Deposition
2007-10-01,2.05E-10,Wet Dust Deposition
2007-11-01,2.99E-10,Wet Dust Deposition
2007-12-01,2.73E-10,Wet Dust Deposition
2008-01-01,3.50E-10,Wet Dust Deposition
2008-02-01,2.63E-10,Wet Dust Deposition
2008-03-01,2.20E-10,Wet Dust Deposition
2008-04-01,3.04E-10,Wet Dust Deposition
2008-05-01,1.97E-10,Wet Dust Deposition
2008-06-01,3.65E-10,Wet Dust Deposition
2008-07-01,4.20E-10,Wet Dust Deposition
2008-08-01,3.35E-10,Wet Dust Deposition
2008-09-01,2.63E-10,Wet Dust Deposition
2008-10-01,5.15E-10,Wet Dust Deposition
2008-11-01,3.59E-10,Wet Dust Deposition
2008-12-01,3.42E-10,Wet Dust Deposition
2009-01-01,1.70E-10,Wet Dust Deposition
2009-02-01,1.45E-10,Wet Dust Deposition
2009-03-01,6.48E-11,Wet Dust Deposition
2009-04-01,9.55E-11,Wet Dust Deposition
2009-05-01,1.52E-10,Wet Dust Deposition
2009-06-01,3.62E-10,Wet Dust Deposition
2009-07-01,4.42E-10,Wet Dust Deposition
2009-08-01,2.67E-10,Wet Dust Deposition
2009-09-01,2.93E-10,Wet Dust Deposition
2009-10-01,2.23E-10,Wet Dust Deposition
2009-11-01,2.51E-10,Wet Dust Deposition
2009-12-01,9.39E-11,Wet Dust Deposition
2010-01-01,1.25E-10,Wet Dust Deposition
2010-02-01,4.70E-11,Wet Dust Deposition
2010-03-01,1.69E-10,Wet Dust Deposition
2010-04-01,2.18E-10,Wet Dust Deposition
2010-05-01,3.94E-10,Wet Dust Deposition
2010-06-01,4.00E-10,Wet Dust Deposition
2010-07-01,5.51E-10,Wet Dust Deposition
2010-08-01,3.32E-10,Wet Dust Deposition
2010-09-01,1.98E-10,Wet Dust Deposition
2010-10-01,2.37E-10,Wet Dust Deposition
2010-11-01,2.34E-10,Wet Dust Deposition
2010-12-01,5.67E-11,Wet Dust Deposition
2011-01-01,1.41E-10,Wet Dust Deposition
2011-02-01,1.71E-10,Wet Dust Deposition
2011-03-01,5.38E-11,Wet Dust Deposition
2011-04-01,1.89E-10,Wet Dust Deposition
2011-05-01,2.09E-10,Wet Dust Deposition
2011-06-01,3.02E-10,Wet Dust Deposition
2011-07-01,4.12E-10,Wet Dust Deposition
